group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add_remove_component,bevy,,,,1612900.0,ns,1
add_remove_component,bevy,,,,2925100.0,ns,2
add_remove_component,bevy,,,,4267800.0,ns,3
add_remove_component,bevy,,,,5681200.0,ns,4
add_remove_component,bevy,,,,7079200.0,ns,5
add_remove_component,bevy,,,,8293000.0,ns,6
add_remove_component,bevy,,,,9911400.0,ns,7
add_remove_component,bevy,,,,11156400.0,ns,8
add_remove_component,bevy,,,,12826200.0,ns,9
add_remove_component,bevy,,,,14107600.0,ns,10
add_remove_component,bevy,,,,15255600.0,ns,11
add_remove_component,bevy,,,,16842600.0,ns,12
add_remove_component,bevy,,,,18011900.0,ns,13
add_remove_component,bevy,,,,19859600.0,ns,14
add_remove_component,bevy,,,,21246800.0,ns,15
add_remove_component,bevy,,,,22736200.0,ns,16
add_remove_component,bevy,,,,23925200.0,ns,17
add_remove_component,bevy,,,,25836100.0,ns,18
add_remove_component,bevy,,,,27682000.0,ns,19
add_remove_component,bevy,,,,28514800.0,ns,20
add_remove_component,bevy,,,,29620000.0,ns,21
add_remove_component,bevy,,,,30770900.0,ns,22
add_remove_component,bevy,,,,32281600.0,ns,23
add_remove_component,bevy,,,,34483100.0,ns,24
add_remove_component,bevy,,,,34958000.0,ns,25
add_remove_component,bevy,,,,36864200.0,ns,26
add_remove_component,bevy,,,,38510000.0,ns,27
add_remove_component,bevy,,,,40339200.0,ns,28
add_remove_component,bevy,,,,41765400.0,ns,29
add_remove_component,bevy,,,,43081900.0,ns,30
add_remove_component,bevy,,,,43751100.0,ns,31
add_remove_component,bevy,,,,46009700.0,ns,32
add_remove_component,bevy,,,,47823000.0,ns,33
add_remove_component,bevy,,,,49343300.0,ns,34
add_remove_component,bevy,,,,49434300.0,ns,35
add_remove_component,bevy,,,,51779300.0,ns,36
add_remove_component,bevy,,,,52230400.0,ns,37
add_remove_component,bevy,,,,53362500.0,ns,38
add_remove_component,bevy,,,,55925300.0,ns,39
add_remove_component,bevy,,,,56539900.0,ns,40
add_remove_component,bevy,,,,57495200.0,ns,41
add_remove_component,bevy,,,,60098000.0,ns,42
add_remove_component,bevy,,,,60393600.0,ns,43
add_remove_component,bevy,,,,62080600.0,ns,44
add_remove_component,bevy,,,,63289100.0,ns,45
add_remove_component,bevy,,,,64816500.0,ns,46
add_remove_component,bevy,,,,66241800.0,ns,47
add_remove_component,bevy,,,,69804600.0,ns,48
add_remove_component,bevy,,,,70130200.0,ns,49
add_remove_component,bevy,,,,71966100.0,ns,50
add_remove_component,bevy,,,,71994200.0,ns,51
add_remove_component,bevy,,,,72874300.0,ns,52
add_remove_component,bevy,,,,76046500.0,ns,53
add_remove_component,bevy,,,,76805300.0,ns,54
add_remove_component,bevy,,,,79655300.0,ns,55
add_remove_component,bevy,,,,80290700.0,ns,56
add_remove_component,bevy,,,,82759900.0,ns,57
add_remove_component,bevy,,,,84285000.0,ns,58
add_remove_component,bevy,,,,84029100.0,ns,59
add_remove_component,bevy,,,,86361700.0,ns,60
add_remove_component,bevy,,,,89441700.0,ns,61
add_remove_component,bevy,,,,88650700.0,ns,62
add_remove_component,bevy,,,,89864900.0,ns,63
add_remove_component,bevy,,,,90908000.0,ns,64
add_remove_component,bevy,,,,92733300.0,ns,65
add_remove_component,bevy,,,,95911300.0,ns,66
add_remove_component,bevy,,,,96314100.0,ns,67
add_remove_component,bevy,,,,96629100.0,ns,68
add_remove_component,bevy,,,,100116500.0,ns,69
add_remove_component,bevy,,,,99289000.0,ns,70
add_remove_component,bevy,,,,100729800.0,ns,71
add_remove_component,bevy,,,,103431000.0,ns,72
add_remove_component,bevy,,,,103435600.0,ns,73
add_remove_component,bevy,,,,104780600.0,ns,74
add_remove_component,bevy,,,,106659000.0,ns,75
add_remove_component,bevy,,,,107881900.0,ns,76
add_remove_component,bevy,,,,108865200.0,ns,77
add_remove_component,bevy,,,,110747800.0,ns,78
add_remove_component,bevy,,,,112238200.0,ns,79
add_remove_component,bevy,,,,112724600.0,ns,80
add_remove_component,bevy,,,,118100100.0,ns,81
add_remove_component,bevy,,,,115945000.0,ns,82
add_remove_component,bevy,,,,119769900.0,ns,83
add_remove_component,bevy,,,,119094900.0,ns,84
add_remove_component,bevy,,,,120024700.0,ns,85
add_remove_component,bevy,,,,122932200.0,ns,86
add_remove_component,bevy,,,,125494500.0,ns,87
add_remove_component,bevy,,,,124358300.0,ns,88
add_remove_component,bevy,,,,127517100.0,ns,89
add_remove_component,bevy,,,,129740000.0,ns,90
add_remove_component,bevy,,,,130062300.0,ns,91
add_remove_component,bevy,,,,131031800.0,ns,92
add_remove_component,bevy,,,,135020600.0,ns,93
add_remove_component,bevy,,,,132410100.0,ns,94
add_remove_component,bevy,,,,136027600.0,ns,95
add_remove_component,bevy,,,,135281800.0,ns,96
add_remove_component,bevy,,,,136092500.0,ns,97
add_remove_component,bevy,,,,142596900.0,ns,98
add_remove_component,bevy,,,,140654800.0,ns,99
add_remove_component,bevy,,,,143204100.0,ns,100
