group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add_remove_component,bevy,,,,1672800.0,ns,1
add_remove_component,bevy,,,,2873800.0,ns,2
add_remove_component,bevy,,,,4277100.0,ns,3
add_remove_component,bevy,,,,6603000.0,ns,4
add_remove_component,bevy,,,,14324800.0,ns,5
add_remove_component,bevy,,,,9106900.0,ns,6
add_remove_component,bevy,,,,10404300.0,ns,7
add_remove_component,bevy,,,,12470400.0,ns,8
add_remove_component,bevy,,,,12627500.0,ns,9
add_remove_component,bevy,,,,14092300.0,ns,10
add_remove_component,bevy,,,,15388600.0,ns,11
add_remove_component,bevy,,,,18134600.0,ns,12
add_remove_component,bevy,,,,18332800.0,ns,13
add_remove_component,bevy,,,,20813700.0,ns,14
add_remove_component,bevy,,,,21589900.0,ns,15
add_remove_component,bevy,,,,23038100.0,ns,16
add_remove_component,bevy,,,,24727400.0,ns,17
add_remove_component,bevy,,,,25833900.0,ns,18
add_remove_component,bevy,,,,26966400.0,ns,19
add_remove_component,bevy,,,,28661200.0,ns,20
add_remove_component,bevy,,,,30253900.0,ns,21
add_remove_component,bevy,,,,31768400.0,ns,22
add_remove_component,bevy,,,,39100100.0,ns,23
add_remove_component,bevy,,,,38692500.0,ns,24
add_remove_component,bevy,,,,41378400.0,ns,25
add_remove_component,bevy,,,,42021200.0,ns,26
add_remove_component,bevy,,,,40274100.0,ns,27
add_remove_component,bevy,,,,42048800.0,ns,28
add_remove_component,bevy,,,,43394000.0,ns,29
add_remove_component,bevy,,,,44106200.0,ns,30
add_remove_component,bevy,,,,46246700.0,ns,31
add_remove_component,bevy,,,,46598600.0,ns,32
add_remove_component,bevy,,,,49410000.0,ns,33
add_remove_component,bevy,,,,50127800.0,ns,34
add_remove_component,bevy,,,,50535700.0,ns,35
add_remove_component,bevy,,,,52239200.0,ns,36
add_remove_component,bevy,,,,54749800.0,ns,37
add_remove_component,bevy,,,,59234700.0,ns,38
add_remove_component,bevy,,,,57577500.0,ns,39
add_remove_component,bevy,,,,59307100.0,ns,40
add_remove_component,bevy,,,,58899700.0,ns,41
add_remove_component,bevy,,,,60111800.0,ns,42
add_remove_component,bevy,,,,63563300.0,ns,43
add_remove_component,bevy,,,,73222700.0,ns,44
add_remove_component,bevy,,,,66465100.0,ns,45
add_remove_component,bevy,,,,68370600.0,ns,46
add_remove_component,bevy,,,,67774000.0,ns,47
add_remove_component,bevy,,,,70416200.0,ns,48
add_remove_component,bevy,,,,69502500.0,ns,49
add_remove_component,bevy,,,,72854500.0,ns,50
add_remove_component,bevy,,,,75561500.0,ns,51
add_remove_component,bevy,,,,76686700.0,ns,52
add_remove_component,bevy,,,,80091500.0,ns,53
add_remove_component,bevy,,,,81897300.0,ns,54
add_remove_component,bevy,,,,82474900.0,ns,55
add_remove_component,bevy,,,,83362400.0,ns,56
add_remove_component,bevy,,,,84845600.0,ns,57
add_remove_component,bevy,,,,85269500.0,ns,58
add_remove_component,bevy,,,,87796800.0,ns,59
add_remove_component,bevy,,,,87623100.0,ns,60
add_remove_component,bevy,,,,90282100.0,ns,61
add_remove_component,bevy,,,,99871600.0,ns,62
add_remove_component,bevy,,,,99881000.0,ns,63
add_remove_component,bevy,,,,96148300.0,ns,64
add_remove_component,bevy,,,,98693900.0,ns,65
add_remove_component,bevy,,,,94943800.0,ns,66
add_remove_component,bevy,,,,97307900.0,ns,67
add_remove_component,bevy,,,,98954600.0,ns,68
add_remove_component,bevy,,,,100662900.0,ns,69
add_remove_component,bevy,,,,104753700.0,ns,70
add_remove_component,bevy,,,,112301200.0,ns,71
add_remove_component,bevy,,,,113872400.0,ns,72
add_remove_component,bevy,,,,118664600.0,ns,73
add_remove_component,bevy,,,,112259800.0,ns,74
add_remove_component,bevy,,,,111244900.0,ns,75
add_remove_component,bevy,,,,110313900.0,ns,76
add_remove_component,bevy,,,,110582800.0,ns,77
add_remove_component,bevy,,,,112754700.0,ns,78
add_remove_component,bevy,,,,114725200.0,ns,79
add_remove_component,bevy,,,,119741700.0,ns,80
add_remove_component,bevy,,,,116405400.0,ns,81
add_remove_component,bevy,,,,124065600.0,ns,82
add_remove_component,bevy,,,,121134500.0,ns,83
add_remove_component,bevy,,,,124715500.0,ns,84
add_remove_component,bevy,,,,121817200.0,ns,85
add_remove_component,bevy,,,,124520900.0,ns,86
add_remove_component,bevy,,,,130026600.0,ns,87
add_remove_component,bevy,,,,138064700.0,ns,88
add_remove_component,bevy,,,,128691400.0,ns,89
add_remove_component,bevy,,,,139462500.0,ns,90
add_remove_component,bevy,,,,136159300.0,ns,91
add_remove_component,bevy,,,,136737300.0,ns,92
add_remove_component,bevy,,,,133370700.0,ns,93
add_remove_component,bevy,,,,135472700.0,ns,94
add_remove_component,bevy,,,,137890600.0,ns,95
add_remove_component,bevy,,,,139607400.0,ns,96
add_remove_component,bevy,,,,142982300.0,ns,97
add_remove_component,bevy,,,,141581200.0,ns,98
add_remove_component,bevy,,,,146788700.0,ns,99
add_remove_component,bevy,,,,143149600.0,ns,100
