group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add_remove_component,hecs,,,,938900.0,ns,1
add_remove_component,hecs,,,,1836900.0,ns,2
add_remove_component,hecs,,,,2715300.0,ns,3
add_remove_component,hecs,,,,3991200.0,ns,4
add_remove_component,hecs,,,,4742600.0,ns,5
add_remove_component,hecs,,,,5387500.0,ns,6
add_remove_component,hecs,,,,6270500.0,ns,7
add_remove_component,hecs,,,,7283500.0,ns,8
add_remove_component,hecs,,,,8028700.0,ns,9
add_remove_component,hecs,,,,9035500.0,ns,10
add_remove_component,hecs,,,,10012200.0,ns,11
add_remove_component,hecs,,,,11203500.0,ns,12
add_remove_component,hecs,,,,11716500.0,ns,13
add_remove_component,hecs,,,,12649000.0,ns,14
add_remove_component,hecs,,,,14563300.0,ns,15
add_remove_component,hecs,,,,19093400.0,ns,16
add_remove_component,hecs,,,,20074600.0,ns,17
add_remove_component,hecs,,,,20647500.0,ns,18
add_remove_component,hecs,,,,17238900.0,ns,19
add_remove_component,hecs,,,,18439500.0,ns,20
add_remove_component,hecs,,,,18891800.0,ns,21
add_remove_component,hecs,,,,20729800.0,ns,22
add_remove_component,hecs,,,,21227700.0,ns,23
add_remove_component,hecs,,,,22624100.0,ns,24
add_remove_component,hecs,,,,22715900.0,ns,25
add_remove_component,hecs,,,,23530900.0,ns,26
add_remove_component,hecs,,,,25206400.0,ns,27
add_remove_component,hecs,,,,25610100.0,ns,28
add_remove_component,hecs,,,,26630500.0,ns,29
add_remove_component,hecs,,,,27138300.0,ns,30
add_remove_component,hecs,,,,29686600.0,ns,31
add_remove_component,hecs,,,,38406100.0,ns,32
add_remove_component,hecs,,,,40408600.0,ns,33
add_remove_component,hecs,,,,41157200.0,ns,34
add_remove_component,hecs,,,,40098300.0,ns,35
add_remove_component,hecs,,,,52361900.0,ns,36
add_remove_component,hecs,,,,35883200.0,ns,37
add_remove_component,hecs,,,,44944000.0,ns,38
add_remove_component,hecs,,,,38210100.0,ns,39
add_remove_component,hecs,,,,36623600.0,ns,40
add_remove_component,hecs,,,,38627900.0,ns,41
add_remove_component,hecs,,,,39386800.0,ns,42
add_remove_component,hecs,,,,41411600.0,ns,43
add_remove_component,hecs,,,,40774800.0,ns,44
add_remove_component,hecs,,,,41972900.0,ns,45
add_remove_component,hecs,,,,42585500.0,ns,46
add_remove_component,hecs,,,,44792200.0,ns,47
add_remove_component,hecs,,,,45172200.0,ns,48
add_remove_component,hecs,,,,45555600.0,ns,49
add_remove_component,hecs,,,,45029300.0,ns,50
add_remove_component,hecs,,,,46872400.0,ns,51
add_remove_component,hecs,,,,48495100.0,ns,52
add_remove_component,hecs,,,,54635400.0,ns,53
add_remove_component,hecs,,,,54924500.0,ns,54
add_remove_component,hecs,,,,49855500.0,ns,55
add_remove_component,hecs,,,,52858700.0,ns,56
add_remove_component,hecs,,,,52737100.0,ns,57
add_remove_component,hecs,,,,53999800.0,ns,58
add_remove_component,hecs,,,,55700400.0,ns,59
add_remove_component,hecs,,,,55476400.0,ns,60
add_remove_component,hecs,,,,55782900.0,ns,61
add_remove_component,hecs,,,,56735400.0,ns,62
add_remove_component,hecs,,,,56606300.0,ns,63
add_remove_component,hecs,,,,58888600.0,ns,64
add_remove_component,hecs,,,,60271800.0,ns,65
add_remove_component,hecs,,,,61103800.0,ns,66
add_remove_component,hecs,,,,69691000.0,ns,67
add_remove_component,hecs,,,,80907200.0,ns,68
add_remove_component,hecs,,,,82979300.0,ns,69
add_remove_component,hecs,,,,83896500.0,ns,70
add_remove_component,hecs,,,,67913900.0,ns,71
add_remove_component,hecs,,,,67834100.0,ns,72
add_remove_component,hecs,,,,67599100.0,ns,73
add_remove_component,hecs,,,,67373900.0,ns,74
add_remove_component,hecs,,,,73974800.0,ns,75
add_remove_component,hecs,,,,70130200.0,ns,76
add_remove_component,hecs,,,,71226800.0,ns,77
add_remove_component,hecs,,,,71548600.0,ns,78
add_remove_component,hecs,,,,71560000.0,ns,79
add_remove_component,hecs,,,,72940600.0,ns,80
add_remove_component,hecs,,,,74907400.0,ns,81
add_remove_component,hecs,,,,74869200.0,ns,82
add_remove_component,hecs,,,,79370300.0,ns,83
add_remove_component,hecs,,,,76368900.0,ns,84
add_remove_component,hecs,,,,80991900.0,ns,85
add_remove_component,hecs,,,,79974400.0,ns,86
add_remove_component,hecs,,,,80822400.0,ns,87
add_remove_component,hecs,,,,80444400.0,ns,88
add_remove_component,hecs,,,,83935700.0,ns,89
add_remove_component,hecs,,,,83645100.0,ns,90
add_remove_component,hecs,,,,84822900.0,ns,91
add_remove_component,hecs,,,,83372600.0,ns,92
add_remove_component,hecs,,,,86852100.0,ns,93
add_remove_component,hecs,,,,86802200.0,ns,94
add_remove_component,hecs,,,,88395500.0,ns,95
add_remove_component,hecs,,,,88726900.0,ns,96
add_remove_component,hecs,,,,91812200.0,ns,97
add_remove_component,hecs,,,,96295800.0,ns,98
add_remove_component,hecs,,,,89322900.0,ns,99
add_remove_component,hecs,,,,91746500.0,ns,100
