group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add_remove_component,hecs,,,,1744900.0,ns,2
add_remove_component,hecs,,,,3567600.0,ns,4
add_remove_component,hecs,,,,5301400.0,ns,6
add_remove_component,hecs,,,,7619700.0,ns,8
add_remove_component,hecs,,,,9572200.0,ns,10
add_remove_component,hecs,,,,11240000.0,ns,12
add_remove_component,hecs,,,,12301500.0,ns,14
add_remove_component,hecs,,,,14346800.0,ns,16
add_remove_component,hecs,,,,15996400.0,ns,18
add_remove_component,hecs,,,,17338200.0,ns,20
add_remove_component,hecs,,,,18492300.0,ns,22
add_remove_component,hecs,,,,20805100.0,ns,24
add_remove_component,hecs,,,,22071400.0,ns,26
add_remove_component,hecs,,,,24579200.0,ns,28
add_remove_component,hecs,,,,26281300.0,ns,30
add_remove_component,hecs,,,,27022400.0,ns,32
add_remove_component,hecs,,,,31983100.0,ns,34
add_remove_component,hecs,,,,33677400.0,ns,36
add_remove_component,hecs,,,,32472600.0,ns,38
add_remove_component,hecs,,,,35148100.0,ns,40
add_remove_component,hecs,,,,36540300.0,ns,42
add_remove_component,hecs,,,,38451800.0,ns,44
add_remove_component,hecs,,,,40154600.0,ns,46
add_remove_component,hecs,,,,42178500.0,ns,48
add_remove_component,hecs,,,,44649700.0,ns,50
add_remove_component,hecs,,,,43569400.0,ns,52
add_remove_component,hecs,,,,50084800.0,ns,54
add_remove_component,hecs,,,,50067300.0,ns,56
add_remove_component,hecs,,,,50825100.0,ns,58
add_remove_component,hecs,,,,53887500.0,ns,60
add_remove_component,hecs,,,,54657800.0,ns,62
add_remove_component,hecs,,,,60548600.0,ns,64
add_remove_component,hecs,,,,56682300.0,ns,66
add_remove_component,hecs,,,,58150600.0,ns,68
add_remove_component,hecs,,,,62724600.0,ns,70
add_remove_component,hecs,,,,60789500.0,ns,72
add_remove_component,hecs,,,,64910000.0,ns,74
add_remove_component,hecs,,,,65066600.0,ns,76
add_remove_component,hecs,,,,77385800.0,ns,78
add_remove_component,hecs,,,,75795200.0,ns,80
add_remove_component,hecs,,,,72054600.0,ns,82
add_remove_component,hecs,,,,73726000.0,ns,84
add_remove_component,hecs,,,,74057300.0,ns,86
add_remove_component,hecs,,,,78550600.0,ns,88
add_remove_component,hecs,,,,82150500.0,ns,90
add_remove_component,hecs,,,,79908800.0,ns,92
add_remove_component,hecs,,,,84234400.0,ns,94
add_remove_component,hecs,,,,83363900.0,ns,96
add_remove_component,hecs,,,,83743100.0,ns,98
add_remove_component,hecs,,,,85138300.0,ns,100
add_remove_component,hecs,,,,88878900.0,ns,102
add_remove_component,hecs,,,,88406900.0,ns,104
add_remove_component,hecs,,,,91469700.0,ns,106
add_remove_component,hecs,,,,92433300.0,ns,108
add_remove_component,hecs,,,,94274500.0,ns,110
add_remove_component,hecs,,,,100499600.0,ns,112
add_remove_component,hecs,,,,110226700.0,ns,114
add_remove_component,hecs,,,,102221900.0,ns,116
add_remove_component,hecs,,,,104264800.0,ns,118
add_remove_component,hecs,,,,102155200.0,ns,120
add_remove_component,hecs,,,,106520300.0,ns,122
add_remove_component,hecs,,,,109295000.0,ns,124
add_remove_component,hecs,,,,107229000.0,ns,126
add_remove_component,hecs,,,,112254000.0,ns,128
add_remove_component,hecs,,,,124475300.0,ns,130
add_remove_component,hecs,,,,121119900.0,ns,132
add_remove_component,hecs,,,,117592900.0,ns,134
add_remove_component,hecs,,,,114185800.0,ns,136
add_remove_component,hecs,,,,122601800.0,ns,138
add_remove_component,hecs,,,,124014000.0,ns,140
add_remove_component,hecs,,,,123414900.0,ns,142
add_remove_component,hecs,,,,127498800.0,ns,144
add_remove_component,hecs,,,,124662800.0,ns,146
add_remove_component,hecs,,,,149502100.0,ns,148
add_remove_component,hecs,,,,132135500.0,ns,150
add_remove_component,hecs,,,,134516000.0,ns,152
add_remove_component,hecs,,,,152031500.0,ns,154
add_remove_component,hecs,,,,143906600.0,ns,156
add_remove_component,hecs,,,,142932000.0,ns,158
add_remove_component,hecs,,,,135821000.0,ns,160
add_remove_component,hecs,,,,156491000.0,ns,162
add_remove_component,hecs,,,,143956100.0,ns,164
add_remove_component,hecs,,,,141708100.0,ns,166
add_remove_component,hecs,,,,170014300.0,ns,168
add_remove_component,hecs,,,,149747500.0,ns,170
add_remove_component,hecs,,,,152749100.0,ns,172
add_remove_component,hecs,,,,159517300.0,ns,174
add_remove_component,hecs,,,,152616200.0,ns,176
add_remove_component,hecs,,,,153627600.0,ns,178
add_remove_component,hecs,,,,154444100.0,ns,180
add_remove_component,hecs,,,,172458800.0,ns,182
add_remove_component,hecs,,,,154434600.0,ns,184
add_remove_component,hecs,,,,159612200.0,ns,186
add_remove_component,hecs,,,,164320200.0,ns,188
add_remove_component,hecs,,,,171731100.0,ns,190
add_remove_component,hecs,,,,169300100.0,ns,192
add_remove_component,hecs,,,,181878900.0,ns,194
add_remove_component,hecs,,,,170470100.0,ns,196
add_remove_component,hecs,,,,168556700.0,ns,198
add_remove_component,hecs,,,,173156700.0,ns,200
