group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add_remove_component,legion,,,,53798200.0,ns,13
add_remove_component,legion,,,,52610100.0,ns,13
add_remove_component,legion,,,,55588000.0,ns,13
add_remove_component,legion,,,,59552600.0,ns,13
add_remove_component,legion,,,,58679000.0,ns,13
add_remove_component,legion,,,,56094000.0,ns,13
add_remove_component,legion,,,,59068500.0,ns,13
add_remove_component,legion,,,,58020800.0,ns,13
add_remove_component,legion,,,,59137200.0,ns,13
add_remove_component,legion,,,,59154100.0,ns,13
add_remove_component,legion,,,,55338400.0,ns,13
add_remove_component,legion,,,,52237700.0,ns,13
add_remove_component,legion,,,,52573800.0,ns,13
add_remove_component,legion,,,,54090500.0,ns,13
add_remove_component,legion,,,,53099300.0,ns,13
add_remove_component,legion,,,,52444900.0,ns,13
add_remove_component,legion,,,,53897500.0,ns,13
add_remove_component,legion,,,,52533000.0,ns,13
add_remove_component,legion,,,,54207300.0,ns,13
add_remove_component,legion,,,,52519600.0,ns,13
add_remove_component,legion,,,,52595500.0,ns,13
add_remove_component,legion,,,,52406300.0,ns,13
add_remove_component,legion,,,,53174600.0,ns,13
add_remove_component,legion,,,,52147800.0,ns,13
add_remove_component,legion,,,,52784300.0,ns,13
add_remove_component,legion,,,,54244700.0,ns,13
add_remove_component,legion,,,,52809600.0,ns,13
add_remove_component,legion,,,,53411500.0,ns,13
add_remove_component,legion,,,,53765500.0,ns,13
add_remove_component,legion,,,,54433600.0,ns,13
add_remove_component,legion,,,,55647700.0,ns,13
add_remove_component,legion,,,,53098200.0,ns,13
add_remove_component,legion,,,,55210800.0,ns,13
add_remove_component,legion,,,,55304500.0,ns,13
add_remove_component,legion,,,,52641700.0,ns,13
add_remove_component,legion,,,,54973300.0,ns,13
add_remove_component,legion,,,,53630000.0,ns,13
add_remove_component,legion,,,,53669500.0,ns,13
add_remove_component,legion,,,,52650400.0,ns,13
add_remove_component,legion,,,,52536200.0,ns,13
add_remove_component,legion,,,,52581100.0,ns,13
add_remove_component,legion,,,,54094600.0,ns,13
add_remove_component,legion,,,,52889000.0,ns,13
add_remove_component,legion,,,,53595300.0,ns,13
add_remove_component,legion,,,,53035300.0,ns,13
add_remove_component,legion,,,,57224800.0,ns,13
add_remove_component,legion,,,,59239900.0,ns,13
add_remove_component,legion,,,,59583900.0,ns,13
add_remove_component,legion,,,,57484800.0,ns,13
add_remove_component,legion,,,,53900000.0,ns,13
add_remove_component,legion,,,,52787100.0,ns,13
add_remove_component,legion,,,,54696200.0,ns,13
add_remove_component,legion,,,,56125200.0,ns,13
add_remove_component,legion,,,,55005300.0,ns,13
add_remove_component,legion,,,,61942500.0,ns,13
add_remove_component,legion,,,,65291700.0,ns,13
add_remove_component,legion,,,,60317500.0,ns,13
add_remove_component,legion,,,,55937400.0,ns,13
add_remove_component,legion,,,,55134700.0,ns,13
add_remove_component,legion,,,,52857700.0,ns,13
add_remove_component,legion,,,,54049200.0,ns,13
add_remove_component,legion,,,,55522600.0,ns,13
add_remove_component,legion,,,,55584900.0,ns,13
add_remove_component,legion,,,,55069800.0,ns,13
add_remove_component,legion,,,,61222800.0,ns,13
add_remove_component,legion,,,,53451200.0,ns,13
add_remove_component,legion,,,,55194800.0,ns,13
add_remove_component,legion,,,,53575900.0,ns,13
add_remove_component,legion,,,,52738000.0,ns,13
add_remove_component,legion,,,,53685700.0,ns,13
add_remove_component,legion,,,,53674200.0,ns,13
add_remove_component,legion,,,,54365400.0,ns,13
add_remove_component,legion,,,,52557300.0,ns,13
add_remove_component,legion,,,,54649000.0,ns,13
add_remove_component,legion,,,,52808300.0,ns,13
add_remove_component,legion,,,,55019400.0,ns,13
add_remove_component,legion,,,,52434900.0,ns,13
add_remove_component,legion,,,,52753200.0,ns,13
add_remove_component,legion,,,,52756200.0,ns,13
add_remove_component,legion,,,,55984900.0,ns,13
add_remove_component,legion,,,,55682300.0,ns,13
add_remove_component,legion,,,,54336300.0,ns,13
add_remove_component,legion,,,,54056200.0,ns,13
add_remove_component,legion,,,,54349700.0,ns,13
add_remove_component,legion,,,,54158400.0,ns,13
add_remove_component,legion,,,,54836600.0,ns,13
add_remove_component,legion,,,,54667700.0,ns,13
add_remove_component,legion,,,,53489900.0,ns,13
add_remove_component,legion,,,,53381600.0,ns,13
add_remove_component,legion,,,,53413700.0,ns,13
add_remove_component,legion,,,,53754400.0,ns,13
add_remove_component,legion,,,,53103500.0,ns,13
add_remove_component,legion,,,,55408200.0,ns,13
add_remove_component,legion,,,,54397900.0,ns,13
add_remove_component,legion,,,,54948600.0,ns,13
add_remove_component,legion,,,,56036600.0,ns,13
add_remove_component,legion,,,,55205500.0,ns,13
add_remove_component,legion,,,,56470900.0,ns,13
add_remove_component,legion,,,,57791300.0,ns,13
add_remove_component,legion,,,,55391300.0,ns,13
