group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add_remove_component,shipyard,,,,1119400.0,ns,9
add_remove_component,shipyard,,,,2207700.0,ns,18
add_remove_component,shipyard,,,,3258300.0,ns,27
add_remove_component,shipyard,,,,4325100.0,ns,36
add_remove_component,shipyard,,,,5424500.0,ns,45
add_remove_component,shipyard,,,,6472700.0,ns,54
add_remove_component,shipyard,,,,7557600.0,ns,63
add_remove_component,shipyard,,,,8642600.0,ns,72
add_remove_component,shipyard,,,,9654900.0,ns,81
add_remove_component,shipyard,,,,10791000.0,ns,90
add_remove_component,shipyard,,,,11801300.0,ns,99
add_remove_component,shipyard,,,,12906100.0,ns,108
add_remove_component,shipyard,,,,13989600.0,ns,117
add_remove_component,shipyard,,,,15066600.0,ns,126
add_remove_component,shipyard,,,,16123200.0,ns,135
add_remove_component,shipyard,,,,17231400.0,ns,144
add_remove_component,shipyard,,,,18297100.0,ns,153
add_remove_component,shipyard,,,,19295400.0,ns,162
add_remove_component,shipyard,,,,20547600.0,ns,171
add_remove_component,shipyard,,,,21690500.0,ns,180
add_remove_component,shipyard,,,,22615500.0,ns,189
add_remove_component,shipyard,,,,23597800.0,ns,198
add_remove_component,shipyard,,,,24919500.0,ns,207
add_remove_component,shipyard,,,,25798900.0,ns,216
add_remove_component,shipyard,,,,27048400.0,ns,225
add_remove_component,shipyard,,,,27865200.0,ns,234
add_remove_component,shipyard,,,,29058500.0,ns,243
add_remove_component,shipyard,,,,30159500.0,ns,252
add_remove_component,shipyard,,,,31340900.0,ns,261
add_remove_component,shipyard,,,,32396200.0,ns,270
add_remove_component,shipyard,,,,33288800.0,ns,279
add_remove_component,shipyard,,,,34219300.0,ns,288
add_remove_component,shipyard,,,,35447500.0,ns,297
add_remove_component,shipyard,,,,36438600.0,ns,306
add_remove_component,shipyard,,,,37786300.0,ns,315
add_remove_component,shipyard,,,,38740500.0,ns,324
add_remove_component,shipyard,,,,39804200.0,ns,333
add_remove_component,shipyard,,,,40848200.0,ns,342
add_remove_component,shipyard,,,,42252800.0,ns,351
add_remove_component,shipyard,,,,42968400.0,ns,360
add_remove_component,shipyard,,,,44131600.0,ns,369
add_remove_component,shipyard,,,,44972200.0,ns,378
add_remove_component,shipyard,,,,46252300.0,ns,387
add_remove_component,shipyard,,,,47441100.0,ns,396
add_remove_component,shipyard,,,,48400700.0,ns,405
add_remove_component,shipyard,,,,49371100.0,ns,414
add_remove_component,shipyard,,,,50743400.0,ns,423
add_remove_component,shipyard,,,,51583900.0,ns,432
add_remove_component,shipyard,,,,52772100.0,ns,441
add_remove_component,shipyard,,,,53821900.0,ns,450
add_remove_component,shipyard,,,,54997900.0,ns,459
add_remove_component,shipyard,,,,56067600.0,ns,468
add_remove_component,shipyard,,,,56701700.0,ns,477
add_remove_component,shipyard,,,,58100500.0,ns,486
add_remove_component,shipyard,,,,58951900.0,ns,495
add_remove_component,shipyard,,,,60312600.0,ns,504
add_remove_component,shipyard,,,,61157100.0,ns,513
add_remove_component,shipyard,,,,62483700.0,ns,522
add_remove_component,shipyard,,,,63891100.0,ns,531
add_remove_component,shipyard,,,,64467600.0,ns,540
add_remove_component,shipyard,,,,65430200.0,ns,549
add_remove_component,shipyard,,,,66533800.0,ns,558
add_remove_component,shipyard,,,,67559000.0,ns,567
add_remove_component,shipyard,,,,68739300.0,ns,576
add_remove_component,shipyard,,,,69603500.0,ns,585
add_remove_component,shipyard,,,,70614100.0,ns,594
add_remove_component,shipyard,,,,72137900.0,ns,603
add_remove_component,shipyard,,,,72903300.0,ns,612
add_remove_component,shipyard,,,,73972200.0,ns,621
add_remove_component,shipyard,,,,75379800.0,ns,630
add_remove_component,shipyard,,,,76345700.0,ns,639
add_remove_component,shipyard,,,,77978100.0,ns,648
add_remove_component,shipyard,,,,78717000.0,ns,657
add_remove_component,shipyard,,,,79901100.0,ns,666
add_remove_component,shipyard,,,,80846200.0,ns,675
add_remove_component,shipyard,,,,81977900.0,ns,684
add_remove_component,shipyard,,,,82916700.0,ns,693
add_remove_component,shipyard,,,,84278400.0,ns,702
add_remove_component,shipyard,,,,84897100.0,ns,711
add_remove_component,shipyard,,,,85755000.0,ns,720
add_remove_component,shipyard,,,,87281100.0,ns,729
add_remove_component,shipyard,,,,88427500.0,ns,738
add_remove_component,shipyard,,,,89340300.0,ns,747
add_remove_component,shipyard,,,,90257400.0,ns,756
add_remove_component,shipyard,,,,91607100.0,ns,765
add_remove_component,shipyard,,,,92607100.0,ns,774
add_remove_component,shipyard,,,,94036100.0,ns,783
add_remove_component,shipyard,,,,94492900.0,ns,792
add_remove_component,shipyard,,,,95679300.0,ns,801
add_remove_component,shipyard,,,,96952400.0,ns,810
add_remove_component,shipyard,,,,97969000.0,ns,819
add_remove_component,shipyard,,,,99043400.0,ns,828
add_remove_component,shipyard,,,,100268300.0,ns,837
add_remove_component,shipyard,,,,101546300.0,ns,846
add_remove_component,shipyard,,,,102809900.0,ns,855
add_remove_component,shipyard,,,,103964400.0,ns,864
add_remove_component,shipyard,,,,103814700.0,ns,873
add_remove_component,shipyard,,,,105587600.0,ns,882
add_remove_component,shipyard,,,,106857100.0,ns,891
add_remove_component,shipyard,,,,108019400.0,ns,900
