group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add_remove_component,specs,,,,1063200.0,ns,10
add_remove_component,specs,,,,2115700.0,ns,20
add_remove_component,specs,,,,3668500.0,ns,30
add_remove_component,specs,,,,4321400.0,ns,40
add_remove_component,specs,,,,5477800.0,ns,50
add_remove_component,specs,,,,6352000.0,ns,60
add_remove_component,specs,,,,7345500.0,ns,70
add_remove_component,specs,,,,8496100.0,ns,80
add_remove_component,specs,,,,13212700.0,ns,90
add_remove_component,specs,,,,12325400.0,ns,100
add_remove_component,specs,,,,11553600.0,ns,110
add_remove_component,specs,,,,12660000.0,ns,120
add_remove_component,specs,,,,13560600.0,ns,130
add_remove_component,specs,,,,14972300.0,ns,140
add_remove_component,specs,,,,15814200.0,ns,150
add_remove_component,specs,,,,16725500.0,ns,160
add_remove_component,specs,,,,17712700.0,ns,170
add_remove_component,specs,,,,19393000.0,ns,180
add_remove_component,specs,,,,19906000.0,ns,190
add_remove_component,specs,,,,21166300.0,ns,200
add_remove_component,specs,,,,21953700.0,ns,210
add_remove_component,specs,,,,23260300.0,ns,220
add_remove_component,specs,,,,24689500.0,ns,230
add_remove_component,specs,,,,25190200.0,ns,240
add_remove_component,specs,,,,26495400.0,ns,250
add_remove_component,specs,,,,27312600.0,ns,260
add_remove_component,specs,,,,28842200.0,ns,270
add_remove_component,specs,,,,29213300.0,ns,280
add_remove_component,specs,,,,30594600.0,ns,290
add_remove_component,specs,,,,31510100.0,ns,300
add_remove_component,specs,,,,32942300.0,ns,310
add_remove_component,specs,,,,33658900.0,ns,320
add_remove_component,specs,,,,35172600.0,ns,330
add_remove_component,specs,,,,36555300.0,ns,340
add_remove_component,specs,,,,36800700.0,ns,350
add_remove_component,specs,,,,38357700.0,ns,360
add_remove_component,specs,,,,38997000.0,ns,370
add_remove_component,specs,,,,40788900.0,ns,380
add_remove_component,specs,,,,41630800.0,ns,390
add_remove_component,specs,,,,43000400.0,ns,400
add_remove_component,specs,,,,43417800.0,ns,410
add_remove_component,specs,,,,44816100.0,ns,420
add_remove_component,specs,,,,45675500.0,ns,430
add_remove_component,specs,,,,46691500.0,ns,440
add_remove_component,specs,,,,47411200.0,ns,450
add_remove_component,specs,,,,48461200.0,ns,460
add_remove_component,specs,,,,49447900.0,ns,470
add_remove_component,specs,,,,50483400.0,ns,480
add_remove_component,specs,,,,51827800.0,ns,490
add_remove_component,specs,,,,53327000.0,ns,500
add_remove_component,specs,,,,53910200.0,ns,510
add_remove_component,specs,,,,55111100.0,ns,520
add_remove_component,specs,,,,56269700.0,ns,530
add_remove_component,specs,,,,57409000.0,ns,540
add_remove_component,specs,,,,58463100.0,ns,550
add_remove_component,specs,,,,59344400.0,ns,560
add_remove_component,specs,,,,60990300.0,ns,570
add_remove_component,specs,,,,61714700.0,ns,580
add_remove_component,specs,,,,63438500.0,ns,590
add_remove_component,specs,,,,67658000.0,ns,600
add_remove_component,specs,,,,65904500.0,ns,610
add_remove_component,specs,,,,65790500.0,ns,620
add_remove_component,specs,,,,66683400.0,ns,630
add_remove_component,specs,,,,67950100.0,ns,640
add_remove_component,specs,,,,69471800.0,ns,650
add_remove_component,specs,,,,69895600.0,ns,660
add_remove_component,specs,,,,71024300.0,ns,670
add_remove_component,specs,,,,73192000.0,ns,680
add_remove_component,specs,,,,72679500.0,ns,690
add_remove_component,specs,,,,77471500.0,ns,700
add_remove_component,specs,,,,76476400.0,ns,710
add_remove_component,specs,,,,79040900.0,ns,720
add_remove_component,specs,,,,77125700.0,ns,730
add_remove_component,specs,,,,77999500.0,ns,740
add_remove_component,specs,,,,79939000.0,ns,750
add_remove_component,specs,,,,85818800.0,ns,760
add_remove_component,specs,,,,81280800.0,ns,770
add_remove_component,specs,,,,83881700.0,ns,780
add_remove_component,specs,,,,83852300.0,ns,790
add_remove_component,specs,,,,84688500.0,ns,800
add_remove_component,specs,,,,85218300.0,ns,810
add_remove_component,specs,,,,87500000.0,ns,820
add_remove_component,specs,,,,87262700.0,ns,830
add_remove_component,specs,,,,88414600.0,ns,840
add_remove_component,specs,,,,89767300.0,ns,850
add_remove_component,specs,,,,91386100.0,ns,860
add_remove_component,specs,,,,91849000.0,ns,870
add_remove_component,specs,,,,93308200.0,ns,880
add_remove_component,specs,,,,94046100.0,ns,890
add_remove_component,specs,,,,94699500.0,ns,900
add_remove_component,specs,,,,97313300.0,ns,910
add_remove_component,specs,,,,97459100.0,ns,920
add_remove_component,specs,,,,97893900.0,ns,930
add_remove_component,specs,,,,99297200.0,ns,940
add_remove_component,specs,,,,101166200.0,ns,950
add_remove_component,specs,,,,101636600.0,ns,960
add_remove_component,specs,,,,103176300.0,ns,970
add_remove_component,specs,,,,104003800.0,ns,980
add_remove_component,specs,,,,105259900.0,ns,990
add_remove_component,specs,,,,107196400.0,ns,1000
