group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add_remove_component,specs,,,,1037200.0,ns,10
add_remove_component,specs,,,,2034500.0,ns,20
add_remove_component,specs,,,,3047200.0,ns,30
add_remove_component,specs,,,,4060000.0,ns,40
add_remove_component,specs,,,,5081400.0,ns,50
add_remove_component,specs,,,,6082000.0,ns,60
add_remove_component,specs,,,,7097400.0,ns,70
add_remove_component,specs,,,,8162000.0,ns,80
add_remove_component,specs,,,,9129300.0,ns,90
add_remove_component,specs,,,,10135100.0,ns,100
add_remove_component,specs,,,,11155500.0,ns,110
add_remove_component,specs,,,,12168100.0,ns,120
add_remove_component,specs,,,,13178400.0,ns,130
add_remove_component,specs,,,,14205800.0,ns,140
add_remove_component,specs,,,,15198100.0,ns,150
add_remove_component,specs,,,,16213100.0,ns,160
add_remove_component,specs,,,,17226600.0,ns,170
add_remove_component,specs,,,,18280600.0,ns,180
add_remove_component,specs,,,,19272400.0,ns,190
add_remove_component,specs,,,,20266700.0,ns,200
add_remove_component,specs,,,,21286200.0,ns,210
add_remove_component,specs,,,,22291300.0,ns,220
add_remove_component,specs,,,,23344000.0,ns,230
add_remove_component,specs,,,,24372600.0,ns,240
add_remove_component,specs,,,,25319700.0,ns,250
add_remove_component,specs,,,,26426200.0,ns,260
add_remove_component,specs,,,,27416000.0,ns,270
add_remove_component,specs,,,,28373300.0,ns,280
add_remove_component,specs,,,,29378400.0,ns,290
add_remove_component,specs,,,,30391400.0,ns,300
add_remove_component,specs,,,,31421600.0,ns,310
add_remove_component,specs,,,,32416200.0,ns,320
add_remove_component,specs,,,,33433900.0,ns,330
add_remove_component,specs,,,,34463300.0,ns,340
add_remove_component,specs,,,,35452200.0,ns,350
add_remove_component,specs,,,,36518000.0,ns,360
add_remove_component,specs,,,,37527500.0,ns,370
add_remove_component,specs,,,,38505800.0,ns,380
add_remove_component,specs,,,,39624500.0,ns,390
add_remove_component,specs,,,,40555400.0,ns,400
add_remove_component,specs,,,,41540600.0,ns,410
add_remove_component,specs,,,,42553600.0,ns,420
add_remove_component,specs,,,,43568700.0,ns,430
add_remove_component,specs,,,,44633300.0,ns,440
add_remove_component,specs,,,,45631000.0,ns,450
add_remove_component,specs,,,,46614000.0,ns,460
add_remove_component,specs,,,,47680000.0,ns,470
add_remove_component,specs,,,,48651800.0,ns,480
add_remove_component,specs,,,,49623700.0,ns,490
add_remove_component,specs,,,,50645600.0,ns,500
add_remove_component,specs,,,,51719300.0,ns,510
add_remove_component,specs,,,,52799100.0,ns,520
add_remove_component,specs,,,,53780300.0,ns,530
add_remove_component,specs,,,,54738500.0,ns,540
add_remove_component,specs,,,,55752200.0,ns,550
add_remove_component,specs,,,,56772000.0,ns,560
add_remove_component,specs,,,,57815600.0,ns,570
add_remove_component,specs,,,,58789700.0,ns,580
add_remove_component,specs,,,,59760400.0,ns,590
add_remove_component,specs,,,,60897200.0,ns,600
add_remove_component,specs,,,,61829500.0,ns,610
add_remove_component,specs,,,,62860700.0,ns,620
add_remove_component,specs,,,,63860000.0,ns,630
add_remove_component,specs,,,,64964900.0,ns,640
add_remove_component,specs,,,,65908900.0,ns,650
add_remove_component,specs,,,,66887400.0,ns,660
add_remove_component,specs,,,,67863500.0,ns,670
add_remove_component,specs,,,,68934500.0,ns,680
add_remove_component,specs,,,,70033900.0,ns,690
add_remove_component,specs,,,,70922200.0,ns,700
add_remove_component,specs,,,,71909500.0,ns,710
add_remove_component,specs,,,,72997600.0,ns,720
add_remove_component,specs,,,,74001200.0,ns,730
add_remove_component,specs,,,,75012200.0,ns,740
add_remove_component,specs,,,,76141000.0,ns,750
add_remove_component,specs,,,,76997900.0,ns,760
add_remove_component,specs,,,,78011200.0,ns,770
add_remove_component,specs,,,,79045200.0,ns,780
add_remove_component,specs,,,,80176200.0,ns,790
add_remove_component,specs,,,,81122400.0,ns,800
add_remove_component,specs,,,,82212600.0,ns,810
add_remove_component,specs,,,,83222400.0,ns,820
add_remove_component,specs,,,,84288600.0,ns,830
add_remove_component,specs,,,,85267100.0,ns,840
add_remove_component,specs,,,,86365200.0,ns,850
add_remove_component,specs,,,,87286500.0,ns,860
add_remove_component,specs,,,,88341800.0,ns,870
add_remove_component,specs,,,,89328100.0,ns,880
add_remove_component,specs,,,,90268700.0,ns,890
add_remove_component,specs,,,,91359800.0,ns,900
add_remove_component,specs,,,,92333500.0,ns,910
add_remove_component,specs,,,,93362100.0,ns,920
add_remove_component,specs,,,,94480000.0,ns,930
add_remove_component,specs,,,,95516000.0,ns,940
add_remove_component,specs,,,,96392300.0,ns,950
add_remove_component,specs,,,,97661600.0,ns,960
add_remove_component,specs,,,,98415900.0,ns,970
add_remove_component,specs,,,,99342300.0,ns,980
add_remove_component,specs,,,,102887700.0,ns,990
add_remove_component,specs,,,,101318000.0,ns,1000
