group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fragmented_iter,bevy,,,,1006300.0,ns,434
fragmented_iter,bevy,,,,1974200.0,ns,868
fragmented_iter,bevy,,,,2949800.0,ns,1302
fragmented_iter,bevy,,,,4011800.0,ns,1736
fragmented_iter,bevy,,,,4983000.0,ns,2170
fragmented_iter,bevy,,,,5992600.0,ns,2604
fragmented_iter,bevy,,,,6957100.0,ns,3038
fragmented_iter,bevy,,,,7975600.0,ns,3472
fragmented_iter,bevy,,,,9015300.0,ns,3906
fragmented_iter,bevy,,,,9763000.0,ns,4340
fragmented_iter,bevy,,,,10850400.0,ns,4774
fragmented_iter,bevy,,,,11849700.0,ns,5208
fragmented_iter,bevy,,,,12886300.0,ns,5642
fragmented_iter,bevy,,,,13743000.0,ns,6076
fragmented_iter,bevy,,,,15004900.0,ns,6510
fragmented_iter,bevy,,,,15962800.0,ns,6944
fragmented_iter,bevy,,,,17663700.0,ns,7378
fragmented_iter,bevy,,,,18382400.0,ns,7812
fragmented_iter,bevy,,,,21952300.0,ns,8246
fragmented_iter,bevy,,,,20561700.0,ns,8680
fragmented_iter,bevy,,,,21525100.0,ns,9114
fragmented_iter,bevy,,,,22259100.0,ns,9548
fragmented_iter,bevy,,,,22857900.0,ns,9982
fragmented_iter,bevy,,,,23562200.0,ns,10416
fragmented_iter,bevy,,,,24787200.0,ns,10850
fragmented_iter,bevy,,,,27188700.0,ns,11284
fragmented_iter,bevy,,,,30468300.0,ns,11718
fragmented_iter,bevy,,,,30006500.0,ns,12152
fragmented_iter,bevy,,,,29268800.0,ns,12586
fragmented_iter,bevy,,,,29841500.0,ns,13020
fragmented_iter,bevy,,,,31188600.0,ns,13454
fragmented_iter,bevy,,,,31761700.0,ns,13888
fragmented_iter,bevy,,,,33803700.0,ns,14322
fragmented_iter,bevy,,,,34743000.0,ns,14756
fragmented_iter,bevy,,,,37283100.0,ns,15190
fragmented_iter,bevy,,,,35941000.0,ns,15624
fragmented_iter,bevy,,,,37467400.0,ns,16058
fragmented_iter,bevy,,,,39373800.0,ns,16492
fragmented_iter,bevy,,,,40967700.0,ns,16926
fragmented_iter,bevy,,,,39831700.0,ns,17360
fragmented_iter,bevy,,,,41292700.0,ns,17794
fragmented_iter,bevy,,,,42100400.0,ns,18228
fragmented_iter,bevy,,,,43673900.0,ns,18662
fragmented_iter,bevy,,,,63322100.0,ns,19096
fragmented_iter,bevy,,,,52177400.0,ns,19530
fragmented_iter,bevy,,,,48544800.0,ns,19964
fragmented_iter,bevy,,,,48591800.0,ns,20398
fragmented_iter,bevy,,,,48878000.0,ns,20832
fragmented_iter,bevy,,,,50495900.0,ns,21266
fragmented_iter,bevy,,,,49379200.0,ns,21700
fragmented_iter,bevy,,,,50104200.0,ns,22134
fragmented_iter,bevy,,,,51618300.0,ns,22568
fragmented_iter,bevy,,,,52047700.0,ns,23002
fragmented_iter,bevy,,,,53133600.0,ns,23436
fragmented_iter,bevy,,,,54129600.0,ns,23870
fragmented_iter,bevy,,,,55309400.0,ns,24304
fragmented_iter,bevy,,,,56501200.0,ns,24738
fragmented_iter,bevy,,,,57220700.0,ns,25172
fragmented_iter,bevy,,,,57838400.0,ns,25606
fragmented_iter,bevy,,,,60697400.0,ns,26040
fragmented_iter,bevy,,,,64105600.0,ns,26474
fragmented_iter,bevy,,,,65922500.0,ns,26908
fragmented_iter,bevy,,,,63543700.0,ns,27342
fragmented_iter,bevy,,,,63363200.0,ns,27776
fragmented_iter,bevy,,,,63929300.0,ns,28210
fragmented_iter,bevy,,,,65848400.0,ns,28644
fragmented_iter,bevy,,,,73409600.0,ns,29078
fragmented_iter,bevy,,,,68618500.0,ns,29512
fragmented_iter,bevy,,,,68490500.0,ns,29946
fragmented_iter,bevy,,,,70512900.0,ns,30380
fragmented_iter,bevy,,,,71025600.0,ns,30814
fragmented_iter,bevy,,,,71039900.0,ns,31248
fragmented_iter,bevy,,,,72462400.0,ns,31682
fragmented_iter,bevy,,,,73151900.0,ns,32116
fragmented_iter,bevy,,,,74607100.0,ns,32550
fragmented_iter,bevy,,,,75726700.0,ns,32984
fragmented_iter,bevy,,,,77003600.0,ns,33418
fragmented_iter,bevy,,,,77101700.0,ns,33852
fragmented_iter,bevy,,,,78117900.0,ns,34286
fragmented_iter,bevy,,,,79186300.0,ns,34720
fragmented_iter,bevy,,,,80226600.0,ns,35154
fragmented_iter,bevy,,,,81673900.0,ns,35588
fragmented_iter,bevy,,,,82427400.0,ns,36022
fragmented_iter,bevy,,,,83779700.0,ns,36456
fragmented_iter,bevy,,,,84599100.0,ns,36890
fragmented_iter,bevy,,,,86287100.0,ns,37324
fragmented_iter,bevy,,,,88547200.0,ns,37758
fragmented_iter,bevy,,,,89048800.0,ns,38192
fragmented_iter,bevy,,,,88784700.0,ns,38626
fragmented_iter,bevy,,,,90516000.0,ns,39060
fragmented_iter,bevy,,,,91323900.0,ns,39494
fragmented_iter,bevy,,,,92978000.0,ns,39928
fragmented_iter,bevy,,,,92479200.0,ns,40362
fragmented_iter,bevy,,,,94393100.0,ns,40796
fragmented_iter,bevy,,,,95025500.0,ns,41230
fragmented_iter,bevy,,,,95198700.0,ns,41664
fragmented_iter,bevy,,,,95529800.0,ns,42098
fragmented_iter,bevy,,,,97001000.0,ns,42532
fragmented_iter,bevy,,,,100906600.0,ns,42966
fragmented_iter,bevy,,,,101384200.0,ns,43400
