group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fragmented_iter,hecs,,,,1032800.0,ns,2378
fragmented_iter,hecs,,,,1978800.0,ns,4756
fragmented_iter,hecs,,,,2960300.0,ns,7134
fragmented_iter,hecs,,,,4038000.0,ns,9512
fragmented_iter,hecs,,,,4875500.0,ns,11890
fragmented_iter,hecs,,,,5915800.0,ns,14268
fragmented_iter,hecs,,,,7035800.0,ns,16646
fragmented_iter,hecs,,,,8133800.0,ns,19024
fragmented_iter,hecs,,,,9049300.0,ns,21402
fragmented_iter,hecs,,,,10066900.0,ns,23780
fragmented_iter,hecs,,,,11521400.0,ns,26158
fragmented_iter,hecs,,,,11795100.0,ns,28536
fragmented_iter,hecs,,,,12860700.0,ns,30914
fragmented_iter,hecs,,,,13785600.0,ns,33292
fragmented_iter,hecs,,,,15227900.0,ns,35670
fragmented_iter,hecs,,,,16399000.0,ns,38048
fragmented_iter,hecs,,,,17252600.0,ns,40426
fragmented_iter,hecs,,,,17767900.0,ns,42804
fragmented_iter,hecs,,,,18962100.0,ns,45182
fragmented_iter,hecs,,,,19739700.0,ns,47560
fragmented_iter,hecs,,,,20571100.0,ns,49938
fragmented_iter,hecs,,,,22078100.0,ns,52316
fragmented_iter,hecs,,,,22925800.0,ns,54694
fragmented_iter,hecs,,,,23990700.0,ns,57072
fragmented_iter,hecs,,,,24387000.0,ns,59450
fragmented_iter,hecs,,,,40818600.0,ns,61828
fragmented_iter,hecs,,,,33205800.0,ns,64206
fragmented_iter,hecs,,,,30999300.0,ns,66584
fragmented_iter,hecs,,,,28976000.0,ns,68962
fragmented_iter,hecs,,,,30944900.0,ns,71340
fragmented_iter,hecs,,,,30792400.0,ns,73718
fragmented_iter,hecs,,,,31977700.0,ns,76096
fragmented_iter,hecs,,,,33322300.0,ns,78474
fragmented_iter,hecs,,,,33792500.0,ns,80852
fragmented_iter,hecs,,,,34368000.0,ns,83230
fragmented_iter,hecs,,,,35507700.0,ns,85608
fragmented_iter,hecs,,,,36799600.0,ns,87986
fragmented_iter,hecs,,,,37342100.0,ns,90364
fragmented_iter,hecs,,,,39113700.0,ns,92742
fragmented_iter,hecs,,,,39356100.0,ns,95120
fragmented_iter,hecs,,,,40257800.0,ns,97498
fragmented_iter,hecs,,,,41148600.0,ns,99876
fragmented_iter,hecs,,,,44123700.0,ns,102254
fragmented_iter,hecs,,,,44453600.0,ns,104632
fragmented_iter,hecs,,,,45614400.0,ns,107010
fragmented_iter,hecs,,,,45346700.0,ns,109388
fragmented_iter,hecs,,,,46130500.0,ns,111766
fragmented_iter,hecs,,,,47244100.0,ns,114144
fragmented_iter,hecs,,,,48352400.0,ns,116522
fragmented_iter,hecs,,,,49254600.0,ns,118900
fragmented_iter,hecs,,,,50349000.0,ns,121278
fragmented_iter,hecs,,,,51525800.0,ns,123656
fragmented_iter,hecs,,,,52382600.0,ns,126034
fragmented_iter,hecs,,,,53107600.0,ns,128412
fragmented_iter,hecs,,,,55491300.0,ns,130790
fragmented_iter,hecs,,,,55089000.0,ns,133168
fragmented_iter,hecs,,,,55904900.0,ns,135546
fragmented_iter,hecs,,,,74972900.0,ns,137924
fragmented_iter,hecs,,,,60401500.0,ns,140302
fragmented_iter,hecs,,,,59641800.0,ns,142680
fragmented_iter,hecs,,,,60628600.0,ns,145058
fragmented_iter,hecs,,,,61204000.0,ns,147436
fragmented_iter,hecs,,,,62036500.0,ns,149814
fragmented_iter,hecs,,,,63456800.0,ns,152192
fragmented_iter,hecs,,,,63837200.0,ns,154570
fragmented_iter,hecs,,,,65031100.0,ns,156948
fragmented_iter,hecs,,,,66060100.0,ns,159326
fragmented_iter,hecs,,,,67591500.0,ns,161704
fragmented_iter,hecs,,,,68296300.0,ns,164082
fragmented_iter,hecs,,,,68447200.0,ns,166460
fragmented_iter,hecs,,,,70066800.0,ns,168838
fragmented_iter,hecs,,,,71196600.0,ns,171216
fragmented_iter,hecs,,,,72027900.0,ns,173594
fragmented_iter,hecs,,,,73075000.0,ns,175972
fragmented_iter,hecs,,,,74088100.0,ns,178350
fragmented_iter,hecs,,,,78378800.0,ns,180728
fragmented_iter,hecs,,,,76819200.0,ns,183106
fragmented_iter,hecs,,,,77084500.0,ns,185484
fragmented_iter,hecs,,,,77956300.0,ns,187862
fragmented_iter,hecs,,,,79415100.0,ns,190240
fragmented_iter,hecs,,,,79377600.0,ns,192618
fragmented_iter,hecs,,,,85582000.0,ns,194996
fragmented_iter,hecs,,,,82488600.0,ns,197374
fragmented_iter,hecs,,,,82590400.0,ns,199752
fragmented_iter,hecs,,,,84886200.0,ns,202130
fragmented_iter,hecs,,,,87716800.0,ns,204508
fragmented_iter,hecs,,,,89194300.0,ns,206886
fragmented_iter,hecs,,,,86518800.0,ns,209264
fragmented_iter,hecs,,,,88880800.0,ns,211642
fragmented_iter,hecs,,,,88655200.0,ns,214020
fragmented_iter,hecs,,,,89799900.0,ns,216398
fragmented_iter,hecs,,,,110546500.0,ns,218776
fragmented_iter,hecs,,,,96479300.0,ns,221154
fragmented_iter,hecs,,,,93143300.0,ns,223532
fragmented_iter,hecs,,,,94873500.0,ns,225910
fragmented_iter,hecs,,,,95082900.0,ns,228288
fragmented_iter,hecs,,,,96013500.0,ns,230666
fragmented_iter,hecs,,,,96271900.0,ns,233044
fragmented_iter,hecs,,,,112599300.0,ns,235422
fragmented_iter,hecs,,,,107798500.0,ns,237800
