group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fragmented_iter,legion,,,,975300.0,ns,2302
fragmented_iter,legion,,,,1954800.0,ns,4604
fragmented_iter,legion,,,,2939800.0,ns,6906
fragmented_iter,legion,,,,3910000.0,ns,9208
fragmented_iter,legion,,,,4917000.0,ns,11510
fragmented_iter,legion,,,,5884000.0,ns,13812
fragmented_iter,legion,,,,6854500.0,ns,16114
fragmented_iter,legion,,,,8160400.0,ns,18416
fragmented_iter,legion,,,,9105500.0,ns,20718
fragmented_iter,legion,,,,9818000.0,ns,23020
fragmented_iter,legion,,,,10785000.0,ns,25322
fragmented_iter,legion,,,,11750300.0,ns,27624
fragmented_iter,legion,,,,13314400.0,ns,29926
fragmented_iter,legion,,,,13704900.0,ns,32228
fragmented_iter,legion,,,,14719200.0,ns,34530
fragmented_iter,legion,,,,15675200.0,ns,36832
fragmented_iter,legion,,,,17056800.0,ns,39134
fragmented_iter,legion,,,,17677300.0,ns,41436
fragmented_iter,legion,,,,18684900.0,ns,43738
fragmented_iter,legion,,,,20423000.0,ns,46040
fragmented_iter,legion,,,,20688500.0,ns,48342
fragmented_iter,legion,,,,21562900.0,ns,50644
fragmented_iter,legion,,,,22666500.0,ns,52946
fragmented_iter,legion,,,,23536800.0,ns,55248
fragmented_iter,legion,,,,25103300.0,ns,57550
fragmented_iter,legion,,,,25481500.0,ns,59852
fragmented_iter,legion,,,,26471900.0,ns,62154
fragmented_iter,legion,,,,27894900.0,ns,64456
fragmented_iter,legion,,,,28436600.0,ns,66758
fragmented_iter,legion,,,,29977300.0,ns,69060
fragmented_iter,legion,,,,30340700.0,ns,71362
fragmented_iter,legion,,,,31488700.0,ns,73664
fragmented_iter,legion,,,,32306300.0,ns,75966
fragmented_iter,legion,,,,33722400.0,ns,78268
fragmented_iter,legion,,,,34802200.0,ns,80570
fragmented_iter,legion,,,,35299700.0,ns,82872
fragmented_iter,legion,,,,36517500.0,ns,85174
fragmented_iter,legion,,,,37514200.0,ns,87476
fragmented_iter,legion,,,,38314000.0,ns,89778
fragmented_iter,legion,,,,39376700.0,ns,92080
fragmented_iter,legion,,,,40329400.0,ns,94382
fragmented_iter,legion,,,,41492500.0,ns,96684
fragmented_iter,legion,,,,42710900.0,ns,98986
fragmented_iter,legion,,,,43258900.0,ns,101288
fragmented_iter,legion,,,,44216900.0,ns,103590
fragmented_iter,legion,,,,45074300.0,ns,105892
fragmented_iter,legion,,,,46670200.0,ns,108194
fragmented_iter,legion,,,,47192900.0,ns,110496
fragmented_iter,legion,,,,48594900.0,ns,112798
fragmented_iter,legion,,,,49166400.0,ns,115100
fragmented_iter,legion,,,,50114400.0,ns,117402
fragmented_iter,legion,,,,51067000.0,ns,119704
fragmented_iter,legion,,,,52414400.0,ns,122006
fragmented_iter,legion,,,,53090100.0,ns,124308
fragmented_iter,legion,,,,54228400.0,ns,126610
fragmented_iter,legion,,,,55129100.0,ns,128912
fragmented_iter,legion,,,,55973200.0,ns,131214
fragmented_iter,legion,,,,57140800.0,ns,133516
fragmented_iter,legion,,,,58243200.0,ns,135818
fragmented_iter,legion,,,,58951200.0,ns,138120
fragmented_iter,legion,,,,59934100.0,ns,140422
fragmented_iter,legion,,,,62978400.0,ns,142724
fragmented_iter,legion,,,,61849400.0,ns,145026
fragmented_iter,legion,,,,62769900.0,ns,147328
fragmented_iter,legion,,,,64111900.0,ns,149630
fragmented_iter,legion,,,,64784400.0,ns,151932
fragmented_iter,legion,,,,66022900.0,ns,154234
fragmented_iter,legion,,,,66797500.0,ns,156536
fragmented_iter,legion,,,,68691600.0,ns,158838
fragmented_iter,legion,,,,68675900.0,ns,161140
fragmented_iter,legion,,,,69722200.0,ns,163442
fragmented_iter,legion,,,,71099000.0,ns,165744
fragmented_iter,legion,,,,73338600.0,ns,168046
fragmented_iter,legion,,,,81406300.0,ns,170348
fragmented_iter,legion,,,,75925600.0,ns,172650
fragmented_iter,legion,,,,75044500.0,ns,174952
fragmented_iter,legion,,,,76640800.0,ns,177254
fragmented_iter,legion,,,,77277800.0,ns,179556
fragmented_iter,legion,,,,78014900.0,ns,181858
fragmented_iter,legion,,,,79521800.0,ns,184160
fragmented_iter,legion,,,,80026400.0,ns,186462
fragmented_iter,legion,,,,81295300.0,ns,188764
fragmented_iter,legion,,,,82621400.0,ns,191066
fragmented_iter,legion,,,,83136100.0,ns,193368
fragmented_iter,legion,,,,84087800.0,ns,195670
fragmented_iter,legion,,,,84775400.0,ns,197972
fragmented_iter,legion,,,,85698200.0,ns,200274
fragmented_iter,legion,,,,88603400.0,ns,202576
fragmented_iter,legion,,,,88902400.0,ns,204878
fragmented_iter,legion,,,,90850400.0,ns,207180
fragmented_iter,legion,,,,118422600.0,ns,209482
fragmented_iter,legion,,,,120865000.0,ns,211784
fragmented_iter,legion,,,,103883800.0,ns,214086
fragmented_iter,legion,,,,107577100.0,ns,216388
fragmented_iter,legion,,,,95858200.0,ns,218690
fragmented_iter,legion,,,,100956100.0,ns,220992
fragmented_iter,legion,,,,98317100.0,ns,223294
fragmented_iter,legion,,,,98664700.0,ns,225596
fragmented_iter,legion,,,,98948300.0,ns,227898
fragmented_iter,legion,,,,99924400.0,ns,230200
