group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fragmented_iter,planck_ecs,,,,984200.0,ns,1575
fragmented_iter,planck_ecs,,,,1967700.0,ns,3150
fragmented_iter,planck_ecs,,,,2951500.0,ns,4725
fragmented_iter,planck_ecs,,,,3933700.0,ns,6300
fragmented_iter,planck_ecs,,,,4933200.0,ns,7875
fragmented_iter,planck_ecs,,,,5920100.0,ns,9450
fragmented_iter,planck_ecs,,,,7022800.0,ns,11025
fragmented_iter,planck_ecs,,,,7905400.0,ns,12600
fragmented_iter,planck_ecs,,,,8863600.0,ns,14175
fragmented_iter,planck_ecs,,,,9860900.0,ns,15750
fragmented_iter,planck_ecs,,,,10830500.0,ns,17325
fragmented_iter,planck_ecs,,,,11810300.0,ns,18900
fragmented_iter,planck_ecs,,,,12803900.0,ns,20475
fragmented_iter,planck_ecs,,,,13791500.0,ns,22050
fragmented_iter,planck_ecs,,,,14775300.0,ns,23625
fragmented_iter,planck_ecs,,,,15756200.0,ns,25200
fragmented_iter,planck_ecs,,,,16732000.0,ns,26775
fragmented_iter,planck_ecs,,,,17716300.0,ns,28350
fragmented_iter,planck_ecs,,,,18806800.0,ns,29925
fragmented_iter,planck_ecs,,,,19768300.0,ns,31500
fragmented_iter,planck_ecs,,,,20679000.0,ns,33075
fragmented_iter,planck_ecs,,,,21683600.0,ns,34650
fragmented_iter,planck_ecs,,,,22635000.0,ns,36225
fragmented_iter,planck_ecs,,,,23644800.0,ns,37800
fragmented_iter,planck_ecs,,,,24632100.0,ns,39375
fragmented_iter,planck_ecs,,,,25595800.0,ns,40950
fragmented_iter,planck_ecs,,,,26599400.0,ns,42525
fragmented_iter,planck_ecs,,,,27569000.0,ns,44100
fragmented_iter,planck_ecs,,,,28633400.0,ns,45675
fragmented_iter,planck_ecs,,,,29589400.0,ns,47250
fragmented_iter,planck_ecs,,,,30570400.0,ns,48825
fragmented_iter,planck_ecs,,,,31604100.0,ns,50400
fragmented_iter,planck_ecs,,,,32498000.0,ns,51975
fragmented_iter,planck_ecs,,,,33519800.0,ns,53550
fragmented_iter,planck_ecs,,,,34457500.0,ns,55125
fragmented_iter,planck_ecs,,,,35441000.0,ns,56700
fragmented_iter,planck_ecs,,,,36432000.0,ns,58275
fragmented_iter,planck_ecs,,,,37440300.0,ns,59850
fragmented_iter,planck_ecs,,,,38529600.0,ns,61425
fragmented_iter,planck_ecs,,,,39410300.0,ns,63000
fragmented_iter,planck_ecs,,,,40500600.0,ns,64575
fragmented_iter,planck_ecs,,,,41361500.0,ns,66150
fragmented_iter,planck_ecs,,,,42449400.0,ns,67725
fragmented_iter,planck_ecs,,,,43390300.0,ns,69300
fragmented_iter,planck_ecs,,,,44357100.0,ns,70875
fragmented_iter,planck_ecs,,,,45286200.0,ns,72450
fragmented_iter,planck_ecs,,,,46403900.0,ns,74025
fragmented_iter,planck_ecs,,,,47298200.0,ns,75600
fragmented_iter,planck_ecs,,,,48420900.0,ns,77175
fragmented_iter,planck_ecs,,,,49395600.0,ns,78750
fragmented_iter,planck_ecs,,,,50326100.0,ns,80325
fragmented_iter,planck_ecs,,,,51228900.0,ns,81900
fragmented_iter,planck_ecs,,,,52315700.0,ns,83475
fragmented_iter,planck_ecs,,,,53267800.0,ns,85050
fragmented_iter,planck_ecs,,,,54236400.0,ns,86625
fragmented_iter,planck_ecs,,,,55715500.0,ns,88200
fragmented_iter,planck_ecs,,,,56231200.0,ns,89775
fragmented_iter,planck_ecs,,,,57186400.0,ns,91350
fragmented_iter,planck_ecs,,,,58191000.0,ns,92925
fragmented_iter,planck_ecs,,,,59148600.0,ns,94500
fragmented_iter,planck_ecs,,,,60467800.0,ns,96075
fragmented_iter,planck_ecs,,,,61045400.0,ns,97650
fragmented_iter,planck_ecs,,,,62048800.0,ns,99225
fragmented_iter,planck_ecs,,,,63067100.0,ns,100800
fragmented_iter,planck_ecs,,,,64075900.0,ns,102375
fragmented_iter,planck_ecs,,,,65004200.0,ns,103950
fragmented_iter,planck_ecs,,,,65981500.0,ns,105525
fragmented_iter,planck_ecs,,,,66984800.0,ns,107100
fragmented_iter,planck_ecs,,,,68006400.0,ns,108675
fragmented_iter,planck_ecs,,,,68953800.0,ns,110250
fragmented_iter,planck_ecs,,,,69995400.0,ns,111825
fragmented_iter,planck_ecs,,,,74641200.0,ns,113400
fragmented_iter,planck_ecs,,,,72537400.0,ns,114975
fragmented_iter,planck_ecs,,,,76718000.0,ns,116550
fragmented_iter,planck_ecs,,,,73918400.0,ns,118125
fragmented_iter,planck_ecs,,,,74963200.0,ns,119700
fragmented_iter,planck_ecs,,,,76285800.0,ns,121275
fragmented_iter,planck_ecs,,,,77174700.0,ns,122850
fragmented_iter,planck_ecs,,,,77978700.0,ns,124425
fragmented_iter,planck_ecs,,,,79019600.0,ns,126000
fragmented_iter,planck_ecs,,,,79786200.0,ns,127575
fragmented_iter,planck_ecs,,,,80955100.0,ns,129150
fragmented_iter,planck_ecs,,,,81768500.0,ns,130725
fragmented_iter,planck_ecs,,,,82817900.0,ns,132300
fragmented_iter,planck_ecs,,,,83967200.0,ns,133875
fragmented_iter,planck_ecs,,,,84865000.0,ns,135450
fragmented_iter,planck_ecs,,,,85873800.0,ns,137025
fragmented_iter,planck_ecs,,,,86785000.0,ns,138600
fragmented_iter,planck_ecs,,,,87657400.0,ns,140175
fragmented_iter,planck_ecs,,,,88924100.0,ns,141750
fragmented_iter,planck_ecs,,,,89867700.0,ns,143325
fragmented_iter,planck_ecs,,,,90769600.0,ns,144900
fragmented_iter,planck_ecs,,,,91740400.0,ns,146475
fragmented_iter,planck_ecs,,,,92566800.0,ns,148050
fragmented_iter,planck_ecs,,,,93617600.0,ns,149625
fragmented_iter,planck_ecs,,,,94725900.0,ns,151200
fragmented_iter,planck_ecs,,,,95891300.0,ns,152775
fragmented_iter,planck_ecs,,,,96626700.0,ns,154350
fragmented_iter,planck_ecs,,,,97815500.0,ns,155925
fragmented_iter,planck_ecs,,,,98706100.0,ns,157500
