group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fragmented_iter,shipyard,,,,973400.0,ns,11726
fragmented_iter,shipyard,,,,1982200.0,ns,23452
fragmented_iter,shipyard,,,,2899100.0,ns,35178
fragmented_iter,shipyard,,,,3866100.0,ns,46904
fragmented_iter,shipyard,,,,4851800.0,ns,58630
fragmented_iter,shipyard,,,,5807100.0,ns,70356
fragmented_iter,shipyard,,,,6777700.0,ns,82082
fragmented_iter,shipyard,,,,8198700.0,ns,93808
fragmented_iter,shipyard,,,,8874400.0,ns,105534
fragmented_iter,shipyard,,,,9750000.0,ns,117260
fragmented_iter,shipyard,,,,10651100.0,ns,128986
fragmented_iter,shipyard,,,,11614100.0,ns,140712
fragmented_iter,shipyard,,,,12595300.0,ns,152438
fragmented_iter,shipyard,,,,14231000.0,ns,164164
fragmented_iter,shipyard,,,,14523200.0,ns,175890
fragmented_iter,shipyard,,,,15514600.0,ns,187616
fragmented_iter,shipyard,,,,16460500.0,ns,199342
fragmented_iter,shipyard,,,,17566500.0,ns,211068
fragmented_iter,shipyard,,,,18405900.0,ns,222794
fragmented_iter,shipyard,,,,19408700.0,ns,234520
fragmented_iter,shipyard,,,,20630300.0,ns,246246
fragmented_iter,shipyard,,,,21286100.0,ns,257972
fragmented_iter,shipyard,,,,22394700.0,ns,269698
fragmented_iter,shipyard,,,,23287900.0,ns,281424
fragmented_iter,shipyard,,,,24214800.0,ns,293150
fragmented_iter,shipyard,,,,25621200.0,ns,304876
fragmented_iter,shipyard,,,,26132000.0,ns,316602
fragmented_iter,shipyard,,,,27226500.0,ns,328328
fragmented_iter,shipyard,,,,28066200.0,ns,340054
fragmented_iter,shipyard,,,,29485700.0,ns,351780
fragmented_iter,shipyard,,,,29989800.0,ns,363506
fragmented_iter,shipyard,,,,31235100.0,ns,375232
fragmented_iter,shipyard,,,,31963800.0,ns,386958
fragmented_iter,shipyard,,,,34016700.0,ns,398684
fragmented_iter,shipyard,,,,34341200.0,ns,410410
fragmented_iter,shipyard,,,,35053200.0,ns,422136
fragmented_iter,shipyard,,,,35872400.0,ns,433862
fragmented_iter,shipyard,,,,36819100.0,ns,445588
fragmented_iter,shipyard,,,,38009700.0,ns,457314
fragmented_iter,shipyard,,,,38848300.0,ns,469040
fragmented_iter,shipyard,,,,39708300.0,ns,480766
fragmented_iter,shipyard,,,,40904000.0,ns,492492
fragmented_iter,shipyard,,,,41639600.0,ns,504218
fragmented_iter,shipyard,,,,43514900.0,ns,515944
fragmented_iter,shipyard,,,,43957200.0,ns,527670
fragmented_iter,shipyard,,,,44625600.0,ns,539396
fragmented_iter,shipyard,,,,45746700.0,ns,551122
fragmented_iter,shipyard,,,,46576900.0,ns,562848
fragmented_iter,shipyard,,,,47468600.0,ns,574574
fragmented_iter,shipyard,,,,48617000.0,ns,586300
fragmented_iter,shipyard,,,,49746400.0,ns,598026
fragmented_iter,shipyard,,,,50665800.0,ns,609752
fragmented_iter,shipyard,,,,51073600.0,ns,621478
fragmented_iter,shipyard,,,,52288600.0,ns,633204
fragmented_iter,shipyard,,,,53328000.0,ns,644930
fragmented_iter,shipyard,,,,54493500.0,ns,656656
fragmented_iter,shipyard,,,,55639300.0,ns,668382
fragmented_iter,shipyard,,,,56999300.0,ns,680108
fragmented_iter,shipyard,,,,57537900.0,ns,691834
fragmented_iter,shipyard,,,,58989300.0,ns,703560
fragmented_iter,shipyard,,,,59364500.0,ns,715286
fragmented_iter,shipyard,,,,60861300.0,ns,727012
fragmented_iter,shipyard,,,,61601300.0,ns,738738
fragmented_iter,shipyard,,,,62469900.0,ns,750464
fragmented_iter,shipyard,,,,62843800.0,ns,762190
fragmented_iter,shipyard,,,,64736900.0,ns,773916
fragmented_iter,shipyard,,,,65384400.0,ns,785642
fragmented_iter,shipyard,,,,66360200.0,ns,797368
fragmented_iter,shipyard,,,,67597300.0,ns,809094
fragmented_iter,shipyard,,,,68710200.0,ns,820820
fragmented_iter,shipyard,,,,69197900.0,ns,832546
fragmented_iter,shipyard,,,,70391600.0,ns,844272
fragmented_iter,shipyard,,,,71342200.0,ns,855998
fragmented_iter,shipyard,,,,72353600.0,ns,867724
fragmented_iter,shipyard,,,,72904000.0,ns,879450
fragmented_iter,shipyard,,,,73928800.0,ns,891176
fragmented_iter,shipyard,,,,75197900.0,ns,902902
fragmented_iter,shipyard,,,,76009700.0,ns,914628
fragmented_iter,shipyard,,,,77027100.0,ns,926354
fragmented_iter,shipyard,,,,77926000.0,ns,938080
fragmented_iter,shipyard,,,,78700200.0,ns,949806
fragmented_iter,shipyard,,,,79644000.0,ns,961532
fragmented_iter,shipyard,,,,80725800.0,ns,973258
fragmented_iter,shipyard,,,,82266500.0,ns,984984
fragmented_iter,shipyard,,,,82667800.0,ns,996710
fragmented_iter,shipyard,,,,84064100.0,ns,1008436
fragmented_iter,shipyard,,,,85078800.0,ns,1020162
fragmented_iter,shipyard,,,,85734200.0,ns,1031888
fragmented_iter,shipyard,,,,86568000.0,ns,1043614
fragmented_iter,shipyard,,,,88205100.0,ns,1055340
fragmented_iter,shipyard,,,,88309300.0,ns,1067066
fragmented_iter,shipyard,,,,89340400.0,ns,1078792
fragmented_iter,shipyard,,,,90447600.0,ns,1090518
fragmented_iter,shipyard,,,,92254600.0,ns,1102244
fragmented_iter,shipyard,,,,92471800.0,ns,1113970
fragmented_iter,shipyard,,,,93621900.0,ns,1125696
fragmented_iter,shipyard,,,,94295800.0,ns,1137422
fragmented_iter,shipyard,,,,95258400.0,ns,1149148
fragmented_iter,shipyard,,,,97138500.0,ns,1160874
fragmented_iter,shipyard,,,,97090600.0,ns,1172600
