group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fragmented_iter,shipyard,,,,1331000.0,ns,11991
fragmented_iter,shipyard,,,,2266700.0,ns,23982
fragmented_iter,shipyard,,,,2965700.0,ns,35973
fragmented_iter,shipyard,,,,3980000.0,ns,47964
fragmented_iter,shipyard,,,,4927700.0,ns,59955
fragmented_iter,shipyard,,,,5947700.0,ns,71946
fragmented_iter,shipyard,,,,7052400.0,ns,83937
fragmented_iter,shipyard,,,,7916600.0,ns,95928
fragmented_iter,shipyard,,,,8881400.0,ns,107919
fragmented_iter,shipyard,,,,9923700.0,ns,119910
fragmented_iter,shipyard,,,,10886300.0,ns,131901
fragmented_iter,shipyard,,,,11792100.0,ns,143892
fragmented_iter,shipyard,,,,12815900.0,ns,155883
fragmented_iter,shipyard,,,,13831600.0,ns,167874
fragmented_iter,shipyard,,,,14828700.0,ns,179865
fragmented_iter,shipyard,,,,15812800.0,ns,191856
fragmented_iter,shipyard,,,,16854300.0,ns,203847
fragmented_iter,shipyard,,,,17729900.0,ns,215838
fragmented_iter,shipyard,,,,18702800.0,ns,227829
fragmented_iter,shipyard,,,,19734200.0,ns,239820
fragmented_iter,shipyard,,,,20870100.0,ns,251811
fragmented_iter,shipyard,,,,21815900.0,ns,263802
fragmented_iter,shipyard,,,,22619800.0,ns,275793
fragmented_iter,shipyard,,,,23707600.0,ns,287784
fragmented_iter,shipyard,,,,24691200.0,ns,299775
fragmented_iter,shipyard,,,,25712300.0,ns,311766
fragmented_iter,shipyard,,,,26610400.0,ns,323757
fragmented_iter,shipyard,,,,27624900.0,ns,335748
fragmented_iter,shipyard,,,,28722200.0,ns,347739
fragmented_iter,shipyard,,,,29630200.0,ns,359730
fragmented_iter,shipyard,,,,30639900.0,ns,371721
fragmented_iter,shipyard,,,,31633000.0,ns,383712
fragmented_iter,shipyard,,,,32588400.0,ns,395703
fragmented_iter,shipyard,,,,33595900.0,ns,407694
fragmented_iter,shipyard,,,,34499200.0,ns,419685
fragmented_iter,shipyard,,,,35638200.0,ns,431676
fragmented_iter,shipyard,,,,36531400.0,ns,443667
fragmented_iter,shipyard,,,,37536200.0,ns,455658
fragmented_iter,shipyard,,,,38448500.0,ns,467649
fragmented_iter,shipyard,,,,39569200.0,ns,479640
fragmented_iter,shipyard,,,,40514800.0,ns,491631
fragmented_iter,shipyard,,,,41460000.0,ns,503622
fragmented_iter,shipyard,,,,42533300.0,ns,515613
fragmented_iter,shipyard,,,,43568900.0,ns,527604
fragmented_iter,shipyard,,,,44402500.0,ns,539595
fragmented_iter,shipyard,,,,45426500.0,ns,551586
fragmented_iter,shipyard,,,,46430800.0,ns,563577
fragmented_iter,shipyard,,,,47282400.0,ns,575568
fragmented_iter,shipyard,,,,48436400.0,ns,587559
fragmented_iter,shipyard,,,,49903500.0,ns,599550
fragmented_iter,shipyard,,,,50616700.0,ns,611541
fragmented_iter,shipyard,,,,51468200.0,ns,623532
fragmented_iter,shipyard,,,,52480500.0,ns,635523
fragmented_iter,shipyard,,,,53406000.0,ns,647514
fragmented_iter,shipyard,,,,54377200.0,ns,659505
fragmented_iter,shipyard,,,,55377300.0,ns,671496
fragmented_iter,shipyard,,,,56323000.0,ns,683487
fragmented_iter,shipyard,,,,57613300.0,ns,695478
fragmented_iter,shipyard,,,,58276000.0,ns,707469
fragmented_iter,shipyard,,,,59131200.0,ns,719460
fragmented_iter,shipyard,,,,60098000.0,ns,731451
fragmented_iter,shipyard,,,,61252700.0,ns,743442
fragmented_iter,shipyard,,,,62272800.0,ns,755433
fragmented_iter,shipyard,,,,63560500.0,ns,767424
fragmented_iter,shipyard,,,,64116800.0,ns,779415
fragmented_iter,shipyard,,,,65047500.0,ns,791406
fragmented_iter,shipyard,,,,66032200.0,ns,803397
fragmented_iter,shipyard,,,,71305100.0,ns,815388
fragmented_iter,shipyard,,,,68314200.0,ns,827379
fragmented_iter,shipyard,,,,69230900.0,ns,839370
fragmented_iter,shipyard,,,,70171700.0,ns,851361
fragmented_iter,shipyard,,,,71208900.0,ns,863352
fragmented_iter,shipyard,,,,72267800.0,ns,875343
fragmented_iter,shipyard,,,,73203600.0,ns,887334
fragmented_iter,shipyard,,,,74087500.0,ns,899325
fragmented_iter,shipyard,,,,74857800.0,ns,911316
fragmented_iter,shipyard,,,,76107500.0,ns,923307
fragmented_iter,shipyard,,,,77089300.0,ns,935298
fragmented_iter,shipyard,,,,78076500.0,ns,947289
fragmented_iter,shipyard,,,,79240100.0,ns,959280
fragmented_iter,shipyard,,,,80364400.0,ns,971271
fragmented_iter,shipyard,,,,81081800.0,ns,983262
fragmented_iter,shipyard,,,,81958700.0,ns,995253
fragmented_iter,shipyard,,,,83074900.0,ns,1007244
fragmented_iter,shipyard,,,,83912200.0,ns,1019235
fragmented_iter,shipyard,,,,84916700.0,ns,1031226
fragmented_iter,shipyard,,,,86007200.0,ns,1043217
