group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fragmented_iter,specs,,,,992500.0,ns,963
fragmented_iter,specs,,,,1971900.0,ns,1926
fragmented_iter,specs,,,,3149400.0,ns,2889
fragmented_iter,specs,,,,3932300.0,ns,3852
fragmented_iter,specs,,,,4913700.0,ns,4815
fragmented_iter,specs,,,,5899600.0,ns,5778
fragmented_iter,specs,,,,6903100.0,ns,6741
fragmented_iter,specs,,,,8438400.0,ns,7704
fragmented_iter,specs,,,,8865000.0,ns,8667
fragmented_iter,specs,,,,9812700.0,ns,9630
fragmented_iter,specs,,,,10786700.0,ns,10593
fragmented_iter,specs,,,,12139600.0,ns,11556
fragmented_iter,specs,,,,13110100.0,ns,12519
fragmented_iter,specs,,,,13736900.0,ns,13482
fragmented_iter,specs,,,,14727100.0,ns,14445
fragmented_iter,specs,,,,15702200.0,ns,15408
fragmented_iter,specs,,,,16843600.0,ns,16371
fragmented_iter,specs,,,,17721900.0,ns,17334
fragmented_iter,specs,,,,18838800.0,ns,18297
fragmented_iter,specs,,,,19800300.0,ns,19260
fragmented_iter,specs,,,,20655200.0,ns,20223
fragmented_iter,specs,,,,21733800.0,ns,21186
fragmented_iter,specs,,,,22664300.0,ns,22149
fragmented_iter,specs,,,,23522500.0,ns,23112
fragmented_iter,specs,,,,24491500.0,ns,24075
fragmented_iter,specs,,,,26127700.0,ns,25038
fragmented_iter,specs,,,,26655300.0,ns,26001
fragmented_iter,specs,,,,27705400.0,ns,26964
fragmented_iter,specs,,,,28526500.0,ns,27927
fragmented_iter,specs,,,,30164500.0,ns,28890
fragmented_iter,specs,,,,30496300.0,ns,29853
fragmented_iter,specs,,,,32154700.0,ns,30816
fragmented_iter,specs,,,,32791700.0,ns,31779
fragmented_iter,specs,,,,33664600.0,ns,32742
fragmented_iter,specs,,,,34787400.0,ns,33705
fragmented_iter,specs,,,,36056600.0,ns,34668
fragmented_iter,specs,,,,36746200.0,ns,35631
fragmented_iter,specs,,,,38251000.0,ns,36594
fragmented_iter,specs,,,,38704100.0,ns,37557
fragmented_iter,specs,,,,39770300.0,ns,38520
fragmented_iter,specs,,,,40813300.0,ns,39483
fragmented_iter,specs,,,,41104100.0,ns,40446
fragmented_iter,specs,,,,42551600.0,ns,41409
fragmented_iter,specs,,,,43842600.0,ns,42372
fragmented_iter,specs,,,,45475000.0,ns,43335
fragmented_iter,specs,,,,45499000.0,ns,44298
fragmented_iter,specs,,,,46601100.0,ns,45261
fragmented_iter,specs,,,,47729600.0,ns,46224
fragmented_iter,specs,,,,48321800.0,ns,47187
fragmented_iter,specs,,,,49833500.0,ns,48150
fragmented_iter,specs,,,,50522500.0,ns,49113
fragmented_iter,specs,,,,51470100.0,ns,50076
fragmented_iter,specs,,,,52494800.0,ns,51039
fragmented_iter,specs,,,,53875900.0,ns,52002
fragmented_iter,specs,,,,54524100.0,ns,52965
fragmented_iter,specs,,,,55289500.0,ns,53928
fragmented_iter,specs,,,,56397200.0,ns,54891
fragmented_iter,specs,,,,60575600.0,ns,55854
fragmented_iter,specs,,,,58790900.0,ns,56817
fragmented_iter,specs,,,,64088500.0,ns,57780
fragmented_iter,specs,,,,61284700.0,ns,58743
fragmented_iter,specs,,,,62979800.0,ns,59706
fragmented_iter,specs,,,,67855600.0,ns,60669
fragmented_iter,specs,,,,91733800.0,ns,61632
fragmented_iter,specs,,,,71214600.0,ns,62595
fragmented_iter,specs,,,,65758600.0,ns,63558
fragmented_iter,specs,,,,67045600.0,ns,64521
fragmented_iter,specs,,,,68124600.0,ns,65484
fragmented_iter,specs,,,,68333900.0,ns,66447
fragmented_iter,specs,,,,72083000.0,ns,67410
fragmented_iter,specs,,,,70087100.0,ns,68373
fragmented_iter,specs,,,,71180100.0,ns,69336
fragmented_iter,specs,,,,71905800.0,ns,70299
fragmented_iter,specs,,,,72739000.0,ns,71262
fragmented_iter,specs,,,,73605000.0,ns,72225
fragmented_iter,specs,,,,75093600.0,ns,73188
fragmented_iter,specs,,,,78605800.0,ns,74151
fragmented_iter,specs,,,,76642900.0,ns,75114
fragmented_iter,specs,,,,77801200.0,ns,76077
fragmented_iter,specs,,,,78971700.0,ns,77040
fragmented_iter,specs,,,,80102700.0,ns,78003
fragmented_iter,specs,,,,80956100.0,ns,78966
fragmented_iter,specs,,,,82370500.0,ns,79929
fragmented_iter,specs,,,,82960200.0,ns,80892
fragmented_iter,specs,,,,83651800.0,ns,81855
fragmented_iter,specs,,,,85723400.0,ns,82818
fragmented_iter,specs,,,,86534300.0,ns,83781
fragmented_iter,specs,,,,86569500.0,ns,84744
fragmented_iter,specs,,,,88910700.0,ns,85707
fragmented_iter,specs,,,,88981200.0,ns,86670
fragmented_iter,specs,,,,89442000.0,ns,87633
fragmented_iter,specs,,,,90752100.0,ns,88596
fragmented_iter,specs,,,,91475000.0,ns,89559
fragmented_iter,specs,,,,93156000.0,ns,90522
fragmented_iter,specs,,,,94535400.0,ns,91485
fragmented_iter,specs,,,,94214300.0,ns,92448
fragmented_iter,specs,,,,95838500.0,ns,93411
fragmented_iter,specs,,,,96937400.0,ns,94374
fragmented_iter,specs,,,,98168700.0,ns,95337
fragmented_iter,specs,,,,105888000.0,ns,96300
