group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,bevy,,,,1913200.0,ns,1
heavy_compute,bevy,,,,3675800.0,ns,2
heavy_compute,bevy,,,,5443200.0,ns,3
heavy_compute,bevy,,,,13641300.0,ns,4
heavy_compute,bevy,,,,9268800.0,ns,5
heavy_compute,bevy,,,,11796200.0,ns,6
heavy_compute,bevy,,,,11933900.0,ns,7
heavy_compute,bevy,,,,15605000.0,ns,8
heavy_compute,bevy,,,,19112200.0,ns,9
heavy_compute,bevy,,,,19775200.0,ns,10
heavy_compute,bevy,,,,22873000.0,ns,11
heavy_compute,bevy,,,,76119700.0,ns,12
heavy_compute,bevy,,,,75222200.0,ns,13
heavy_compute,bevy,,,,37186700.0,ns,14
heavy_compute,bevy,,,,33317700.0,ns,15
heavy_compute,bevy,,,,33107500.0,ns,16
heavy_compute,bevy,,,,32930000.0,ns,17
heavy_compute,bevy,,,,33089200.0,ns,18
heavy_compute,bevy,,,,41562700.0,ns,19
heavy_compute,bevy,,,,35869400.0,ns,20
heavy_compute,bevy,,,,37157100.0,ns,21
heavy_compute,bevy,,,,38946000.0,ns,22
heavy_compute,bevy,,,,40538600.0,ns,23
heavy_compute,bevy,,,,42243700.0,ns,24
heavy_compute,bevy,,,,43480300.0,ns,25
heavy_compute,bevy,,,,55517700.0,ns,26
heavy_compute,bevy,,,,46612800.0,ns,27
heavy_compute,bevy,,,,50282500.0,ns,28
heavy_compute,bevy,,,,51590300.0,ns,29
heavy_compute,bevy,,,,53242200.0,ns,30
heavy_compute,bevy,,,,52827800.0,ns,31
heavy_compute,bevy,,,,56901900.0,ns,32
heavy_compute,bevy,,,,57679100.0,ns,33
heavy_compute,bevy,,,,60709900.0,ns,34
heavy_compute,bevy,,,,64720500.0,ns,35
heavy_compute,bevy,,,,64839100.0,ns,36
heavy_compute,bevy,,,,69968300.0,ns,37
heavy_compute,bevy,,,,66689900.0,ns,38
heavy_compute,bevy,,,,70532300.0,ns,39
heavy_compute,bevy,,,,69632600.0,ns,40
heavy_compute,bevy,,,,71878500.0,ns,41
heavy_compute,bevy,,,,78266800.0,ns,42
heavy_compute,bevy,,,,80563800.0,ns,43
heavy_compute,bevy,,,,84531100.0,ns,44
heavy_compute,bevy,,,,83433700.0,ns,45
heavy_compute,bevy,,,,87536000.0,ns,46
heavy_compute,bevy,,,,87520400.0,ns,47
heavy_compute,bevy,,,,95162500.0,ns,48
heavy_compute,bevy,,,,89378900.0,ns,49
heavy_compute,bevy,,,,90083700.0,ns,50
heavy_compute,bevy,,,,96479000.0,ns,51
heavy_compute,bevy,,,,94409700.0,ns,52
heavy_compute,bevy,,,,96974100.0,ns,53
heavy_compute,bevy,,,,98483600.0,ns,54
heavy_compute,bevy,,,,101662400.0,ns,55
heavy_compute,bevy,,,,101176100.0,ns,56
heavy_compute,bevy,,,,104826300.0,ns,57
heavy_compute,bevy,,,,107843800.0,ns,58
heavy_compute,bevy,,,,109229200.0,ns,59
heavy_compute,bevy,,,,113292400.0,ns,60
heavy_compute,bevy,,,,120283100.0,ns,61
heavy_compute,bevy,,,,112398300.0,ns,62
heavy_compute,bevy,,,,114439700.0,ns,63
heavy_compute,bevy,,,,116950500.0,ns,64
heavy_compute,bevy,,,,119838800.0,ns,65
heavy_compute,bevy,,,,122738400.0,ns,66
heavy_compute,bevy,,,,123470600.0,ns,67
heavy_compute,bevy,,,,128791100.0,ns,68
heavy_compute,bevy,,,,128461600.0,ns,69
heavy_compute,bevy,,,,130971500.0,ns,70
heavy_compute,bevy,,,,129460600.0,ns,71
heavy_compute,bevy,,,,132182400.0,ns,72
heavy_compute,bevy,,,,133964600.0,ns,73
heavy_compute,bevy,,,,134979600.0,ns,74
heavy_compute,bevy,,,,135467600.0,ns,75
heavy_compute,bevy,,,,143185700.0,ns,76
heavy_compute,bevy,,,,146811500.0,ns,77
heavy_compute,bevy,,,,143848000.0,ns,78
heavy_compute,bevy,,,,148197600.0,ns,79
heavy_compute,bevy,,,,146611500.0,ns,80
heavy_compute,bevy,,,,147154700.0,ns,81
heavy_compute,bevy,,,,148265200.0,ns,82
heavy_compute,bevy,,,,155168800.0,ns,83
heavy_compute,bevy,,,,161975100.0,ns,84
heavy_compute,bevy,,,,158515400.0,ns,85
heavy_compute,bevy,,,,154966100.0,ns,86
heavy_compute,bevy,,,,161626500.0,ns,87
heavy_compute,bevy,,,,167353600.0,ns,88
heavy_compute,bevy,,,,163811400.0,ns,89
heavy_compute,bevy,,,,189058200.0,ns,90
heavy_compute,bevy,,,,217979900.0,ns,91
heavy_compute,bevy,,,,213717300.0,ns,92
heavy_compute,bevy,,,,207633500.0,ns,93
heavy_compute,bevy,,,,269312000.0,ns,94
heavy_compute,bevy,,,,181324200.0,ns,95
heavy_compute,bevy,,,,183150000.0,ns,96
heavy_compute,bevy,,,,213831400.0,ns,97
heavy_compute,bevy,,,,199934200.0,ns,98
heavy_compute,bevy,,,,188862400.0,ns,99
heavy_compute,bevy,,,,185960700.0,ns,100
