group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,bevy,,,,1653500.0,ns,1
heavy_compute,bevy,,,,3481800.0,ns,2
heavy_compute,bevy,,,,4991500.0,ns,3
heavy_compute,bevy,,,,6614200.0,ns,4
heavy_compute,bevy,,,,8522200.0,ns,5
heavy_compute,bevy,,,,10605500.0,ns,6
heavy_compute,bevy,,,,13254500.0,ns,7
heavy_compute,bevy,,,,14509600.0,ns,8
heavy_compute,bevy,,,,16610800.0,ns,9
heavy_compute,bevy,,,,18261100.0,ns,10
heavy_compute,bevy,,,,19006300.0,ns,11
heavy_compute,bevy,,,,33083000.0,ns,12
heavy_compute,bevy,,,,21044800.0,ns,13
heavy_compute,bevy,,,,22780200.0,ns,14
heavy_compute,bevy,,,,24655800.0,ns,15
heavy_compute,bevy,,,,27044000.0,ns,16
heavy_compute,bevy,,,,28921400.0,ns,17
heavy_compute,bevy,,,,30462000.0,ns,18
heavy_compute,bevy,,,,31588000.0,ns,19
heavy_compute,bevy,,,,34421900.0,ns,20
heavy_compute,bevy,,,,35080300.0,ns,21
heavy_compute,bevy,,,,37045800.0,ns,22
heavy_compute,bevy,,,,37919000.0,ns,23
heavy_compute,bevy,,,,39937600.0,ns,24
heavy_compute,bevy,,,,41741200.0,ns,25
heavy_compute,bevy,,,,45571300.0,ns,26
heavy_compute,bevy,,,,44635700.0,ns,27
heavy_compute,bevy,,,,46634200.0,ns,28
heavy_compute,bevy,,,,48003600.0,ns,29
heavy_compute,bevy,,,,49962400.0,ns,30
heavy_compute,bevy,,,,52297400.0,ns,31
heavy_compute,bevy,,,,52828700.0,ns,32
heavy_compute,bevy,,,,55463000.0,ns,33
heavy_compute,bevy,,,,56723000.0,ns,34
heavy_compute,bevy,,,,58223700.0,ns,35
heavy_compute,bevy,,,,66781000.0,ns,36
heavy_compute,bevy,,,,63110900.0,ns,37
heavy_compute,bevy,,,,63919800.0,ns,38
heavy_compute,bevy,,,,66386600.0,ns,39
heavy_compute,bevy,,,,66106600.0,ns,40
heavy_compute,bevy,,,,68235200.0,ns,41
heavy_compute,bevy,,,,70722700.0,ns,42
heavy_compute,bevy,,,,72138600.0,ns,43
heavy_compute,bevy,,,,74834800.0,ns,44
heavy_compute,bevy,,,,75267300.0,ns,45
heavy_compute,bevy,,,,78333300.0,ns,46
heavy_compute,bevy,,,,85618600.0,ns,47
heavy_compute,bevy,,,,85935500.0,ns,48
heavy_compute,bevy,,,,88538000.0,ns,49
heavy_compute,bevy,,,,94234600.0,ns,50
heavy_compute,bevy,,,,90319200.0,ns,51
heavy_compute,bevy,,,,87872700.0,ns,52
heavy_compute,bevy,,,,88646500.0,ns,53
heavy_compute,bevy,,,,90940600.0,ns,54
heavy_compute,bevy,,,,91802300.0,ns,55
heavy_compute,bevy,,,,95105000.0,ns,56
heavy_compute,bevy,,,,95567200.0,ns,57
heavy_compute,bevy,,,,97136000.0,ns,58
heavy_compute,bevy,,,,99608500.0,ns,59
heavy_compute,bevy,,,,101121400.0,ns,60
heavy_compute,bevy,,,,107401600.0,ns,61
heavy_compute,bevy,,,,104999800.0,ns,62
heavy_compute,bevy,,,,105410400.0,ns,63
heavy_compute,bevy,,,,105993300.0,ns,64
heavy_compute,bevy,,,,109162800.0,ns,65
heavy_compute,bevy,,,,113290700.0,ns,66
heavy_compute,bevy,,,,112291900.0,ns,67
heavy_compute,bevy,,,,113514000.0,ns,68
heavy_compute,bevy,,,,116894700.0,ns,69
heavy_compute,bevy,,,,117531700.0,ns,70
heavy_compute,bevy,,,,125354000.0,ns,71
heavy_compute,bevy,,,,122317900.0,ns,72
heavy_compute,bevy,,,,126601600.0,ns,73
heavy_compute,bevy,,,,136320900.0,ns,74
heavy_compute,bevy,,,,131200300.0,ns,75
heavy_compute,bevy,,,,128386600.0,ns,76
heavy_compute,bevy,,,,133750400.0,ns,77
heavy_compute,bevy,,,,134364600.0,ns,78
heavy_compute,bevy,,,,157163500.0,ns,79
heavy_compute,bevy,,,,151653100.0,ns,80
heavy_compute,bevy,,,,138623100.0,ns,81
heavy_compute,bevy,,,,138739500.0,ns,82
heavy_compute,bevy,,,,138978600.0,ns,83
heavy_compute,bevy,,,,140807400.0,ns,84
heavy_compute,bevy,,,,143595700.0,ns,85
heavy_compute,bevy,,,,151095100.0,ns,86
heavy_compute,bevy,,,,144252600.0,ns,87
heavy_compute,bevy,,,,149379700.0,ns,88
heavy_compute,bevy,,,,149809400.0,ns,89
heavy_compute,bevy,,,,150648500.0,ns,90
heavy_compute,bevy,,,,154380600.0,ns,91
heavy_compute,bevy,,,,156075400.0,ns,92
heavy_compute,bevy,,,,162236200.0,ns,93
heavy_compute,bevy,,,,156844600.0,ns,94
heavy_compute,bevy,,,,167906900.0,ns,95
heavy_compute,bevy,,,,161840700.0,ns,96
heavy_compute,bevy,,,,163147200.0,ns,97
heavy_compute,bevy,,,,163980500.0,ns,98
heavy_compute,bevy,,,,174148600.0,ns,99
heavy_compute,bevy,,,,193784700.0,ns,100
