group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,hecs,,,,997000.0,ns,1
heavy_compute,hecs,,,,2025700.0,ns,2
heavy_compute,hecs,,,,2848300.0,ns,3
heavy_compute,hecs,,,,3983800.0,ns,4
heavy_compute,hecs,,,,5085600.0,ns,5
heavy_compute,hecs,,,,6132500.0,ns,6
heavy_compute,hecs,,,,7117900.0,ns,7
heavy_compute,hecs,,,,8112100.0,ns,8
heavy_compute,hecs,,,,9160000.0,ns,9
heavy_compute,hecs,,,,10264500.0,ns,10
heavy_compute,hecs,,,,11196500.0,ns,11
heavy_compute,hecs,,,,11703300.0,ns,12
heavy_compute,hecs,,,,12834800.0,ns,13
heavy_compute,hecs,,,,13935800.0,ns,14
heavy_compute,hecs,,,,14823600.0,ns,15
heavy_compute,hecs,,,,16353700.0,ns,16
heavy_compute,hecs,,,,17029700.0,ns,17
heavy_compute,hecs,,,,17818800.0,ns,18
heavy_compute,hecs,,,,18808000.0,ns,19
heavy_compute,hecs,,,,19434200.0,ns,20
heavy_compute,hecs,,,,21534500.0,ns,21
heavy_compute,hecs,,,,22131400.0,ns,22
heavy_compute,hecs,,,,23011500.0,ns,23
heavy_compute,hecs,,,,24022400.0,ns,24
heavy_compute,hecs,,,,25717300.0,ns,25
heavy_compute,hecs,,,,25735300.0,ns,26
heavy_compute,hecs,,,,26985000.0,ns,27
heavy_compute,hecs,,,,28799800.0,ns,28
heavy_compute,hecs,,,,29606600.0,ns,29
heavy_compute,hecs,,,,30269300.0,ns,30
heavy_compute,hecs,,,,30676400.0,ns,31
heavy_compute,hecs,,,,32246300.0,ns,32
heavy_compute,hecs,,,,33356700.0,ns,33
heavy_compute,hecs,,,,33284900.0,ns,34
heavy_compute,hecs,,,,35840000.0,ns,35
heavy_compute,hecs,,,,38002500.0,ns,36
heavy_compute,hecs,,,,38083500.0,ns,37
heavy_compute,hecs,,,,37758300.0,ns,38
heavy_compute,hecs,,,,39626400.0,ns,39
heavy_compute,hecs,,,,41093300.0,ns,40
heavy_compute,hecs,,,,41299200.0,ns,41
heavy_compute,hecs,,,,42061600.0,ns,42
heavy_compute,hecs,,,,44456800.0,ns,43
heavy_compute,hecs,,,,44014600.0,ns,44
heavy_compute,hecs,,,,44891100.0,ns,45
heavy_compute,hecs,,,,46287400.0,ns,46
heavy_compute,hecs,,,,46917700.0,ns,47
heavy_compute,hecs,,,,48528300.0,ns,48
heavy_compute,hecs,,,,48665500.0,ns,49
heavy_compute,hecs,,,,50618700.0,ns,50
heavy_compute,hecs,,,,50873100.0,ns,51
heavy_compute,hecs,,,,53007900.0,ns,52
heavy_compute,hecs,,,,52806000.0,ns,53
heavy_compute,hecs,,,,55096600.0,ns,54
heavy_compute,hecs,,,,54790800.0,ns,55
heavy_compute,hecs,,,,56446600.0,ns,56
heavy_compute,hecs,,,,57059500.0,ns,57
heavy_compute,hecs,,,,60189100.0,ns,58
heavy_compute,hecs,,,,60589800.0,ns,59
heavy_compute,hecs,,,,60914600.0,ns,60
heavy_compute,hecs,,,,62116500.0,ns,61
heavy_compute,hecs,,,,61758600.0,ns,62
heavy_compute,hecs,,,,64281000.0,ns,63
heavy_compute,hecs,,,,64504900.0,ns,64
heavy_compute,hecs,,,,66231600.0,ns,65
heavy_compute,hecs,,,,66417000.0,ns,66
heavy_compute,hecs,,,,68248800.0,ns,67
heavy_compute,hecs,,,,67967300.0,ns,68
heavy_compute,hecs,,,,69126900.0,ns,69
heavy_compute,hecs,,,,70569900.0,ns,70
heavy_compute,hecs,,,,72157900.0,ns,71
heavy_compute,hecs,,,,74783000.0,ns,72
heavy_compute,hecs,,,,73427100.0,ns,73
heavy_compute,hecs,,,,77557800.0,ns,74
heavy_compute,hecs,,,,75999500.0,ns,75
heavy_compute,hecs,,,,76255200.0,ns,76
heavy_compute,hecs,,,,77746500.0,ns,77
heavy_compute,hecs,,,,79753700.0,ns,78
heavy_compute,hecs,,,,81882300.0,ns,79
heavy_compute,hecs,,,,83429600.0,ns,80
heavy_compute,hecs,,,,85810500.0,ns,81
heavy_compute,hecs,,,,85311100.0,ns,82
heavy_compute,hecs,,,,86971800.0,ns,83
heavy_compute,hecs,,,,88985500.0,ns,84
heavy_compute,hecs,,,,88815700.0,ns,85
heavy_compute,hecs,,,,92818800.0,ns,86
heavy_compute,hecs,,,,93505900.0,ns,87
heavy_compute,hecs,,,,91625000.0,ns,88
heavy_compute,hecs,,,,93113600.0,ns,89
heavy_compute,hecs,,,,95002100.0,ns,90
heavy_compute,hecs,,,,95099900.0,ns,91
heavy_compute,hecs,,,,96211500.0,ns,92
heavy_compute,hecs,,,,96610600.0,ns,93
heavy_compute,hecs,,,,98622100.0,ns,94
heavy_compute,hecs,,,,100532100.0,ns,95
heavy_compute,hecs,,,,100368400.0,ns,96
heavy_compute,hecs,,,,106305800.0,ns,97
heavy_compute,hecs,,,,107234300.0,ns,98
heavy_compute,hecs,,,,102947700.0,ns,99
heavy_compute,hecs,,,,106278200.0,ns,100
