group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,hecs,,,,1018500.0,ns,1
heavy_compute,hecs,,,,2007700.0,ns,2
heavy_compute,hecs,,,,2858800.0,ns,3
heavy_compute,hecs,,,,4095300.0,ns,4
heavy_compute,hecs,,,,5163100.0,ns,5
heavy_compute,hecs,,,,6144200.0,ns,6
heavy_compute,hecs,,,,7024500.0,ns,7
heavy_compute,hecs,,,,7814900.0,ns,8
heavy_compute,hecs,,,,9087800.0,ns,9
heavy_compute,hecs,,,,10388400.0,ns,10
heavy_compute,hecs,,,,10323900.0,ns,11
heavy_compute,hecs,,,,12101400.0,ns,12
heavy_compute,hecs,,,,12962900.0,ns,13
heavy_compute,hecs,,,,13731700.0,ns,14
heavy_compute,hecs,,,,16240000.0,ns,15
heavy_compute,hecs,,,,15478100.0,ns,16
heavy_compute,hecs,,,,16898000.0,ns,17
heavy_compute,hecs,,,,19228000.0,ns,18
heavy_compute,hecs,,,,18603100.0,ns,19
heavy_compute,hecs,,,,19707000.0,ns,20
heavy_compute,hecs,,,,21924000.0,ns,21
heavy_compute,hecs,,,,21564800.0,ns,22
heavy_compute,hecs,,,,22580300.0,ns,23
heavy_compute,hecs,,,,24645100.0,ns,24
heavy_compute,hecs,,,,24607200.0,ns,25
heavy_compute,hecs,,,,26087300.0,ns,26
heavy_compute,hecs,,,,27550100.0,ns,27
heavy_compute,hecs,,,,28785800.0,ns,28
heavy_compute,hecs,,,,27745100.0,ns,29
heavy_compute,hecs,,,,30140900.0,ns,30
heavy_compute,hecs,,,,30136400.0,ns,31
heavy_compute,hecs,,,,32093900.0,ns,32
heavy_compute,hecs,,,,33526200.0,ns,33
heavy_compute,hecs,,,,34576700.0,ns,34
heavy_compute,hecs,,,,34929300.0,ns,35
heavy_compute,hecs,,,,36685600.0,ns,36
heavy_compute,hecs,,,,37515700.0,ns,37
heavy_compute,hecs,,,,39329600.0,ns,38
heavy_compute,hecs,,,,41486600.0,ns,39
heavy_compute,hecs,,,,39995200.0,ns,40
heavy_compute,hecs,,,,39918900.0,ns,41
heavy_compute,hecs,,,,42271800.0,ns,42
heavy_compute,hecs,,,,43117700.0,ns,43
heavy_compute,hecs,,,,44070100.0,ns,44
heavy_compute,hecs,,,,49120800.0,ns,45
heavy_compute,hecs,,,,47905400.0,ns,46
heavy_compute,hecs,,,,48245600.0,ns,47
heavy_compute,hecs,,,,48770700.0,ns,48
heavy_compute,hecs,,,,49974900.0,ns,49
heavy_compute,hecs,,,,49838600.0,ns,50
heavy_compute,hecs,,,,51275500.0,ns,51
heavy_compute,hecs,,,,50771900.0,ns,52
heavy_compute,hecs,,,,52229800.0,ns,53
heavy_compute,hecs,,,,53803000.0,ns,54
heavy_compute,hecs,,,,57056900.0,ns,55
heavy_compute,hecs,,,,55670700.0,ns,56
heavy_compute,hecs,,,,56847400.0,ns,57
heavy_compute,hecs,,,,59799400.0,ns,58
heavy_compute,hecs,,,,61348500.0,ns,59
heavy_compute,hecs,,,,63553000.0,ns,60
heavy_compute,hecs,,,,60339200.0,ns,61
heavy_compute,hecs,,,,61448200.0,ns,62
heavy_compute,hecs,,,,62399700.0,ns,63
heavy_compute,hecs,,,,65015300.0,ns,64
heavy_compute,hecs,,,,66579800.0,ns,65
heavy_compute,hecs,,,,66248300.0,ns,66
heavy_compute,hecs,,,,67378200.0,ns,67
heavy_compute,hecs,,,,67951700.0,ns,68
heavy_compute,hecs,,,,68183300.0,ns,69
heavy_compute,hecs,,,,68019200.0,ns,70
heavy_compute,hecs,,,,68935400.0,ns,71
heavy_compute,hecs,,,,72660900.0,ns,72
heavy_compute,hecs,,,,73561500.0,ns,73
heavy_compute,hecs,,,,74989900.0,ns,74
heavy_compute,hecs,,,,77572000.0,ns,75
heavy_compute,hecs,,,,81829200.0,ns,76
heavy_compute,hecs,,,,81463700.0,ns,77
heavy_compute,hecs,,,,86088400.0,ns,78
heavy_compute,hecs,,,,81579000.0,ns,79
heavy_compute,hecs,,,,82846200.0,ns,80
heavy_compute,hecs,,,,81986700.0,ns,81
heavy_compute,hecs,,,,82454300.0,ns,82
heavy_compute,hecs,,,,83304300.0,ns,83
heavy_compute,hecs,,,,85702500.0,ns,84
heavy_compute,hecs,,,,85991300.0,ns,85
heavy_compute,hecs,,,,87188600.0,ns,86
heavy_compute,hecs,,,,88820200.0,ns,87
heavy_compute,hecs,,,,93029500.0,ns,88
heavy_compute,hecs,,,,93335100.0,ns,89
heavy_compute,hecs,,,,94837300.0,ns,90
heavy_compute,hecs,,,,94181600.0,ns,91
heavy_compute,hecs,,,,91908000.0,ns,92
heavy_compute,hecs,,,,94487700.0,ns,93
heavy_compute,hecs,,,,97603500.0,ns,94
heavy_compute,hecs,,,,96267300.0,ns,95
heavy_compute,hecs,,,,98251600.0,ns,96
heavy_compute,hecs,,,,98219200.0,ns,97
heavy_compute,hecs,,,,97904300.0,ns,98
heavy_compute,hecs,,,,105407800.0,ns,99
heavy_compute,hecs,,,,135711800.0,ns,100
