group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,legion (packed),,,,1642000.0,ns,2
heavy_compute,legion (packed),,,,2978900.0,ns,4
heavy_compute,legion (packed),,,,4329900.0,ns,6
heavy_compute,legion (packed),,,,6333700.0,ns,8
heavy_compute,legion (packed),,,,7299700.0,ns,10
heavy_compute,legion (packed),,,,9895700.0,ns,12
heavy_compute,legion (packed),,,,11034200.0,ns,14
heavy_compute,legion (packed),,,,12111200.0,ns,16
heavy_compute,legion (packed),,,,14015700.0,ns,18
heavy_compute,legion (packed),,,,18073600.0,ns,20
heavy_compute,legion (packed),,,,18020200.0,ns,22
heavy_compute,legion (packed),,,,18596200.0,ns,24
heavy_compute,legion (packed),,,,20619500.0,ns,26
heavy_compute,legion (packed),,,,21960400.0,ns,28
heavy_compute,legion (packed),,,,23926500.0,ns,30
heavy_compute,legion (packed),,,,26062400.0,ns,32
heavy_compute,legion (packed),,,,25900300.0,ns,34
heavy_compute,legion (packed),,,,29132800.0,ns,36
heavy_compute,legion (packed),,,,29970600.0,ns,38
heavy_compute,legion (packed),,,,32908300.0,ns,40
heavy_compute,legion (packed),,,,32835000.0,ns,42
heavy_compute,legion (packed),,,,36552400.0,ns,44
heavy_compute,legion (packed),,,,36862900.0,ns,46
heavy_compute,legion (packed),,,,39029700.0,ns,48
heavy_compute,legion (packed),,,,40202600.0,ns,50
heavy_compute,legion (packed),,,,40940700.0,ns,52
heavy_compute,legion (packed),,,,44215800.0,ns,54
heavy_compute,legion (packed),,,,43221300.0,ns,56
heavy_compute,legion (packed),,,,46721000.0,ns,58
heavy_compute,legion (packed),,,,47384500.0,ns,60
heavy_compute,legion (packed),,,,47188600.0,ns,62
heavy_compute,legion (packed),,,,51531500.0,ns,64
heavy_compute,legion (packed),,,,51159200.0,ns,66
heavy_compute,legion (packed),,,,57576100.0,ns,68
heavy_compute,legion (packed),,,,59051400.0,ns,70
heavy_compute,legion (packed),,,,56301200.0,ns,72
heavy_compute,legion (packed),,,,57730400.0,ns,74
heavy_compute,legion (packed),,,,60320300.0,ns,76
heavy_compute,legion (packed),,,,63386900.0,ns,78
heavy_compute,legion (packed),,,,63861400.0,ns,80
heavy_compute,legion (packed),,,,66692600.0,ns,82
heavy_compute,legion (packed),,,,65302100.0,ns,84
heavy_compute,legion (packed),,,,67247100.0,ns,86
heavy_compute,legion (packed),,,,72077800.0,ns,88
heavy_compute,legion (packed),,,,68938600.0,ns,90
heavy_compute,legion (packed),,,,77125200.0,ns,92
heavy_compute,legion (packed),,,,75019300.0,ns,94
heavy_compute,legion (packed),,,,75317900.0,ns,96
heavy_compute,legion (packed),,,,78265600.0,ns,98
heavy_compute,legion (packed),,,,88909900.0,ns,100
heavy_compute,legion (packed),,,,85326200.0,ns,102
heavy_compute,legion (packed),,,,84278200.0,ns,104
heavy_compute,legion (packed),,,,88771500.0,ns,106
heavy_compute,legion (packed),,,,87365300.0,ns,108
heavy_compute,legion (packed),,,,86681700.0,ns,110
heavy_compute,legion (packed),,,,90379300.0,ns,112
heavy_compute,legion (packed),,,,91613300.0,ns,114
heavy_compute,legion (packed),,,,95350600.0,ns,116
heavy_compute,legion (packed),,,,94014700.0,ns,118
heavy_compute,legion (packed),,,,95868900.0,ns,120
heavy_compute,legion (packed),,,,102764700.0,ns,122
heavy_compute,legion (packed),,,,107798800.0,ns,124
heavy_compute,legion (packed),,,,99069300.0,ns,126
heavy_compute,legion (packed),,,,106424800.0,ns,128
heavy_compute,legion (packed),,,,105119900.0,ns,130
heavy_compute,legion (packed),,,,106387300.0,ns,132
heavy_compute,legion (packed),,,,105861500.0,ns,134
heavy_compute,legion (packed),,,,109976600.0,ns,136
heavy_compute,legion (packed),,,,114839100.0,ns,138
heavy_compute,legion (packed),,,,116742900.0,ns,140
heavy_compute,legion (packed),,,,112526500.0,ns,142
heavy_compute,legion (packed),,,,122517600.0,ns,144
heavy_compute,legion (packed),,,,122124600.0,ns,146
heavy_compute,legion (packed),,,,133618100.0,ns,148
heavy_compute,legion (packed),,,,120919600.0,ns,150
heavy_compute,legion (packed),,,,125017800.0,ns,152
heavy_compute,legion (packed),,,,129748300.0,ns,154
heavy_compute,legion (packed),,,,122178900.0,ns,156
heavy_compute,legion (packed),,,,127203000.0,ns,158
heavy_compute,legion (packed),,,,137216200.0,ns,160
heavy_compute,legion (packed),,,,130496500.0,ns,162
heavy_compute,legion (packed),,,,129449300.0,ns,164
heavy_compute,legion (packed),,,,131166800.0,ns,166
heavy_compute,legion (packed),,,,134436300.0,ns,168
heavy_compute,legion (packed),,,,135109900.0,ns,170
heavy_compute,legion (packed),,,,139834900.0,ns,172
heavy_compute,legion (packed),,,,138462000.0,ns,174
heavy_compute,legion (packed),,,,146672900.0,ns,176
heavy_compute,legion (packed),,,,156560200.0,ns,178
heavy_compute,legion (packed),,,,168318100.0,ns,180
heavy_compute,legion (packed),,,,188872200.0,ns,182
heavy_compute,legion (packed),,,,146157400.0,ns,184
heavy_compute,legion (packed),,,,153138300.0,ns,186
heavy_compute,legion (packed),,,,147260400.0,ns,188
heavy_compute,legion (packed),,,,156130700.0,ns,190
heavy_compute,legion (packed),,,,151081200.0,ns,192
heavy_compute,legion (packed),,,,153903200.0,ns,194
heavy_compute,legion (packed),,,,157951300.0,ns,196
heavy_compute,legion (packed),,,,156844700.0,ns,198
heavy_compute,legion (packed),,,,158904700.0,ns,200
