group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,legion,,,,1464900.0,ns,2
heavy_compute,legion,,,,3043300.0,ns,4
heavy_compute,legion,,,,4453100.0,ns,6
heavy_compute,legion,,,,6013500.0,ns,8
heavy_compute,legion,,,,7265500.0,ns,10
heavy_compute,legion,,,,9072400.0,ns,12
heavy_compute,legion,,,,10462500.0,ns,14
heavy_compute,legion,,,,11794700.0,ns,16
heavy_compute,legion,,,,12854400.0,ns,18
heavy_compute,legion,,,,14948200.0,ns,20
heavy_compute,legion,,,,16807000.0,ns,22
heavy_compute,legion,,,,18943900.0,ns,24
heavy_compute,legion,,,,24411600.0,ns,26
heavy_compute,legion,,,,21774300.0,ns,28
heavy_compute,legion,,,,23573300.0,ns,30
heavy_compute,legion,,,,28839700.0,ns,32
heavy_compute,legion,,,,26616700.0,ns,34
heavy_compute,legion,,,,29095000.0,ns,36
heavy_compute,legion,,,,30727300.0,ns,38
heavy_compute,legion,,,,30417700.0,ns,40
heavy_compute,legion,,,,30985300.0,ns,42
heavy_compute,legion,,,,36256500.0,ns,44
heavy_compute,legion,,,,35457200.0,ns,46
heavy_compute,legion,,,,35339400.0,ns,48
heavy_compute,legion,,,,41946600.0,ns,50
heavy_compute,legion,,,,44045900.0,ns,52
heavy_compute,legion,,,,40139200.0,ns,54
heavy_compute,legion,,,,48991800.0,ns,56
heavy_compute,legion,,,,43905500.0,ns,58
heavy_compute,legion,,,,44092700.0,ns,60
heavy_compute,legion,,,,46510000.0,ns,62
heavy_compute,legion,,,,46754900.0,ns,64
heavy_compute,legion,,,,47284900.0,ns,66
heavy_compute,legion,,,,50439800.0,ns,68
heavy_compute,legion,,,,52411400.0,ns,70
heavy_compute,legion,,,,52544200.0,ns,72
heavy_compute,legion,,,,54441600.0,ns,74
heavy_compute,legion,,,,55483000.0,ns,76
heavy_compute,legion,,,,59665800.0,ns,78
heavy_compute,legion,,,,58779800.0,ns,80
heavy_compute,legion,,,,61135700.0,ns,82
heavy_compute,legion,,,,65625600.0,ns,84
heavy_compute,legion,,,,63272800.0,ns,86
heavy_compute,legion,,,,64624900.0,ns,88
heavy_compute,legion,,,,65773800.0,ns,90
heavy_compute,legion,,,,67606500.0,ns,92
heavy_compute,legion,,,,70129000.0,ns,94
heavy_compute,legion,,,,70496300.0,ns,96
heavy_compute,legion,,,,71098400.0,ns,98
heavy_compute,legion,,,,74910800.0,ns,100
heavy_compute,legion,,,,76037800.0,ns,102
heavy_compute,legion,,,,77921900.0,ns,104
heavy_compute,legion,,,,77859600.0,ns,106
heavy_compute,legion,,,,80407900.0,ns,108
heavy_compute,legion,,,,80670700.0,ns,110
heavy_compute,legion,,,,105259500.0,ns,112
heavy_compute,legion,,,,92027900.0,ns,114
heavy_compute,legion,,,,88211400.0,ns,116
heavy_compute,legion,,,,94130800.0,ns,118
heavy_compute,legion,,,,89924500.0,ns,120
heavy_compute,legion,,,,88597700.0,ns,122
heavy_compute,legion,,,,94048700.0,ns,124
heavy_compute,legion,,,,92002800.0,ns,126
heavy_compute,legion,,,,94591100.0,ns,128
heavy_compute,legion,,,,96642300.0,ns,130
heavy_compute,legion,,,,98207700.0,ns,132
heavy_compute,legion,,,,101159200.0,ns,134
heavy_compute,legion,,,,102793100.0,ns,136
heavy_compute,legion,,,,100764000.0,ns,138
heavy_compute,legion,,,,102165000.0,ns,140
heavy_compute,legion,,,,108818100.0,ns,142
heavy_compute,legion,,,,108963000.0,ns,144
heavy_compute,legion,,,,106985800.0,ns,146
heavy_compute,legion,,,,109976500.0,ns,148
heavy_compute,legion,,,,109985600.0,ns,150
heavy_compute,legion,,,,113448800.0,ns,152
heavy_compute,legion,,,,117429300.0,ns,154
heavy_compute,legion,,,,114178600.0,ns,156
heavy_compute,legion,,,,116011000.0,ns,158
heavy_compute,legion,,,,117739600.0,ns,160
heavy_compute,legion,,,,121386900.0,ns,162
heavy_compute,legion,,,,120949500.0,ns,164
heavy_compute,legion,,,,126656000.0,ns,166
heavy_compute,legion,,,,125838900.0,ns,168
heavy_compute,legion,,,,126408700.0,ns,170
heavy_compute,legion,,,,130845500.0,ns,172
heavy_compute,legion,,,,126769500.0,ns,174
heavy_compute,legion,,,,128612300.0,ns,176
heavy_compute,legion,,,,135110000.0,ns,178
heavy_compute,legion,,,,131985800.0,ns,180
heavy_compute,legion,,,,133634600.0,ns,182
heavy_compute,legion,,,,134114200.0,ns,184
heavy_compute,legion,,,,137900300.0,ns,186
heavy_compute,legion,,,,142427600.0,ns,188
heavy_compute,legion,,,,138751400.0,ns,190
heavy_compute,legion,,,,142780500.0,ns,192
heavy_compute,legion,,,,144138200.0,ns,194
heavy_compute,legion,,,,189360800.0,ns,196
heavy_compute,legion,,,,262492900.0,ns,198
heavy_compute,legion,,,,180349800.0,ns,200
