group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,shipyard,,,,1777400.0,ns,2
heavy_compute,shipyard,,,,5180800.0,ns,4
heavy_compute,shipyard,,,,6544000.0,ns,6
heavy_compute,shipyard,,,,8205200.0,ns,8
heavy_compute,shipyard,,,,9999300.0,ns,10
heavy_compute,shipyard,,,,12517900.0,ns,12
heavy_compute,shipyard,,,,13798800.0,ns,14
heavy_compute,shipyard,,,,17322700.0,ns,16
heavy_compute,shipyard,,,,18289300.0,ns,18
heavy_compute,shipyard,,,,19906100.0,ns,20
heavy_compute,shipyard,,,,25467400.0,ns,22
heavy_compute,shipyard,,,,23195500.0,ns,24
heavy_compute,shipyard,,,,27760000.0,ns,26
heavy_compute,shipyard,,,,28526600.0,ns,28
heavy_compute,shipyard,,,,28146500.0,ns,30
heavy_compute,shipyard,,,,27098600.0,ns,32
heavy_compute,shipyard,,,,28779700.0,ns,34
heavy_compute,shipyard,,,,31002300.0,ns,36
heavy_compute,shipyard,,,,36288200.0,ns,38
heavy_compute,shipyard,,,,34450300.0,ns,40
heavy_compute,shipyard,,,,37861100.0,ns,42
heavy_compute,shipyard,,,,37889200.0,ns,44
heavy_compute,shipyard,,,,37667500.0,ns,46
heavy_compute,shipyard,,,,42215200.0,ns,48
heavy_compute,shipyard,,,,42745100.0,ns,50
heavy_compute,shipyard,,,,41877200.0,ns,52
heavy_compute,shipyard,,,,46574000.0,ns,54
heavy_compute,shipyard,,,,48211400.0,ns,56
heavy_compute,shipyard,,,,49415300.0,ns,58
heavy_compute,shipyard,,,,54767500.0,ns,60
heavy_compute,shipyard,,,,55737300.0,ns,62
heavy_compute,shipyard,,,,53831300.0,ns,64
heavy_compute,shipyard,,,,54888000.0,ns,66
heavy_compute,shipyard,,,,57546900.0,ns,68
heavy_compute,shipyard,,,,58443500.0,ns,70
heavy_compute,shipyard,,,,58965400.0,ns,72
heavy_compute,shipyard,,,,63224500.0,ns,74
heavy_compute,shipyard,,,,64961100.0,ns,76
heavy_compute,shipyard,,,,72243800.0,ns,78
heavy_compute,shipyard,,,,80725000.0,ns,80
heavy_compute,shipyard,,,,70445000.0,ns,82
heavy_compute,shipyard,,,,69064300.0,ns,84
heavy_compute,shipyard,,,,75094500.0,ns,86
heavy_compute,shipyard,,,,71504800.0,ns,88
heavy_compute,shipyard,,,,74790500.0,ns,90
heavy_compute,shipyard,,,,82618800.0,ns,92
heavy_compute,shipyard,,,,81794700.0,ns,94
heavy_compute,shipyard,,,,88333500.0,ns,96
heavy_compute,shipyard,,,,89008600.0,ns,98
heavy_compute,shipyard,,,,90705800.0,ns,100
heavy_compute,shipyard,,,,85038700.0,ns,102
heavy_compute,shipyard,,,,95659700.0,ns,104
heavy_compute,shipyard,,,,94849500.0,ns,106
heavy_compute,shipyard,,,,101655400.0,ns,108
heavy_compute,shipyard,,,,153963300.0,ns,110
heavy_compute,shipyard,,,,109933500.0,ns,112
heavy_compute,shipyard,,,,102735500.0,ns,114
heavy_compute,shipyard,,,,98671300.0,ns,116
heavy_compute,shipyard,,,,108028000.0,ns,118
heavy_compute,shipyard,,,,116601700.0,ns,120
heavy_compute,shipyard,,,,125847000.0,ns,122
heavy_compute,shipyard,,,,122854600.0,ns,124
heavy_compute,shipyard,,,,137365600.0,ns,126
heavy_compute,shipyard,,,,144377300.0,ns,128
heavy_compute,shipyard,,,,122018300.0,ns,130
heavy_compute,shipyard,,,,121758500.0,ns,132
heavy_compute,shipyard,,,,122479500.0,ns,134
heavy_compute,shipyard,,,,134039400.0,ns,136
heavy_compute,shipyard,,,,123580600.0,ns,138
heavy_compute,shipyard,,,,117669400.0,ns,140
heavy_compute,shipyard,,,,120686600.0,ns,142
heavy_compute,shipyard,,,,126562100.0,ns,144
heavy_compute,shipyard,,,,122672800.0,ns,146
heavy_compute,shipyard,,,,127702300.0,ns,148
heavy_compute,shipyard,,,,130912200.0,ns,150
heavy_compute,shipyard,,,,131536500.0,ns,152
heavy_compute,shipyard,,,,129661600.0,ns,154
heavy_compute,shipyard,,,,135512000.0,ns,156
heavy_compute,shipyard,,,,132286100.0,ns,158
heavy_compute,shipyard,,,,136113700.0,ns,160
heavy_compute,shipyard,,,,138367800.0,ns,162
heavy_compute,shipyard,,,,141100300.0,ns,164
heavy_compute,shipyard,,,,142216300.0,ns,166
heavy_compute,shipyard,,,,145501300.0,ns,168
heavy_compute,shipyard,,,,145754000.0,ns,170
heavy_compute,shipyard,,,,149266900.0,ns,172
heavy_compute,shipyard,,,,143653800.0,ns,174
heavy_compute,shipyard,,,,148120300.0,ns,176
heavy_compute,shipyard,,,,152492200.0,ns,178
heavy_compute,shipyard,,,,159522100.0,ns,180
heavy_compute,shipyard,,,,155115600.0,ns,182
heavy_compute,shipyard,,,,171683300.0,ns,184
heavy_compute,shipyard,,,,192167400.0,ns,186
heavy_compute,shipyard,,,,167511600.0,ns,188
heavy_compute,shipyard,,,,159796000.0,ns,190
heavy_compute,shipyard,,,,192631100.0,ns,192
heavy_compute,shipyard,,,,174577000.0,ns,194
heavy_compute,shipyard,,,,168626200.0,ns,196
heavy_compute,shipyard,,,,169867600.0,ns,198
heavy_compute,shipyard,,,,169156100.0,ns,200
