group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,shipyard,,,,1549500.0,ns,2
heavy_compute,shipyard,,,,3033100.0,ns,4
heavy_compute,shipyard,,,,4677600.0,ns,6
heavy_compute,shipyard,,,,6002800.0,ns,8
heavy_compute,shipyard,,,,7495600.0,ns,10
heavy_compute,shipyard,,,,8813900.0,ns,12
heavy_compute,shipyard,,,,10489600.0,ns,14
heavy_compute,shipyard,,,,11759900.0,ns,16
heavy_compute,shipyard,,,,13264000.0,ns,18
heavy_compute,shipyard,,,,15039300.0,ns,20
heavy_compute,shipyard,,,,16685400.0,ns,22
heavy_compute,shipyard,,,,18432500.0,ns,24
heavy_compute,shipyard,,,,19714500.0,ns,26
heavy_compute,shipyard,,,,20887100.0,ns,28
heavy_compute,shipyard,,,,22208200.0,ns,30
heavy_compute,shipyard,,,,25698100.0,ns,32
heavy_compute,shipyard,,,,26022300.0,ns,34
heavy_compute,shipyard,,,,27225900.0,ns,36
heavy_compute,shipyard,,,,27841000.0,ns,38
heavy_compute,shipyard,,,,30482900.0,ns,40
heavy_compute,shipyard,,,,35093000.0,ns,42
heavy_compute,shipyard,,,,34970300.0,ns,44
heavy_compute,shipyard,,,,34331700.0,ns,46
heavy_compute,shipyard,,,,36683000.0,ns,48
heavy_compute,shipyard,,,,37676100.0,ns,50
heavy_compute,shipyard,,,,38863700.0,ns,52
heavy_compute,shipyard,,,,41447700.0,ns,54
heavy_compute,shipyard,,,,42179900.0,ns,56
heavy_compute,shipyard,,,,43176900.0,ns,58
heavy_compute,shipyard,,,,45416900.0,ns,60
heavy_compute,shipyard,,,,47172800.0,ns,62
heavy_compute,shipyard,,,,50322500.0,ns,64
heavy_compute,shipyard,,,,48895100.0,ns,66
heavy_compute,shipyard,,,,51175900.0,ns,68
heavy_compute,shipyard,,,,52839000.0,ns,70
heavy_compute,shipyard,,,,54464400.0,ns,72
heavy_compute,shipyard,,,,57010200.0,ns,74
heavy_compute,shipyard,,,,57218500.0,ns,76
heavy_compute,shipyard,,,,58409900.0,ns,78
heavy_compute,shipyard,,,,60849700.0,ns,80
heavy_compute,shipyard,,,,62912700.0,ns,82
heavy_compute,shipyard,,,,63468400.0,ns,84
heavy_compute,shipyard,,,,70554600.0,ns,86
heavy_compute,shipyard,,,,74488300.0,ns,88
heavy_compute,shipyard,,,,74867500.0,ns,90
heavy_compute,shipyard,,,,74750600.0,ns,92
heavy_compute,shipyard,,,,71676100.0,ns,94
heavy_compute,shipyard,,,,83643500.0,ns,96
heavy_compute,shipyard,,,,73346400.0,ns,98
heavy_compute,shipyard,,,,75581500.0,ns,100
heavy_compute,shipyard,,,,76559300.0,ns,102
heavy_compute,shipyard,,,,78051200.0,ns,104
heavy_compute,shipyard,,,,81130700.0,ns,106
heavy_compute,shipyard,,,,81224300.0,ns,108
heavy_compute,shipyard,,,,83788900.0,ns,110
heavy_compute,shipyard,,,,86224400.0,ns,112
heavy_compute,shipyard,,,,90043100.0,ns,114
heavy_compute,shipyard,,,,86263400.0,ns,116
heavy_compute,shipyard,,,,87697000.0,ns,118
heavy_compute,shipyard,,,,92029000.0,ns,120
heavy_compute,shipyard,,,,93835300.0,ns,122
heavy_compute,shipyard,,,,93282200.0,ns,124
heavy_compute,shipyard,,,,94920600.0,ns,126
heavy_compute,shipyard,,,,96490000.0,ns,128
heavy_compute,shipyard,,,,97490300.0,ns,130
heavy_compute,shipyard,,,,100822300.0,ns,132
heavy_compute,shipyard,,,,103070200.0,ns,134
heavy_compute,shipyard,,,,108483600.0,ns,136
heavy_compute,shipyard,,,,103122100.0,ns,138
heavy_compute,shipyard,,,,107581600.0,ns,140
heavy_compute,shipyard,,,,105933400.0,ns,142
heavy_compute,shipyard,,,,110799800.0,ns,144
heavy_compute,shipyard,,,,108689500.0,ns,146
heavy_compute,shipyard,,,,110537900.0,ns,148
heavy_compute,shipyard,,,,111679200.0,ns,150
heavy_compute,shipyard,,,,114507700.0,ns,152
heavy_compute,shipyard,,,,118006600.0,ns,154
heavy_compute,shipyard,,,,119349300.0,ns,156
heavy_compute,shipyard,,,,119306000.0,ns,158
heavy_compute,shipyard,,,,123569700.0,ns,160
heavy_compute,shipyard,,,,123606500.0,ns,162
heavy_compute,shipyard,,,,122296100.0,ns,164
heavy_compute,shipyard,,,,124005200.0,ns,166
heavy_compute,shipyard,,,,124853300.0,ns,168
heavy_compute,shipyard,,,,129193700.0,ns,170
heavy_compute,shipyard,,,,135332600.0,ns,172
heavy_compute,shipyard,,,,133829900.0,ns,174
heavy_compute,shipyard,,,,131962300.0,ns,176
heavy_compute,shipyard,,,,135813100.0,ns,178
heavy_compute,shipyard,,,,133580900.0,ns,180
heavy_compute,shipyard,,,,135075200.0,ns,182
heavy_compute,shipyard,,,,136272900.0,ns,184
heavy_compute,shipyard,,,,139996400.0,ns,186
heavy_compute,shipyard,,,,149307800.0,ns,188
heavy_compute,shipyard,,,,142249400.0,ns,190
heavy_compute,shipyard,,,,142729900.0,ns,192
heavy_compute,shipyard,,,,148603700.0,ns,194
heavy_compute,shipyard,,,,145188900.0,ns,196
heavy_compute,shipyard,,,,147780000.0,ns,198
heavy_compute,shipyard,,,,150080600.0,ns,200
