group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,specs,,,,1909000.0,ns,2
heavy_compute,specs,,,,3911900.0,ns,4
heavy_compute,specs,,,,5730300.0,ns,6
heavy_compute,specs,,,,7477100.0,ns,8
heavy_compute,specs,,,,9657100.0,ns,10
heavy_compute,specs,,,,11321200.0,ns,12
heavy_compute,specs,,,,13071500.0,ns,14
heavy_compute,specs,,,,14523800.0,ns,16
heavy_compute,specs,,,,16838100.0,ns,18
heavy_compute,specs,,,,18479900.0,ns,20
heavy_compute,specs,,,,20779200.0,ns,22
heavy_compute,specs,,,,22115700.0,ns,24
heavy_compute,specs,,,,24264900.0,ns,26
heavy_compute,specs,,,,26264000.0,ns,28
heavy_compute,specs,,,,27600200.0,ns,30
heavy_compute,specs,,,,29414800.0,ns,32
heavy_compute,specs,,,,32851300.0,ns,34
heavy_compute,specs,,,,35340900.0,ns,36
heavy_compute,specs,,,,37460400.0,ns,38
heavy_compute,specs,,,,40103200.0,ns,40
heavy_compute,specs,,,,41182800.0,ns,42
heavy_compute,specs,,,,42133200.0,ns,44
heavy_compute,specs,,,,42962500.0,ns,46
heavy_compute,specs,,,,44481700.0,ns,48
heavy_compute,specs,,,,46207100.0,ns,50
heavy_compute,specs,,,,48933500.0,ns,52
heavy_compute,specs,,,,49570700.0,ns,54
heavy_compute,specs,,,,52249700.0,ns,56
heavy_compute,specs,,,,53955100.0,ns,58
heavy_compute,specs,,,,55803300.0,ns,60
heavy_compute,specs,,,,59746500.0,ns,62
heavy_compute,specs,,,,60002300.0,ns,64
heavy_compute,specs,,,,61438200.0,ns,66
heavy_compute,specs,,,,63163700.0,ns,68
heavy_compute,specs,,,,66429100.0,ns,70
heavy_compute,specs,,,,66100800.0,ns,72
heavy_compute,specs,,,,69256800.0,ns,74
heavy_compute,specs,,,,70191600.0,ns,76
heavy_compute,specs,,,,75890800.0,ns,78
heavy_compute,specs,,,,74002100.0,ns,80
heavy_compute,specs,,,,76275800.0,ns,82
heavy_compute,specs,,,,78088000.0,ns,84
heavy_compute,specs,,,,80400500.0,ns,86
heavy_compute,specs,,,,82109700.0,ns,88
heavy_compute,specs,,,,84695400.0,ns,90
heavy_compute,specs,,,,86312400.0,ns,92
heavy_compute,specs,,,,87788600.0,ns,94
heavy_compute,specs,,,,89273500.0,ns,96
heavy_compute,specs,,,,91364200.0,ns,98
heavy_compute,specs,,,,95334700.0,ns,100
heavy_compute,specs,,,,97391600.0,ns,102
heavy_compute,specs,,,,97809800.0,ns,104
heavy_compute,specs,,,,98469800.0,ns,106
heavy_compute,specs,,,,100299300.0,ns,108
heavy_compute,specs,,,,102373900.0,ns,110
heavy_compute,specs,,,,105343900.0,ns,112
heavy_compute,specs,,,,107130700.0,ns,114
heavy_compute,specs,,,,107867000.0,ns,116
heavy_compute,specs,,,,111069100.0,ns,118
heavy_compute,specs,,,,111483400.0,ns,120
heavy_compute,specs,,,,116822000.0,ns,122
heavy_compute,specs,,,,116735500.0,ns,124
heavy_compute,specs,,,,117108100.0,ns,126
heavy_compute,specs,,,,119599200.0,ns,128
heavy_compute,specs,,,,123407400.0,ns,130
heavy_compute,specs,,,,123851000.0,ns,132
heavy_compute,specs,,,,125989400.0,ns,134
heavy_compute,specs,,,,126303200.0,ns,136
heavy_compute,specs,,,,128716100.0,ns,138
heavy_compute,specs,,,,133352700.0,ns,140
heavy_compute,specs,,,,131601200.0,ns,142
heavy_compute,specs,,,,134850400.0,ns,144
heavy_compute,specs,,,,136932100.0,ns,146
heavy_compute,specs,,,,137319700.0,ns,148
heavy_compute,specs,,,,139797400.0,ns,150
heavy_compute,specs,,,,141434800.0,ns,152
heavy_compute,specs,,,,144205600.0,ns,154
heavy_compute,specs,,,,147144700.0,ns,156
heavy_compute,specs,,,,149256800.0,ns,158
heavy_compute,specs,,,,148670000.0,ns,160
heavy_compute,specs,,,,151649500.0,ns,162
heavy_compute,specs,,,,151474500.0,ns,164
heavy_compute,specs,,,,153825700.0,ns,166
heavy_compute,specs,,,,157185200.0,ns,168
heavy_compute,specs,,,,159770200.0,ns,170
heavy_compute,specs,,,,159969000.0,ns,172
heavy_compute,specs,,,,162710700.0,ns,174
heavy_compute,specs,,,,165585800.0,ns,176
heavy_compute,specs,,,,164410600.0,ns,178
heavy_compute,specs,,,,167096100.0,ns,180
heavy_compute,specs,,,,172938600.0,ns,182
heavy_compute,specs,,,,171578400.0,ns,184
heavy_compute,specs,,,,174183200.0,ns,186
heavy_compute,specs,,,,175188800.0,ns,188
heavy_compute,specs,,,,177830600.0,ns,190
heavy_compute,specs,,,,179880000.0,ns,192
heavy_compute,specs,,,,186563200.0,ns,194
heavy_compute,specs,,,,185985700.0,ns,196
heavy_compute,specs,,,,185074900.0,ns,198
heavy_compute,specs,,,,186050600.0,ns,200
