group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
parallel_light_compute,bevy,,,,1036400.0,ns,1
parallel_light_compute,bevy,,,,2002600.0,ns,2
parallel_light_compute,bevy,,,,3025300.0,ns,3
parallel_light_compute,bevy,,,,3916700.0,ns,4
parallel_light_compute,bevy,,,,5069400.0,ns,5
parallel_light_compute,bevy,,,,5979600.0,ns,6
parallel_light_compute,bevy,,,,7092100.0,ns,7
parallel_light_compute,bevy,,,,8225500.0,ns,8
parallel_light_compute,bevy,,,,9130900.0,ns,9
parallel_light_compute,bevy,,,,10082000.0,ns,10
parallel_light_compute,bevy,,,,10901700.0,ns,11
parallel_light_compute,bevy,,,,11956300.0,ns,12
parallel_light_compute,bevy,,,,13079800.0,ns,13
parallel_light_compute,bevy,,,,14027400.0,ns,14
parallel_light_compute,bevy,,,,15756400.0,ns,15
parallel_light_compute,bevy,,,,16145100.0,ns,16
parallel_light_compute,bevy,,,,18512600.0,ns,17
parallel_light_compute,bevy,,,,17947900.0,ns,18
parallel_light_compute,bevy,,,,18935700.0,ns,19
parallel_light_compute,bevy,,,,20001300.0,ns,20
parallel_light_compute,bevy,,,,20857400.0,ns,21
parallel_light_compute,bevy,,,,22433800.0,ns,22
parallel_light_compute,bevy,,,,24256900.0,ns,23
parallel_light_compute,bevy,,,,23920100.0,ns,24
parallel_light_compute,bevy,,,,24918700.0,ns,25
parallel_light_compute,bevy,,,,25967700.0,ns,26
parallel_light_compute,bevy,,,,26670500.0,ns,27
parallel_light_compute,bevy,,,,28299700.0,ns,28
parallel_light_compute,bevy,,,,29798200.0,ns,29
parallel_light_compute,bevy,,,,30346200.0,ns,30
parallel_light_compute,bevy,,,,31218600.0,ns,31
parallel_light_compute,bevy,,,,31993600.0,ns,32
parallel_light_compute,bevy,,,,32917000.0,ns,33
parallel_light_compute,bevy,,,,34221900.0,ns,34
parallel_light_compute,bevy,,,,35200400.0,ns,35
parallel_light_compute,bevy,,,,36554200.0,ns,36
parallel_light_compute,bevy,,,,37122100.0,ns,37
parallel_light_compute,bevy,,,,38316500.0,ns,38
parallel_light_compute,bevy,,,,39058500.0,ns,39
parallel_light_compute,bevy,,,,39847900.0,ns,40
parallel_light_compute,bevy,,,,42261000.0,ns,41
parallel_light_compute,bevy,,,,42557800.0,ns,42
parallel_light_compute,bevy,,,,45100300.0,ns,43
parallel_light_compute,bevy,,,,43755800.0,ns,44
parallel_light_compute,bevy,,,,45424200.0,ns,45
parallel_light_compute,bevy,,,,46287600.0,ns,46
parallel_light_compute,bevy,,,,47403200.0,ns,47
parallel_light_compute,bevy,,,,47633700.0,ns,48
parallel_light_compute,bevy,,,,50344800.0,ns,49
parallel_light_compute,bevy,,,,50206800.0,ns,50
parallel_light_compute,bevy,,,,52107700.0,ns,51
parallel_light_compute,bevy,,,,51993700.0,ns,52
parallel_light_compute,bevy,,,,53500100.0,ns,53
parallel_light_compute,bevy,,,,53823100.0,ns,54
parallel_light_compute,bevy,,,,54866100.0,ns,55
parallel_light_compute,bevy,,,,55575200.0,ns,56
parallel_light_compute,bevy,,,,56952600.0,ns,57
parallel_light_compute,bevy,,,,56988500.0,ns,58
parallel_light_compute,bevy,,,,59791200.0,ns,59
parallel_light_compute,bevy,,,,60204200.0,ns,60
parallel_light_compute,bevy,,,,59861700.0,ns,61
parallel_light_compute,bevy,,,,62835000.0,ns,62
parallel_light_compute,bevy,,,,62937600.0,ns,63
parallel_light_compute,bevy,,,,64149900.0,ns,64
parallel_light_compute,bevy,,,,64559400.0,ns,65
parallel_light_compute,bevy,,,,79459300.0,ns,66
parallel_light_compute,bevy,,,,66517600.0,ns,67
parallel_light_compute,bevy,,,,68807900.0,ns,68
parallel_light_compute,bevy,,,,68826200.0,ns,69
parallel_light_compute,bevy,,,,70408400.0,ns,70
parallel_light_compute,bevy,,,,84616000.0,ns,71
parallel_light_compute,bevy,,,,72623100.0,ns,72
parallel_light_compute,bevy,,,,73939900.0,ns,73
parallel_light_compute,bevy,,,,74190700.0,ns,74
parallel_light_compute,bevy,,,,75290900.0,ns,75
parallel_light_compute,bevy,,,,76353900.0,ns,76
parallel_light_compute,bevy,,,,77158300.0,ns,77
parallel_light_compute,bevy,,,,80287100.0,ns,78
parallel_light_compute,bevy,,,,79430800.0,ns,79
parallel_light_compute,bevy,,,,80679100.0,ns,80
parallel_light_compute,bevy,,,,81654800.0,ns,81
parallel_light_compute,bevy,,,,82087500.0,ns,82
parallel_light_compute,bevy,,,,82916700.0,ns,83
parallel_light_compute,bevy,,,,84589600.0,ns,84
parallel_light_compute,bevy,,,,85276500.0,ns,85
parallel_light_compute,bevy,,,,85793800.0,ns,86
parallel_light_compute,bevy,,,,92681600.0,ns,87
parallel_light_compute,bevy,,,,95280600.0,ns,88
parallel_light_compute,bevy,,,,90562400.0,ns,89
parallel_light_compute,bevy,,,,89543400.0,ns,90
parallel_light_compute,bevy,,,,93771000.0,ns,91
parallel_light_compute,bevy,,,,92066600.0,ns,92
parallel_light_compute,bevy,,,,93459100.0,ns,93
parallel_light_compute,bevy,,,,94368200.0,ns,94
parallel_light_compute,bevy,,,,96042900.0,ns,95
parallel_light_compute,bevy,,,,94148000.0,ns,96
parallel_light_compute,bevy,,,,96644700.0,ns,97
parallel_light_compute,bevy,,,,99199000.0,ns,98
parallel_light_compute,bevy,,,,99188400.0,ns,99
parallel_light_compute,bevy,,,,100440100.0,ns,100
