group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
parallel_light_compute,bevy,,,,1364800.0,ns,9
parallel_light_compute,bevy,,,,2358500.0,ns,18
parallel_light_compute,bevy,,,,3857500.0,ns,27
parallel_light_compute,bevy,,,,4660200.0,ns,36
parallel_light_compute,bevy,,,,5011000.0,ns,45
parallel_light_compute,bevy,,,,6176200.0,ns,54
parallel_light_compute,bevy,,,,6817900.0,ns,63
parallel_light_compute,bevy,,,,8196500.0,ns,72
parallel_light_compute,bevy,,,,9757700.0,ns,81
parallel_light_compute,bevy,,,,12382900.0,ns,90
parallel_light_compute,bevy,,,,12713300.0,ns,99
parallel_light_compute,bevy,,,,12660000.0,ns,108
parallel_light_compute,bevy,,,,13164800.0,ns,117
parallel_light_compute,bevy,,,,16091700.0,ns,126
parallel_light_compute,bevy,,,,16262500.0,ns,135
parallel_light_compute,bevy,,,,17556500.0,ns,144
parallel_light_compute,bevy,,,,22294500.0,ns,153
parallel_light_compute,bevy,,,,21871000.0,ns,162
parallel_light_compute,bevy,,,,20156800.0,ns,171
parallel_light_compute,bevy,,,,21136200.0,ns,180
parallel_light_compute,bevy,,,,21116600.0,ns,189
parallel_light_compute,bevy,,,,24563000.0,ns,198
parallel_light_compute,bevy,,,,23791200.0,ns,207
parallel_light_compute,bevy,,,,24257300.0,ns,216
parallel_light_compute,bevy,,,,29321100.0,ns,225
parallel_light_compute,bevy,,,,28173400.0,ns,234
parallel_light_compute,bevy,,,,28841600.0,ns,243
parallel_light_compute,bevy,,,,29303100.0,ns,252
parallel_light_compute,bevy,,,,30725400.0,ns,261
parallel_light_compute,bevy,,,,34747900.0,ns,270
parallel_light_compute,bevy,,,,31760000.0,ns,279
parallel_light_compute,bevy,,,,37444800.0,ns,288
parallel_light_compute,bevy,,,,43129800.0,ns,297
parallel_light_compute,bevy,,,,40447800.0,ns,306
parallel_light_compute,bevy,,,,38658600.0,ns,315
parallel_light_compute,bevy,,,,41238600.0,ns,324
parallel_light_compute,bevy,,,,40584200.0,ns,333
parallel_light_compute,bevy,,,,46504500.0,ns,342
parallel_light_compute,bevy,,,,47451200.0,ns,351
parallel_light_compute,bevy,,,,44959900.0,ns,360
parallel_light_compute,bevy,,,,43309200.0,ns,369
parallel_light_compute,bevy,,,,46853000.0,ns,378
parallel_light_compute,bevy,,,,56064400.0,ns,387
parallel_light_compute,bevy,,,,65946600.0,ns,396
parallel_light_compute,bevy,,,,56852200.0,ns,405
parallel_light_compute,bevy,,,,49003200.0,ns,414
parallel_light_compute,bevy,,,,53347000.0,ns,423
parallel_light_compute,bevy,,,,55832800.0,ns,432
parallel_light_compute,bevy,,,,59411800.0,ns,441
parallel_light_compute,bevy,,,,62938100.0,ns,450
parallel_light_compute,bevy,,,,59521900.0,ns,459
parallel_light_compute,bevy,,,,63800000.0,ns,468
parallel_light_compute,bevy,,,,71526000.0,ns,477
parallel_light_compute,bevy,,,,58234400.0,ns,486
parallel_light_compute,bevy,,,,53899000.0,ns,495
parallel_light_compute,bevy,,,,55285500.0,ns,504
parallel_light_compute,bevy,,,,64006300.0,ns,513
parallel_light_compute,bevy,,,,56693600.0,ns,522
parallel_light_compute,bevy,,,,60003700.0,ns,531
parallel_light_compute,bevy,,,,60113600.0,ns,540
parallel_light_compute,bevy,,,,63828700.0,ns,549
parallel_light_compute,bevy,,,,62889100.0,ns,558
parallel_light_compute,bevy,,,,61591900.0,ns,567
parallel_light_compute,bevy,,,,68279700.0,ns,576
parallel_light_compute,bevy,,,,64230200.0,ns,585
parallel_light_compute,bevy,,,,64542700.0,ns,594
parallel_light_compute,bevy,,,,67555600.0,ns,603
parallel_light_compute,bevy,,,,68298800.0,ns,612
parallel_light_compute,bevy,,,,69020500.0,ns,621
parallel_light_compute,bevy,,,,69397100.0,ns,630
parallel_light_compute,bevy,,,,90645100.0,ns,639
parallel_light_compute,bevy,,,,76743400.0,ns,648
parallel_light_compute,bevy,,,,89003000.0,ns,657
parallel_light_compute,bevy,,,,79220000.0,ns,666
parallel_light_compute,bevy,,,,80054900.0,ns,675
parallel_light_compute,bevy,,,,77240100.0,ns,684
parallel_light_compute,bevy,,,,83709200.0,ns,693
parallel_light_compute,bevy,,,,79853300.0,ns,702
parallel_light_compute,bevy,,,,77947400.0,ns,711
parallel_light_compute,bevy,,,,87487800.0,ns,720
parallel_light_compute,bevy,,,,95572900.0,ns,729
parallel_light_compute,bevy,,,,84686700.0,ns,738
parallel_light_compute,bevy,,,,81643200.0,ns,747
parallel_light_compute,bevy,,,,86480900.0,ns,756
parallel_light_compute,bevy,,,,90803900.0,ns,765
parallel_light_compute,bevy,,,,95041000.0,ns,774
parallel_light_compute,bevy,,,,105730100.0,ns,783
parallel_light_compute,bevy,,,,107410600.0,ns,792
parallel_light_compute,bevy,,,,102882200.0,ns,801
parallel_light_compute,bevy,,,,103752500.0,ns,810
parallel_light_compute,bevy,,,,108161900.0,ns,819
parallel_light_compute,bevy,,,,95160700.0,ns,828
parallel_light_compute,bevy,,,,96070800.0,ns,837
parallel_light_compute,bevy,,,,98873400.0,ns,846
parallel_light_compute,bevy,,,,101528800.0,ns,855
parallel_light_compute,bevy,,,,104421300.0,ns,864
parallel_light_compute,bevy,,,,96383700.0,ns,873
parallel_light_compute,bevy,,,,99816000.0,ns,882
parallel_light_compute,bevy,,,,102435100.0,ns,891
parallel_light_compute,bevy,,,,117775000.0,ns,900
