group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
parallel_light_compute,hecs,,,,1066600.0,ns,11
parallel_light_compute,hecs,,,,2081100.0,ns,22
parallel_light_compute,hecs,,,,3130600.0,ns,33
parallel_light_compute,hecs,,,,4301000.0,ns,44
parallel_light_compute,hecs,,,,5194900.0,ns,55
parallel_light_compute,hecs,,,,6445500.0,ns,66
parallel_light_compute,hecs,,,,7343500.0,ns,77
parallel_light_compute,hecs,,,,8532400.0,ns,88
parallel_light_compute,hecs,,,,9413800.0,ns,99
parallel_light_compute,hecs,,,,10680200.0,ns,110
parallel_light_compute,hecs,,,,11895600.0,ns,121
parallel_light_compute,hecs,,,,12966800.0,ns,132
parallel_light_compute,hecs,,,,14557900.0,ns,143
parallel_light_compute,hecs,,,,15889700.0,ns,154
parallel_light_compute,hecs,,,,17192100.0,ns,165
parallel_light_compute,hecs,,,,18373900.0,ns,176
parallel_light_compute,hecs,,,,17790100.0,ns,187
parallel_light_compute,hecs,,,,19005800.0,ns,198
parallel_light_compute,hecs,,,,22340700.0,ns,209
parallel_light_compute,hecs,,,,21572500.0,ns,220
parallel_light_compute,hecs,,,,22598200.0,ns,231
parallel_light_compute,hecs,,,,23445800.0,ns,242
parallel_light_compute,hecs,,,,24174700.0,ns,253
parallel_light_compute,hecs,,,,27945600.0,ns,264
parallel_light_compute,hecs,,,,26543000.0,ns,275
parallel_light_compute,hecs,,,,28558400.0,ns,286
parallel_light_compute,hecs,,,,28290100.0,ns,297
parallel_light_compute,hecs,,,,29309100.0,ns,308
parallel_light_compute,hecs,,,,30727200.0,ns,319
parallel_light_compute,hecs,,,,32296200.0,ns,330
parallel_light_compute,hecs,,,,33306400.0,ns,341
parallel_light_compute,hecs,,,,34770800.0,ns,352
parallel_light_compute,hecs,,,,35659900.0,ns,363
parallel_light_compute,hecs,,,,35674100.0,ns,374
parallel_light_compute,hecs,,,,36739300.0,ns,385
parallel_light_compute,hecs,,,,39923000.0,ns,396
parallel_light_compute,hecs,,,,39852900.0,ns,407
parallel_light_compute,hecs,,,,40144400.0,ns,418
parallel_light_compute,hecs,,,,42023300.0,ns,429
parallel_light_compute,hecs,,,,42831200.0,ns,440
parallel_light_compute,hecs,,,,43206900.0,ns,451
parallel_light_compute,hecs,,,,45138100.0,ns,462
parallel_light_compute,hecs,,,,45095600.0,ns,473
parallel_light_compute,hecs,,,,47660700.0,ns,484
parallel_light_compute,hecs,,,,47995600.0,ns,495
parallel_light_compute,hecs,,,,51273800.0,ns,506
parallel_light_compute,hecs,,,,54351100.0,ns,517
parallel_light_compute,hecs,,,,52323800.0,ns,528
parallel_light_compute,hecs,,,,52145900.0,ns,539
parallel_light_compute,hecs,,,,53232200.0,ns,550
parallel_light_compute,hecs,,,,54480100.0,ns,561
parallel_light_compute,hecs,,,,54982500.0,ns,572
parallel_light_compute,hecs,,,,58632000.0,ns,583
parallel_light_compute,hecs,,,,57442000.0,ns,594
parallel_light_compute,hecs,,,,62698500.0,ns,605
parallel_light_compute,hecs,,,,63637900.0,ns,616
parallel_light_compute,hecs,,,,67099300.0,ns,627
parallel_light_compute,hecs,,,,68454700.0,ns,638
parallel_light_compute,hecs,,,,67196600.0,ns,649
parallel_light_compute,hecs,,,,68202300.0,ns,660
parallel_light_compute,hecs,,,,69909000.0,ns,671
parallel_light_compute,hecs,,,,74659400.0,ns,682
parallel_light_compute,hecs,,,,85977300.0,ns,693
parallel_light_compute,hecs,,,,80802000.0,ns,704
parallel_light_compute,hecs,,,,70292200.0,ns,715
parallel_light_compute,hecs,,,,73773500.0,ns,726
parallel_light_compute,hecs,,,,74407000.0,ns,737
parallel_light_compute,hecs,,,,74872100.0,ns,748
parallel_light_compute,hecs,,,,74130600.0,ns,759
parallel_light_compute,hecs,,,,78942400.0,ns,770
parallel_light_compute,hecs,,,,80359200.0,ns,781
parallel_light_compute,hecs,,,,77175700.0,ns,792
parallel_light_compute,hecs,,,,80713200.0,ns,803
parallel_light_compute,hecs,,,,85151200.0,ns,814
parallel_light_compute,hecs,,,,85214600.0,ns,825
parallel_light_compute,hecs,,,,91484700.0,ns,836
parallel_light_compute,hecs,,,,103645100.0,ns,847
parallel_light_compute,hecs,,,,108677200.0,ns,858
parallel_light_compute,hecs,,,,89012100.0,ns,869
parallel_light_compute,hecs,,,,85406400.0,ns,880
parallel_light_compute,hecs,,,,86170000.0,ns,891
parallel_light_compute,hecs,,,,91213300.0,ns,902
parallel_light_compute,hecs,,,,91560800.0,ns,913
parallel_light_compute,hecs,,,,89358700.0,ns,924
parallel_light_compute,hecs,,,,91130900.0,ns,935
parallel_light_compute,hecs,,,,92817000.0,ns,946
parallel_light_compute,hecs,,,,93327500.0,ns,957
parallel_light_compute,hecs,,,,100674500.0,ns,968
parallel_light_compute,hecs,,,,94760700.0,ns,979
parallel_light_compute,hecs,,,,96332400.0,ns,990
parallel_light_compute,hecs,,,,96587500.0,ns,1001
parallel_light_compute,hecs,,,,97854400.0,ns,1012
parallel_light_compute,hecs,,,,99274400.0,ns,1023
parallel_light_compute,hecs,,,,101658000.0,ns,1034
parallel_light_compute,hecs,,,,101763700.0,ns,1045
parallel_light_compute,hecs,,,,104260300.0,ns,1056
parallel_light_compute,hecs,,,,103648300.0,ns,1067
parallel_light_compute,hecs,,,,106917000.0,ns,1078
parallel_light_compute,hecs,,,,109974800.0,ns,1089
parallel_light_compute,hecs,,,,107244600.0,ns,1100
