group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
parallel_light_compute,hecs,,,,985800.0,ns,10
parallel_light_compute,hecs,,,,1942300.0,ns,20
parallel_light_compute,hecs,,,,3377600.0,ns,30
parallel_light_compute,hecs,,,,4279700.0,ns,40
parallel_light_compute,hecs,,,,5412400.0,ns,50
parallel_light_compute,hecs,,,,6569900.0,ns,60
parallel_light_compute,hecs,,,,6876600.0,ns,70
parallel_light_compute,hecs,,,,8020700.0,ns,80
parallel_light_compute,hecs,,,,8770000.0,ns,90
parallel_light_compute,hecs,,,,12220600.0,ns,100
parallel_light_compute,hecs,,,,13717300.0,ns,110
parallel_light_compute,hecs,,,,14326400.0,ns,120
parallel_light_compute,hecs,,,,14784100.0,ns,130
parallel_light_compute,hecs,,,,17276200.0,ns,140
parallel_light_compute,hecs,,,,18979900.0,ns,150
parallel_light_compute,hecs,,,,17704100.0,ns,160
parallel_light_compute,hecs,,,,18367300.0,ns,170
parallel_light_compute,hecs,,,,21448500.0,ns,180
parallel_light_compute,hecs,,,,19310400.0,ns,190
parallel_light_compute,hecs,,,,20896100.0,ns,200
parallel_light_compute,hecs,,,,24480000.0,ns,210
parallel_light_compute,hecs,,,,22763400.0,ns,220
parallel_light_compute,hecs,,,,24523900.0,ns,230
parallel_light_compute,hecs,,,,24477300.0,ns,240
parallel_light_compute,hecs,,,,25931400.0,ns,250
parallel_light_compute,hecs,,,,25745100.0,ns,260
parallel_light_compute,hecs,,,,28375400.0,ns,270
parallel_light_compute,hecs,,,,32768600.0,ns,280
parallel_light_compute,hecs,,,,29844500.0,ns,290
parallel_light_compute,hecs,,,,31189000.0,ns,300
parallel_light_compute,hecs,,,,35831900.0,ns,310
parallel_light_compute,hecs,,,,32720800.0,ns,320
parallel_light_compute,hecs,,,,35178800.0,ns,330
parallel_light_compute,hecs,,,,38521200.0,ns,340
parallel_light_compute,hecs,,,,36812700.0,ns,350
parallel_light_compute,hecs,,,,38979200.0,ns,360
parallel_light_compute,hecs,,,,38646800.0,ns,370
parallel_light_compute,hecs,,,,38278200.0,ns,380
parallel_light_compute,hecs,,,,43424800.0,ns,390
parallel_light_compute,hecs,,,,41927300.0,ns,400
parallel_light_compute,hecs,,,,44997600.0,ns,410
parallel_light_compute,hecs,,,,50762200.0,ns,420
parallel_light_compute,hecs,,,,46691900.0,ns,430
parallel_light_compute,hecs,,,,47290500.0,ns,440
parallel_light_compute,hecs,,,,48552900.0,ns,450
parallel_light_compute,hecs,,,,51280300.0,ns,460
parallel_light_compute,hecs,,,,49637200.0,ns,470
parallel_light_compute,hecs,,,,52012200.0,ns,480
parallel_light_compute,hecs,,,,49941500.0,ns,490
parallel_light_compute,hecs,,,,56798700.0,ns,500
parallel_light_compute,hecs,,,,53745900.0,ns,510
parallel_light_compute,hecs,,,,55871300.0,ns,520
parallel_light_compute,hecs,,,,55180000.0,ns,530
parallel_light_compute,hecs,,,,56750500.0,ns,540
parallel_light_compute,hecs,,,,58690400.0,ns,550
parallel_light_compute,hecs,,,,61402800.0,ns,560
parallel_light_compute,hecs,,,,58391700.0,ns,570
parallel_light_compute,hecs,,,,63566400.0,ns,580
parallel_light_compute,hecs,,,,62343700.0,ns,590
parallel_light_compute,hecs,,,,67306400.0,ns,600
parallel_light_compute,hecs,,,,70864700.0,ns,610
parallel_light_compute,hecs,,,,65447700.0,ns,620
parallel_light_compute,hecs,,,,67669500.0,ns,630
parallel_light_compute,hecs,,,,72383600.0,ns,640
parallel_light_compute,hecs,,,,68412800.0,ns,650
parallel_light_compute,hecs,,,,72831200.0,ns,660
parallel_light_compute,hecs,,,,75209600.0,ns,670
parallel_light_compute,hecs,,,,71697800.0,ns,680
parallel_light_compute,hecs,,,,72373400.0,ns,690
parallel_light_compute,hecs,,,,73963600.0,ns,700
parallel_light_compute,hecs,,,,75475300.0,ns,710
parallel_light_compute,hecs,,,,79247500.0,ns,720
parallel_light_compute,hecs,,,,76589900.0,ns,730
parallel_light_compute,hecs,,,,78408300.0,ns,740
parallel_light_compute,hecs,,,,86906600.0,ns,750
parallel_light_compute,hecs,,,,83055600.0,ns,760
parallel_light_compute,hecs,,,,80182100.0,ns,770
parallel_light_compute,hecs,,,,87699900.0,ns,780
parallel_light_compute,hecs,,,,85222600.0,ns,790
parallel_light_compute,hecs,,,,86259900.0,ns,800
parallel_light_compute,hecs,,,,88432900.0,ns,810
parallel_light_compute,hecs,,,,89161000.0,ns,820
parallel_light_compute,hecs,,,,85045700.0,ns,830
parallel_light_compute,hecs,,,,92115600.0,ns,840
parallel_light_compute,hecs,,,,92159300.0,ns,850
parallel_light_compute,hecs,,,,91241800.0,ns,860
parallel_light_compute,hecs,,,,96806200.0,ns,870
parallel_light_compute,hecs,,,,92018200.0,ns,880
parallel_light_compute,hecs,,,,93126600.0,ns,890
parallel_light_compute,hecs,,,,100444000.0,ns,900
parallel_light_compute,hecs,,,,96352200.0,ns,910
parallel_light_compute,hecs,,,,98060400.0,ns,920
parallel_light_compute,hecs,,,,97642500.0,ns,930
parallel_light_compute,hecs,,,,97776600.0,ns,940
parallel_light_compute,hecs,,,,100227900.0,ns,950
parallel_light_compute,hecs,,,,100410300.0,ns,960
parallel_light_compute,hecs,,,,100020100.0,ns,970
parallel_light_compute,hecs,,,,109143800.0,ns,980
parallel_light_compute,hecs,,,,103285200.0,ns,990
parallel_light_compute,hecs,,,,105021200.0,ns,1000
