group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
parallel_light_compute,legion (packed),,,,1054300.0,ns,10
parallel_light_compute,legion (packed),,,,2112900.0,ns,20
parallel_light_compute,legion (packed),,,,3179200.0,ns,30
parallel_light_compute,legion (packed),,,,4339700.0,ns,40
parallel_light_compute,legion (packed),,,,5788900.0,ns,50
parallel_light_compute,legion (packed),,,,6849500.0,ns,60
parallel_light_compute,legion (packed),,,,8125700.0,ns,70
parallel_light_compute,legion (packed),,,,9286800.0,ns,80
parallel_light_compute,legion (packed),,,,10564200.0,ns,90
parallel_light_compute,legion (packed),,,,11755100.0,ns,100
parallel_light_compute,legion (packed),,,,11611100.0,ns,110
parallel_light_compute,legion (packed),,,,12801200.0,ns,120
parallel_light_compute,legion (packed),,,,13633100.0,ns,130
parallel_light_compute,legion (packed),,,,14811400.0,ns,140
parallel_light_compute,legion (packed),,,,16733800.0,ns,150
parallel_light_compute,legion (packed),,,,17686200.0,ns,160
parallel_light_compute,legion (packed),,,,17825600.0,ns,170
parallel_light_compute,legion (packed),,,,18838100.0,ns,180
parallel_light_compute,legion (packed),,,,19869800.0,ns,190
parallel_light_compute,legion (packed),,,,20946700.0,ns,200
parallel_light_compute,legion (packed),,,,22136300.0,ns,210
parallel_light_compute,legion (packed),,,,23134400.0,ns,220
parallel_light_compute,legion (packed),,,,24082600.0,ns,230
parallel_light_compute,legion (packed),,,,25897100.0,ns,240
parallel_light_compute,legion (packed),,,,26277800.0,ns,250
parallel_light_compute,legion (packed),,,,27420900.0,ns,260
parallel_light_compute,legion (packed),,,,28286200.0,ns,270
parallel_light_compute,legion (packed),,,,30979900.0,ns,280
parallel_light_compute,legion (packed),,,,31016900.0,ns,290
parallel_light_compute,legion (packed),,,,31622100.0,ns,300
parallel_light_compute,legion (packed),,,,32723800.0,ns,310
parallel_light_compute,legion (packed),,,,33538900.0,ns,320
parallel_light_compute,legion (packed),,,,35375500.0,ns,330
parallel_light_compute,legion (packed),,,,38262600.0,ns,340
parallel_light_compute,legion (packed),,,,37437200.0,ns,350
parallel_light_compute,legion (packed),,,,37648900.0,ns,360
parallel_light_compute,legion (packed),,,,39304700.0,ns,370
parallel_light_compute,legion (packed),,,,39995700.0,ns,380
parallel_light_compute,legion (packed),,,,41858700.0,ns,390
parallel_light_compute,legion (packed),,,,42512300.0,ns,400
parallel_light_compute,legion (packed),,,,43726900.0,ns,410
parallel_light_compute,legion (packed),,,,43894900.0,ns,420
parallel_light_compute,legion (packed),,,,45158100.0,ns,430
parallel_light_compute,legion (packed),,,,48599700.0,ns,440
parallel_light_compute,legion (packed),,,,50520800.0,ns,450
parallel_light_compute,legion (packed),,,,50458100.0,ns,460
parallel_light_compute,legion (packed),,,,49506000.0,ns,470
parallel_light_compute,legion (packed),,,,50419700.0,ns,480
parallel_light_compute,legion (packed),,,,51718400.0,ns,490
parallel_light_compute,legion (packed),,,,52618500.0,ns,500
parallel_light_compute,legion (packed),,,,55826700.0,ns,510
parallel_light_compute,legion (packed),,,,54633700.0,ns,520
parallel_light_compute,legion (packed),,,,55771600.0,ns,530
parallel_light_compute,legion (packed),,,,57260200.0,ns,540
parallel_light_compute,legion (packed),,,,58315800.0,ns,550
parallel_light_compute,legion (packed),,,,60728300.0,ns,560
parallel_light_compute,legion (packed),,,,60217100.0,ns,570
parallel_light_compute,legion (packed),,,,61336500.0,ns,580
parallel_light_compute,legion (packed),,,,61771400.0,ns,590
parallel_light_compute,legion (packed),,,,63712600.0,ns,600
parallel_light_compute,legion (packed),,,,64910700.0,ns,610
parallel_light_compute,legion (packed),,,,66322200.0,ns,620
parallel_light_compute,legion (packed),,,,71244100.0,ns,630
parallel_light_compute,legion (packed),,,,68717300.0,ns,640
parallel_light_compute,legion (packed),,,,67988400.0,ns,650
parallel_light_compute,legion (packed),,,,69019600.0,ns,660
parallel_light_compute,legion (packed),,,,72463400.0,ns,670
parallel_light_compute,legion (packed),,,,71298300.0,ns,680
parallel_light_compute,legion (packed),,,,72605000.0,ns,690
