group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
parallel_light_compute,legion,,,,1081600.0,ns,10
parallel_light_compute,legion,,,,2153400.0,ns,20
parallel_light_compute,legion,,,,3451500.0,ns,30
parallel_light_compute,legion,,,,4187500.0,ns,40
parallel_light_compute,legion,,,,5400400.0,ns,50
parallel_light_compute,legion,,,,6233900.0,ns,60
parallel_light_compute,legion,,,,7475600.0,ns,70
parallel_light_compute,legion,,,,8334400.0,ns,80
parallel_light_compute,legion,,,,9447500.0,ns,90
parallel_light_compute,legion,,,,10495500.0,ns,100
parallel_light_compute,legion,,,,11443700.0,ns,110
parallel_light_compute,legion,,,,12691700.0,ns,120
parallel_light_compute,legion,,,,13629300.0,ns,130
parallel_light_compute,legion,,,,15197300.0,ns,140
parallel_light_compute,legion,,,,16572500.0,ns,150
parallel_light_compute,legion,,,,17556300.0,ns,160
parallel_light_compute,legion,,,,17703200.0,ns,170
parallel_light_compute,legion,,,,18763100.0,ns,180
parallel_light_compute,legion,,,,19891300.0,ns,190
parallel_light_compute,legion,,,,21082800.0,ns,200
parallel_light_compute,legion,,,,21899500.0,ns,210
parallel_light_compute,legion,,,,23230900.0,ns,220
parallel_light_compute,legion,,,,24161500.0,ns,230
parallel_light_compute,legion,,,,25146100.0,ns,240
parallel_light_compute,legion,,,,26436500.0,ns,250
parallel_light_compute,legion,,,,27310400.0,ns,260
parallel_light_compute,legion,,,,29018200.0,ns,270
parallel_light_compute,legion,,,,29654700.0,ns,280
parallel_light_compute,legion,,,,30325900.0,ns,290
parallel_light_compute,legion,,,,31630400.0,ns,300
parallel_light_compute,legion,,,,32651400.0,ns,310
parallel_light_compute,legion,,,,33475100.0,ns,320
parallel_light_compute,legion,,,,34707700.0,ns,330
parallel_light_compute,legion,,,,39342100.0,ns,340
parallel_light_compute,legion,,,,41576800.0,ns,350
parallel_light_compute,legion,,,,38276400.0,ns,360
parallel_light_compute,legion,,,,39621800.0,ns,370
parallel_light_compute,legion,,,,40556600.0,ns,380
parallel_light_compute,legion,,,,41163000.0,ns,390
parallel_light_compute,legion,,,,41795700.0,ns,400
parallel_light_compute,legion,,,,44422300.0,ns,410
parallel_light_compute,legion,,,,44823100.0,ns,420
parallel_light_compute,legion,,,,44999800.0,ns,430
parallel_light_compute,legion,,,,46104200.0,ns,440
parallel_light_compute,legion,,,,47179400.0,ns,450
parallel_light_compute,legion,,,,49678700.0,ns,460
parallel_light_compute,legion,,,,49459900.0,ns,470
parallel_light_compute,legion,,,,50590100.0,ns,480
parallel_light_compute,legion,,,,52127400.0,ns,490
parallel_light_compute,legion,,,,52503600.0,ns,500
parallel_light_compute,legion,,,,54363100.0,ns,510
parallel_light_compute,legion,,,,54489600.0,ns,520
parallel_light_compute,legion,,,,55727800.0,ns,530
parallel_light_compute,legion,,,,56503000.0,ns,540
parallel_light_compute,legion,,,,59387900.0,ns,550
parallel_light_compute,legion,,,,65551000.0,ns,560
parallel_light_compute,legion,,,,60845100.0,ns,570
parallel_light_compute,legion,,,,64800500.0,ns,580
parallel_light_compute,legion,,,,63855100.0,ns,590
parallel_light_compute,legion,,,,63506900.0,ns,600
parallel_light_compute,legion,,,,63921900.0,ns,610
parallel_light_compute,legion,,,,64989100.0,ns,620
parallel_light_compute,legion,,,,65868200.0,ns,630
parallel_light_compute,legion,,,,69188800.0,ns,640
parallel_light_compute,legion,,,,68095500.0,ns,650
parallel_light_compute,legion,,,,68937700.0,ns,660
parallel_light_compute,legion,,,,71147800.0,ns,670
parallel_light_compute,legion,,,,71026700.0,ns,680
parallel_light_compute,legion,,,,72969000.0,ns,690
parallel_light_compute,legion,,,,74666800.0,ns,700
parallel_light_compute,legion,,,,79454100.0,ns,710
parallel_light_compute,legion,,,,78035200.0,ns,720
parallel_light_compute,legion,,,,79140400.0,ns,730
parallel_light_compute,legion,,,,77583900.0,ns,740
parallel_light_compute,legion,,,,78826600.0,ns,750
parallel_light_compute,legion,,,,80043800.0,ns,760
parallel_light_compute,legion,,,,81266000.0,ns,770
parallel_light_compute,legion,,,,83363400.0,ns,780
parallel_light_compute,legion,,,,83458900.0,ns,790
parallel_light_compute,legion,,,,83901300.0,ns,800
parallel_light_compute,legion,,,,85690500.0,ns,810
parallel_light_compute,legion,,,,87479200.0,ns,820
parallel_light_compute,legion,,,,87465900.0,ns,830
parallel_light_compute,legion,,,,95198900.0,ns,840
parallel_light_compute,legion,,,,90848700.0,ns,850
parallel_light_compute,legion,,,,89783400.0,ns,860
parallel_light_compute,legion,,,,92001300.0,ns,870
parallel_light_compute,legion,,,,92046100.0,ns,880
parallel_light_compute,legion,,,,95557700.0,ns,890
parallel_light_compute,legion,,,,95083500.0,ns,900
parallel_light_compute,legion,,,,95621800.0,ns,910
parallel_light_compute,legion,,,,97562400.0,ns,920
parallel_light_compute,legion,,,,97496200.0,ns,930
parallel_light_compute,legion,,,,101256700.0,ns,940
parallel_light_compute,legion,,,,110835600.0,ns,950
parallel_light_compute,legion,,,,102054900.0,ns,960
parallel_light_compute,legion,,,,102347100.0,ns,970
parallel_light_compute,legion,,,,102826400.0,ns,980
parallel_light_compute,legion,,,,106155600.0,ns,990
parallel_light_compute,legion,,,,106680000.0,ns,1000
