group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
parallel_light_compute,shipyard,,,,1030300.0,ns,7
parallel_light_compute,shipyard,,,,2112900.0,ns,14
parallel_light_compute,shipyard,,,,3269000.0,ns,21
parallel_light_compute,shipyard,,,,3946100.0,ns,28
parallel_light_compute,shipyard,,,,5245600.0,ns,35
parallel_light_compute,shipyard,,,,6371900.0,ns,42
parallel_light_compute,shipyard,,,,7819300.0,ns,49
parallel_light_compute,shipyard,,,,8178300.0,ns,56
parallel_light_compute,shipyard,,,,9015900.0,ns,63
parallel_light_compute,shipyard,,,,9418200.0,ns,70
parallel_light_compute,shipyard,,,,10762800.0,ns,77
parallel_light_compute,shipyard,,,,12718700.0,ns,84
parallel_light_compute,shipyard,,,,14912400.0,ns,91
parallel_light_compute,shipyard,,,,13775900.0,ns,98
parallel_light_compute,shipyard,,,,14818400.0,ns,105
parallel_light_compute,shipyard,,,,18601700.0,ns,112
parallel_light_compute,shipyard,,,,18630100.0,ns,119
parallel_light_compute,shipyard,,,,19960000.0,ns,126
parallel_light_compute,shipyard,,,,21736900.0,ns,133
parallel_light_compute,shipyard,,,,19869000.0,ns,140
parallel_light_compute,shipyard,,,,22675400.0,ns,147
parallel_light_compute,shipyard,,,,23360900.0,ns,154
parallel_light_compute,shipyard,,,,23191000.0,ns,161
parallel_light_compute,shipyard,,,,25088700.0,ns,168
parallel_light_compute,shipyard,,,,26317800.0,ns,175
parallel_light_compute,shipyard,,,,27956600.0,ns,182
parallel_light_compute,shipyard,,,,28187200.0,ns,189
parallel_light_compute,shipyard,,,,29723100.0,ns,196
parallel_light_compute,shipyard,,,,29586900.0,ns,203
parallel_light_compute,shipyard,,,,32447700.0,ns,210
parallel_light_compute,shipyard,,,,30688800.0,ns,217
parallel_light_compute,shipyard,,,,34203300.0,ns,224
parallel_light_compute,shipyard,,,,36510200.0,ns,231
parallel_light_compute,shipyard,,,,34066000.0,ns,238
parallel_light_compute,shipyard,,,,40153500.0,ns,245
parallel_light_compute,shipyard,,,,43068100.0,ns,252
parallel_light_compute,shipyard,,,,38891400.0,ns,259
parallel_light_compute,shipyard,,,,39062900.0,ns,266
parallel_light_compute,shipyard,,,,39959900.0,ns,273
parallel_light_compute,shipyard,,,,41764200.0,ns,280
parallel_light_compute,shipyard,,,,42572600.0,ns,287
parallel_light_compute,shipyard,,,,44967600.0,ns,294
parallel_light_compute,shipyard,,,,44503200.0,ns,301
parallel_light_compute,shipyard,,,,45231700.0,ns,308
parallel_light_compute,shipyard,,,,46701900.0,ns,315
parallel_light_compute,shipyard,,,,48643700.0,ns,322
parallel_light_compute,shipyard,,,,48610200.0,ns,329
parallel_light_compute,shipyard,,,,52407400.0,ns,336
parallel_light_compute,shipyard,,,,50907700.0,ns,343
parallel_light_compute,shipyard,,,,52985700.0,ns,350
parallel_light_compute,shipyard,,,,52843200.0,ns,357
parallel_light_compute,shipyard,,,,53086300.0,ns,364
parallel_light_compute,shipyard,,,,56139800.0,ns,371
parallel_light_compute,shipyard,,,,70311600.0,ns,378
parallel_light_compute,shipyard,,,,74898300.0,ns,385
parallel_light_compute,shipyard,,,,64526000.0,ns,392
parallel_light_compute,shipyard,,,,65132000.0,ns,399
parallel_light_compute,shipyard,,,,62061000.0,ns,406
parallel_light_compute,shipyard,,,,59560000.0,ns,413
parallel_light_compute,shipyard,,,,62330100.0,ns,420
parallel_light_compute,shipyard,,,,61976100.0,ns,427
parallel_light_compute,shipyard,,,,65390300.0,ns,434
parallel_light_compute,shipyard,,,,64769600.0,ns,441
parallel_light_compute,shipyard,,,,66928100.0,ns,448
parallel_light_compute,shipyard,,,,70108400.0,ns,455
parallel_light_compute,shipyard,,,,67323100.0,ns,462
parallel_light_compute,shipyard,,,,70560000.0,ns,469
parallel_light_compute,shipyard,,,,72274200.0,ns,476
parallel_light_compute,shipyard,,,,72360000.0,ns,483
parallel_light_compute,shipyard,,,,73544500.0,ns,490
parallel_light_compute,shipyard,,,,75129300.0,ns,497
parallel_light_compute,shipyard,,,,84857700.0,ns,504
parallel_light_compute,shipyard,,,,75228200.0,ns,511
parallel_light_compute,shipyard,,,,77794700.0,ns,518
parallel_light_compute,shipyard,,,,76782000.0,ns,525
parallel_light_compute,shipyard,,,,77102300.0,ns,532
parallel_light_compute,shipyard,,,,81894700.0,ns,539
parallel_light_compute,shipyard,,,,81852100.0,ns,546
parallel_light_compute,shipyard,,,,85993500.0,ns,553
parallel_light_compute,shipyard,,,,80984600.0,ns,560
parallel_light_compute,shipyard,,,,84474300.0,ns,567
parallel_light_compute,shipyard,,,,84585800.0,ns,574
parallel_light_compute,shipyard,,,,84987000.0,ns,581
parallel_light_compute,shipyard,,,,88602800.0,ns,588
parallel_light_compute,shipyard,,,,97500700.0,ns,595
parallel_light_compute,shipyard,,,,90555100.0,ns,602
