group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
parallel_light_compute,specs,,,,1136900.0,ns,10
parallel_light_compute,specs,,,,2261200.0,ns,20
parallel_light_compute,specs,,,,3450500.0,ns,30
parallel_light_compute,specs,,,,4404400.0,ns,40
parallel_light_compute,specs,,,,5532300.0,ns,50
parallel_light_compute,specs,,,,6573700.0,ns,60
parallel_light_compute,specs,,,,7838200.0,ns,70
parallel_light_compute,specs,,,,8688400.0,ns,80
parallel_light_compute,specs,,,,9091800.0,ns,90
parallel_light_compute,specs,,,,10034000.0,ns,100
parallel_light_compute,specs,,,,11031200.0,ns,110
parallel_light_compute,specs,,,,11938600.0,ns,120
parallel_light_compute,specs,,,,13477200.0,ns,130
parallel_light_compute,specs,,,,13953900.0,ns,140
parallel_light_compute,specs,,,,15070300.0,ns,150
parallel_light_compute,specs,,,,16009400.0,ns,160
parallel_light_compute,specs,,,,16930400.0,ns,170
parallel_light_compute,specs,,,,18091200.0,ns,180
parallel_light_compute,specs,,,,20087200.0,ns,190
parallel_light_compute,specs,,,,22941900.0,ns,200
parallel_light_compute,specs,,,,24541000.0,ns,210
parallel_light_compute,specs,,,,22146500.0,ns,220
parallel_light_compute,specs,,,,23628900.0,ns,230
parallel_light_compute,specs,,,,24676100.0,ns,240
parallel_light_compute,specs,,,,25114900.0,ns,250
parallel_light_compute,specs,,,,26700000.0,ns,260
parallel_light_compute,specs,,,,27792900.0,ns,270
parallel_light_compute,specs,,,,29877300.0,ns,280
parallel_light_compute,specs,,,,29674800.0,ns,290
parallel_light_compute,specs,,,,30697100.0,ns,300
parallel_light_compute,specs,,,,32084400.0,ns,310
parallel_light_compute,specs,,,,33311000.0,ns,320
parallel_light_compute,specs,,,,33745700.0,ns,330
parallel_light_compute,specs,,,,34840700.0,ns,340
parallel_light_compute,specs,,,,35928800.0,ns,350
parallel_light_compute,specs,,,,37290700.0,ns,360
parallel_light_compute,specs,,,,37966300.0,ns,370
parallel_light_compute,specs,,,,38957000.0,ns,380
parallel_light_compute,specs,,,,40181900.0,ns,390
parallel_light_compute,specs,,,,40980800.0,ns,400
parallel_light_compute,specs,,,,44367600.0,ns,410
parallel_light_compute,specs,,,,43904200.0,ns,420
parallel_light_compute,specs,,,,44166900.0,ns,430
parallel_light_compute,specs,,,,46803200.0,ns,440
parallel_light_compute,specs,,,,46394700.0,ns,450
parallel_light_compute,specs,,,,47592900.0,ns,460
parallel_light_compute,specs,,,,48366400.0,ns,470
parallel_light_compute,specs,,,,53551300.0,ns,480
parallel_light_compute,specs,,,,52512800.0,ns,490
parallel_light_compute,specs,,,,51654600.0,ns,500
parallel_light_compute,specs,,,,52447100.0,ns,510
parallel_light_compute,specs,,,,55530200.0,ns,520
parallel_light_compute,specs,,,,55990900.0,ns,530
parallel_light_compute,specs,,,,55868300.0,ns,540
parallel_light_compute,specs,,,,57007200.0,ns,550
parallel_light_compute,specs,,,,58609200.0,ns,560
parallel_light_compute,specs,,,,58868100.0,ns,570
parallel_light_compute,specs,,,,60059400.0,ns,580
parallel_light_compute,specs,,,,62551100.0,ns,590
parallel_light_compute,specs,,,,64334800.0,ns,600
parallel_light_compute,specs,,,,63533500.0,ns,610
parallel_light_compute,specs,,,,65069400.0,ns,620
parallel_light_compute,specs,,,,66104600.0,ns,630
parallel_light_compute,specs,,,,73715500.0,ns,640
parallel_light_compute,specs,,,,74691400.0,ns,650
parallel_light_compute,specs,,,,72021400.0,ns,660
parallel_light_compute,specs,,,,71514200.0,ns,670
parallel_light_compute,specs,,,,74048100.0,ns,680
parallel_light_compute,specs,,,,72716200.0,ns,690
parallel_light_compute,specs,,,,75511500.0,ns,700
parallel_light_compute,specs,,,,76330900.0,ns,710
parallel_light_compute,specs,,,,76590900.0,ns,720
parallel_light_compute,specs,,,,80714900.0,ns,730
parallel_light_compute,specs,,,,84507200.0,ns,740
parallel_light_compute,specs,,,,80178400.0,ns,750
parallel_light_compute,specs,,,,103855900.0,ns,760
parallel_light_compute,specs,,,,88122100.0,ns,770
parallel_light_compute,specs,,,,87496700.0,ns,780
parallel_light_compute,specs,,,,87340100.0,ns,790
parallel_light_compute,specs,,,,89424100.0,ns,800
parallel_light_compute,specs,,,,98164600.0,ns,810
parallel_light_compute,specs,,,,93466300.0,ns,820
parallel_light_compute,specs,,,,89322600.0,ns,830
parallel_light_compute,specs,,,,93264900.0,ns,840
parallel_light_compute,specs,,,,93554900.0,ns,850
parallel_light_compute,specs,,,,96338200.0,ns,860
parallel_light_compute,specs,,,,95474600.0,ns,870
parallel_light_compute,specs,,,,97666800.0,ns,880
parallel_light_compute,specs,,,,105060700.0,ns,890
parallel_light_compute,specs,,,,100333800.0,ns,900
parallel_light_compute,specs,,,,104216300.0,ns,910
parallel_light_compute,specs,,,,101897900.0,ns,920
parallel_light_compute,specs,,,,104619500.0,ns,930
parallel_light_compute,specs,,,,109445100.0,ns,940
parallel_light_compute,specs,,,,115974500.0,ns,950
parallel_light_compute,specs,,,,113724600.0,ns,960
parallel_light_compute,specs,,,,116538600.0,ns,970
parallel_light_compute,specs,,,,117528800.0,ns,980
parallel_light_compute,specs,,,,126568200.0,ns,990
parallel_light_compute,specs,,,,109829700.0,ns,1000
