group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedule,bevy,,,,1560700.0,ns,12
schedule,bevy,,,,2637700.0,ns,24
schedule,bevy,,,,3591300.0,ns,36
schedule,bevy,,,,4278900.0,ns,48
schedule,bevy,,,,5507400.0,ns,60
schedule,bevy,,,,6380700.0,ns,72
schedule,bevy,,,,8295100.0,ns,84
schedule,bevy,,,,8509800.0,ns,96
schedule,bevy,,,,10388600.0,ns,108
schedule,bevy,,,,10372800.0,ns,120
schedule,bevy,,,,11400700.0,ns,132
schedule,bevy,,,,11471700.0,ns,144
schedule,bevy,,,,14599900.0,ns,156
schedule,bevy,,,,13023000.0,ns,168
schedule,bevy,,,,15648700.0,ns,180
schedule,bevy,,,,15138400.0,ns,192
schedule,bevy,,,,16227800.0,ns,204
schedule,bevy,,,,16447100.0,ns,216
schedule,bevy,,,,18712500.0,ns,228
schedule,bevy,,,,17838500.0,ns,240
schedule,bevy,,,,21078900.0,ns,252
schedule,bevy,,,,21186500.0,ns,264
schedule,bevy,,,,21091000.0,ns,276
schedule,bevy,,,,22655200.0,ns,288
schedule,bevy,,,,23857700.0,ns,300
schedule,bevy,,,,27275300.0,ns,312
schedule,bevy,,,,26073000.0,ns,324
schedule,bevy,,,,28942300.0,ns,336
schedule,bevy,,,,26515700.0,ns,348
schedule,bevy,,,,27529800.0,ns,360
schedule,bevy,,,,30048600.0,ns,372
schedule,bevy,,,,29541200.0,ns,384
schedule,bevy,,,,28920300.0,ns,396
schedule,bevy,,,,31561900.0,ns,408
schedule,bevy,,,,36200400.0,ns,420
schedule,bevy,,,,37228000.0,ns,432
schedule,bevy,,,,33017700.0,ns,444
schedule,bevy,,,,34199400.0,ns,456
schedule,bevy,,,,40338800.0,ns,468
schedule,bevy,,,,36850700.0,ns,480
schedule,bevy,,,,41783300.0,ns,492
schedule,bevy,,,,40678100.0,ns,504
schedule,bevy,,,,44292700.0,ns,516
schedule,bevy,,,,39874200.0,ns,528
schedule,bevy,,,,44238400.0,ns,540
schedule,bevy,,,,50931800.0,ns,552
schedule,bevy,,,,44537500.0,ns,564
schedule,bevy,,,,49234900.0,ns,576
schedule,bevy,,,,43679600.0,ns,588
schedule,bevy,,,,48438200.0,ns,600
schedule,bevy,,,,49091400.0,ns,612
schedule,bevy,,,,53004300.0,ns,624
schedule,bevy,,,,53315100.0,ns,636
schedule,bevy,,,,55894600.0,ns,648
schedule,bevy,,,,54642600.0,ns,660
schedule,bevy,,,,56594100.0,ns,672
schedule,bevy,,,,56109100.0,ns,684
schedule,bevy,,,,60485000.0,ns,696
schedule,bevy,,,,58844300.0,ns,708
schedule,bevy,,,,60842900.0,ns,720
schedule,bevy,,,,56233100.0,ns,732
schedule,bevy,,,,58021100.0,ns,744
schedule,bevy,,,,66793600.0,ns,756
schedule,bevy,,,,66939300.0,ns,768
schedule,bevy,,,,63684200.0,ns,780
schedule,bevy,,,,63463900.0,ns,792
schedule,bevy,,,,69388500.0,ns,804
schedule,bevy,,,,64661400.0,ns,816
schedule,bevy,,,,67605000.0,ns,828
schedule,bevy,,,,63870100.0,ns,840
schedule,bevy,,,,66319700.0,ns,852
schedule,bevy,,,,69254000.0,ns,864
schedule,bevy,,,,67268400.0,ns,876
schedule,bevy,,,,68197500.0,ns,888
schedule,bevy,,,,74204100.0,ns,900
schedule,bevy,,,,70836600.0,ns,912
schedule,bevy,,,,77913500.0,ns,924
schedule,bevy,,,,70452100.0,ns,936
schedule,bevy,,,,82738500.0,ns,948
schedule,bevy,,,,74169800.0,ns,960
schedule,bevy,,,,79807800.0,ns,972
schedule,bevy,,,,85671500.0,ns,984
schedule,bevy,,,,76073500.0,ns,996
schedule,bevy,,,,80010000.0,ns,1008
schedule,bevy,,,,85148400.0,ns,1020
schedule,bevy,,,,80130200.0,ns,1032
schedule,bevy,,,,88963800.0,ns,1044
schedule,bevy,,,,88569700.0,ns,1056
schedule,bevy,,,,89046300.0,ns,1068
schedule,bevy,,,,88394400.0,ns,1080
schedule,bevy,,,,97626200.0,ns,1092
schedule,bevy,,,,83994200.0,ns,1104
schedule,bevy,,,,84537500.0,ns,1116
schedule,bevy,,,,96201100.0,ns,1128
schedule,bevy,,,,109044100.0,ns,1140
schedule,bevy,,,,104418200.0,ns,1152
schedule,bevy,,,,103160200.0,ns,1164
schedule,bevy,,,,98027700.0,ns,1176
schedule,bevy,,,,96142800.0,ns,1188
schedule,bevy,,,,91146200.0,ns,1200
