group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedule,legion (packed),,,,989600.0,ns,17
schedule,legion (packed),,,,2097700.0,ns,34
schedule,legion (packed),,,,2952500.0,ns,51
schedule,legion (packed),,,,4019200.0,ns,68
schedule,legion (packed),,,,4931600.0,ns,85
schedule,legion (packed),,,,6211600.0,ns,102
schedule,legion (packed),,,,7024700.0,ns,119
schedule,legion (packed),,,,8077800.0,ns,136
schedule,legion (packed),,,,9165700.0,ns,153
schedule,legion (packed),,,,9864700.0,ns,170
schedule,legion (packed),,,,10895500.0,ns,187
schedule,legion (packed),,,,11944400.0,ns,204
schedule,legion (packed),,,,12983500.0,ns,221
schedule,legion (packed),,,,13907400.0,ns,238
schedule,legion (packed),,,,14942200.0,ns,255
schedule,legion (packed),,,,15567400.0,ns,272
schedule,legion (packed),,,,17441400.0,ns,289
schedule,legion (packed),,,,18176100.0,ns,306
schedule,legion (packed),,,,18993500.0,ns,323
schedule,legion (packed),,,,20128500.0,ns,340
schedule,legion (packed),,,,21044300.0,ns,357
schedule,legion (packed),,,,22084500.0,ns,374
schedule,legion (packed),,,,22970600.0,ns,391
schedule,legion (packed),,,,23847100.0,ns,408
schedule,legion (packed),,,,24794000.0,ns,425
schedule,legion (packed),,,,25735200.0,ns,442
schedule,legion (packed),,,,26858100.0,ns,459
schedule,legion (packed),,,,27510500.0,ns,476
schedule,legion (packed),,,,29233000.0,ns,493
schedule,legion (packed),,,,30533200.0,ns,510
schedule,legion (packed),,,,31105000.0,ns,527
schedule,legion (packed),,,,31999300.0,ns,544
schedule,legion (packed),,,,32799700.0,ns,561
schedule,legion (packed),,,,33783600.0,ns,578
schedule,legion (packed),,,,34576300.0,ns,595
schedule,legion (packed),,,,35909900.0,ns,612
schedule,legion (packed),,,,38448300.0,ns,629
schedule,legion (packed),,,,41304400.0,ns,646
schedule,legion (packed),,,,40233500.0,ns,663
schedule,legion (packed),,,,40557700.0,ns,680
schedule,legion (packed),,,,40787600.0,ns,697
schedule,legion (packed),,,,41793800.0,ns,714
schedule,legion (packed),,,,42751300.0,ns,731
schedule,legion (packed),,,,44060300.0,ns,748
schedule,legion (packed),,,,44622300.0,ns,765
schedule,legion (packed),,,,47097600.0,ns,782
schedule,legion (packed),,,,47633100.0,ns,799
schedule,legion (packed),,,,48882300.0,ns,816
schedule,legion (packed),,,,49021400.0,ns,833
schedule,legion (packed),,,,50887800.0,ns,850
schedule,legion (packed),,,,51411700.0,ns,867
schedule,legion (packed),,,,52839600.0,ns,884
schedule,legion (packed),,,,52629000.0,ns,901
schedule,legion (packed),,,,54198200.0,ns,918
schedule,legion (packed),,,,54553500.0,ns,935
schedule,legion (packed),,,,55897400.0,ns,952
schedule,legion (packed),,,,56950300.0,ns,969
schedule,legion (packed),,,,56807200.0,ns,986
schedule,legion (packed),,,,58339700.0,ns,1003
schedule,legion (packed),,,,63189300.0,ns,1020
schedule,legion (packed),,,,66889400.0,ns,1037
schedule,legion (packed),,,,68515200.0,ns,1054
schedule,legion (packed),,,,69442100.0,ns,1071
schedule,legion (packed),,,,76666600.0,ns,1088
schedule,legion (packed),,,,74368700.0,ns,1105
schedule,legion (packed),,,,74000400.0,ns,1122
schedule,legion (packed),,,,74226700.0,ns,1139
schedule,legion (packed),,,,75857400.0,ns,1156
schedule,legion (packed),,,,75734300.0,ns,1173
schedule,legion (packed),,,,77154600.0,ns,1190
schedule,legion (packed),,,,79145000.0,ns,1207
schedule,legion (packed),,,,79860300.0,ns,1224
schedule,legion (packed),,,,80394200.0,ns,1241
schedule,legion (packed),,,,80665400.0,ns,1258
schedule,legion (packed),,,,82182900.0,ns,1275
schedule,legion (packed),,,,84412100.0,ns,1292
schedule,legion (packed),,,,84101600.0,ns,1309
schedule,legion (packed),,,,86121000.0,ns,1326
schedule,legion (packed),,,,89351300.0,ns,1343
schedule,legion (packed),,,,91037900.0,ns,1360
schedule,legion (packed),,,,88730000.0,ns,1377
schedule,legion (packed),,,,89213500.0,ns,1394
schedule,legion (packed),,,,90779100.0,ns,1411
schedule,legion (packed),,,,92015400.0,ns,1428
schedule,legion (packed),,,,92822700.0,ns,1445
schedule,legion (packed),,,,96709500.0,ns,1462
schedule,legion (packed),,,,98640200.0,ns,1479
schedule,legion (packed),,,,99101200.0,ns,1496
schedule,legion (packed),,,,97574400.0,ns,1513
schedule,legion (packed),,,,98811000.0,ns,1530
schedule,legion (packed),,,,103516500.0,ns,1547
schedule,legion (packed),,,,105180700.0,ns,1564
schedule,legion (packed),,,,103154500.0,ns,1581
schedule,legion (packed),,,,104515800.0,ns,1598
schedule,legion (packed),,,,104559500.0,ns,1615
schedule,legion (packed),,,,106671800.0,ns,1632
schedule,legion (packed),,,,108097900.0,ns,1649
schedule,legion (packed),,,,106574800.0,ns,1666
schedule,legion (packed),,,,109521000.0,ns,1683
schedule,legion (packed),,,,111109200.0,ns,1700
