group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedule,legion,,,,1055500.0,ns,17
schedule,legion,,,,1960200.0,ns,34
schedule,legion,,,,3067500.0,ns,51
schedule,legion,,,,3981600.0,ns,68
schedule,legion,,,,4977800.0,ns,85
schedule,legion,,,,6165700.0,ns,102
schedule,legion,,,,6921500.0,ns,119
schedule,legion,,,,7960700.0,ns,136
schedule,legion,,,,9003400.0,ns,153
schedule,legion,,,,9815700.0,ns,170
schedule,legion,,,,10672500.0,ns,187
schedule,legion,,,,12252900.0,ns,204
schedule,legion,,,,12879700.0,ns,221
schedule,legion,,,,13659500.0,ns,238
schedule,legion,,,,14753300.0,ns,255
schedule,legion,,,,15393900.0,ns,272
schedule,legion,,,,16585500.0,ns,289
schedule,legion,,,,18161800.0,ns,306
schedule,legion,,,,18713600.0,ns,323
schedule,legion,,,,19777500.0,ns,340
schedule,legion,,,,21006600.0,ns,357
schedule,legion,,,,21911300.0,ns,374
schedule,legion,,,,22886700.0,ns,391
schedule,legion,,,,23762600.0,ns,408
schedule,legion,,,,24461000.0,ns,425
schedule,legion,,,,25962900.0,ns,442
schedule,legion,,,,26670000.0,ns,459
schedule,legion,,,,27985200.0,ns,476
schedule,legion,,,,29061100.0,ns,493
schedule,legion,,,,29792400.0,ns,510
schedule,legion,,,,30957500.0,ns,527
schedule,legion,,,,31973000.0,ns,544
schedule,legion,,,,33551200.0,ns,561
schedule,legion,,,,34612100.0,ns,578
schedule,legion,,,,35484600.0,ns,595
schedule,legion,,,,36102700.0,ns,612
schedule,legion,,,,37239500.0,ns,629
schedule,legion,,,,38038700.0,ns,646
schedule,legion,,,,38916700.0,ns,663
schedule,legion,,,,39476200.0,ns,680
schedule,legion,,,,41292600.0,ns,697
schedule,legion,,,,41583100.0,ns,714
schedule,legion,,,,43449700.0,ns,731
schedule,legion,,,,44812500.0,ns,748
schedule,legion,,,,44689900.0,ns,765
schedule,legion,,,,46700400.0,ns,782
schedule,legion,,,,47954900.0,ns,799
schedule,legion,,,,47882900.0,ns,816
schedule,legion,,,,48326400.0,ns,833
schedule,legion,,,,49987900.0,ns,850
schedule,legion,,,,52775600.0,ns,867
schedule,legion,,,,53392900.0,ns,884
schedule,legion,,,,53215300.0,ns,901
schedule,legion,,,,53857700.0,ns,918
schedule,legion,,,,54998900.0,ns,935
schedule,legion,,,,56173300.0,ns,952
schedule,legion,,,,56421800.0,ns,969
schedule,legion,,,,57606400.0,ns,986
schedule,legion,,,,58451300.0,ns,1003
schedule,legion,,,,58799000.0,ns,1020
schedule,legion,,,,61319600.0,ns,1037
schedule,legion,,,,62038200.0,ns,1054
schedule,legion,,,,62525700.0,ns,1071
schedule,legion,,,,64339600.0,ns,1088
schedule,legion,,,,65610400.0,ns,1105
schedule,legion,,,,66912500.0,ns,1122
schedule,legion,,,,67297600.0,ns,1139
schedule,legion,,,,68683800.0,ns,1156
schedule,legion,,,,68920600.0,ns,1173
schedule,legion,,,,70408900.0,ns,1190
schedule,legion,,,,71739600.0,ns,1207
schedule,legion,,,,72674200.0,ns,1224
schedule,legion,,,,72283900.0,ns,1241
schedule,legion,,,,73769000.0,ns,1258
schedule,legion,,,,74861800.0,ns,1275
schedule,legion,,,,75014400.0,ns,1292
schedule,legion,,,,76041100.0,ns,1309
schedule,legion,,,,77398000.0,ns,1326
schedule,legion,,,,77362200.0,ns,1343
schedule,legion,,,,79743600.0,ns,1360
schedule,legion,,,,83293600.0,ns,1377
schedule,legion,,,,82240100.0,ns,1394
schedule,legion,,,,84102900.0,ns,1411
schedule,legion,,,,84649000.0,ns,1428
schedule,legion,,,,84027000.0,ns,1445
schedule,legion,,,,86238700.0,ns,1462
schedule,legion,,,,85805200.0,ns,1479
schedule,legion,,,,88491000.0,ns,1496
schedule,legion,,,,89409800.0,ns,1513
schedule,legion,,,,88426600.0,ns,1530
schedule,legion,,,,90367300.0,ns,1547
schedule,legion,,,,91389000.0,ns,1564
schedule,legion,,,,92608400.0,ns,1581
schedule,legion,,,,92560000.0,ns,1598
schedule,legion,,,,93095200.0,ns,1615
schedule,legion,,,,94175900.0,ns,1632
schedule,legion,,,,96377600.0,ns,1649
schedule,legion,,,,96479200.0,ns,1666
schedule,legion,,,,98207700.0,ns,1683
schedule,legion,,,,101645300.0,ns,1700
