group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedule,legion,,,,983900.0,ns,17
schedule,legion,,,,2102300.0,ns,34
schedule,legion,,,,3092600.0,ns,51
schedule,legion,,,,4241300.0,ns,68
schedule,legion,,,,5243700.0,ns,85
schedule,legion,,,,6290700.0,ns,102
schedule,legion,,,,7031300.0,ns,119
schedule,legion,,,,8078900.0,ns,136
schedule,legion,,,,8792300.0,ns,153
schedule,legion,,,,9972200.0,ns,170
schedule,legion,,,,10982000.0,ns,187
schedule,legion,,,,12234600.0,ns,204
schedule,legion,,,,12946400.0,ns,221
schedule,legion,,,,13926600.0,ns,238
schedule,legion,,,,15213400.0,ns,255
schedule,legion,,,,16026100.0,ns,272
schedule,legion,,,,16861800.0,ns,289
schedule,legion,,,,18192100.0,ns,306
schedule,legion,,,,18822400.0,ns,323
schedule,legion,,,,20103700.0,ns,340
schedule,legion,,,,21373800.0,ns,357
schedule,legion,,,,22479300.0,ns,374
schedule,legion,,,,22861700.0,ns,391
schedule,legion,,,,24160100.0,ns,408
schedule,legion,,,,25165400.0,ns,425
schedule,legion,,,,26108200.0,ns,442
schedule,legion,,,,27273500.0,ns,459
schedule,legion,,,,27945300.0,ns,476
schedule,legion,,,,29248500.0,ns,493
schedule,legion,,,,30220800.0,ns,510
schedule,legion,,,,30869500.0,ns,527
schedule,legion,,,,31606600.0,ns,544
schedule,legion,,,,32808300.0,ns,561
schedule,legion,,,,33472000.0,ns,578
schedule,legion,,,,34418600.0,ns,595
schedule,legion,,,,36440500.0,ns,612
schedule,legion,,,,37560400.0,ns,629
schedule,legion,,,,37942200.0,ns,646
schedule,legion,,,,39547100.0,ns,663
schedule,legion,,,,40018300.0,ns,680
schedule,legion,,,,40502300.0,ns,697
schedule,legion,,,,42115500.0,ns,714
schedule,legion,,,,43703600.0,ns,731
schedule,legion,,,,43552700.0,ns,748
schedule,legion,,,,87840200.0,ns,765
schedule,legion,,,,49492900.0,ns,782
schedule,legion,,,,46561300.0,ns,799
schedule,legion,,,,62211200.0,ns,816
schedule,legion,,,,49642000.0,ns,833
schedule,legion,,,,50038400.0,ns,850
schedule,legion,,,,53975300.0,ns,867
schedule,legion,,,,51484500.0,ns,884
schedule,legion,,,,53889600.0,ns,901
schedule,legion,,,,56436200.0,ns,918
schedule,legion,,,,60820800.0,ns,935
schedule,legion,,,,54158100.0,ns,952
schedule,legion,,,,57374500.0,ns,969
schedule,legion,,,,58735300.0,ns,986
schedule,legion,,,,58329500.0,ns,1003
schedule,legion,,,,59669000.0,ns,1020
schedule,legion,,,,78502500.0,ns,1037
schedule,legion,,,,70801800.0,ns,1054
schedule,legion,,,,62019400.0,ns,1071
schedule,legion,,,,64052500.0,ns,1088
schedule,legion,,,,65601800.0,ns,1105
schedule,legion,,,,67476500.0,ns,1122
schedule,legion,,,,67310500.0,ns,1139
schedule,legion,,,,68242500.0,ns,1156
schedule,legion,,,,68821700.0,ns,1173
schedule,legion,,,,70734200.0,ns,1190
schedule,legion,,,,71787900.0,ns,1207
schedule,legion,,,,71833900.0,ns,1224
schedule,legion,,,,72436200.0,ns,1241
schedule,legion,,,,73907600.0,ns,1258
schedule,legion,,,,75642100.0,ns,1275
schedule,legion,,,,75976600.0,ns,1292
schedule,legion,,,,76419800.0,ns,1309
schedule,legion,,,,78190700.0,ns,1326
schedule,legion,,,,78615400.0,ns,1343
schedule,legion,,,,80628200.0,ns,1360
schedule,legion,,,,81239500.0,ns,1377
schedule,legion,,,,82209000.0,ns,1394
schedule,legion,,,,83752100.0,ns,1411
schedule,legion,,,,86077900.0,ns,1428
schedule,legion,,,,85780100.0,ns,1445
schedule,legion,,,,85926200.0,ns,1462
schedule,legion,,,,87212400.0,ns,1479
schedule,legion,,,,87795300.0,ns,1496
schedule,legion,,,,88391200.0,ns,1513
schedule,legion,,,,88811600.0,ns,1530
schedule,legion,,,,90313000.0,ns,1547
schedule,legion,,,,91478900.0,ns,1564
schedule,legion,,,,92339200.0,ns,1581
schedule,legion,,,,93245300.0,ns,1598
schedule,legion,,,,93252800.0,ns,1615
schedule,legion,,,,94468100.0,ns,1632
schedule,legion,,,,99166200.0,ns,1649
schedule,legion,,,,96745500.0,ns,1666
schedule,legion,,,,96730000.0,ns,1683
schedule,legion,,,,98091400.0,ns,1700
