group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedule,planck_ecs,,,,1141000.0,ns,3
schedule,planck_ecs,,,,2466700.0,ns,6
schedule,planck_ecs,,,,3471800.0,ns,9
schedule,planck_ecs,,,,4910000.0,ns,12
schedule,planck_ecs,,,,5813000.0,ns,15
schedule,planck_ecs,,,,6976700.0,ns,18
schedule,planck_ecs,,,,8108500.0,ns,21
schedule,planck_ecs,,,,10006000.0,ns,24
schedule,planck_ecs,,,,11456000.0,ns,27
schedule,planck_ecs,,,,12364800.0,ns,30
schedule,planck_ecs,,,,13767900.0,ns,33
schedule,planck_ecs,,,,14922800.0,ns,36
schedule,planck_ecs,,,,16155700.0,ns,39
schedule,planck_ecs,,,,17186200.0,ns,42
schedule,planck_ecs,,,,18447700.0,ns,45
schedule,planck_ecs,,,,19708800.0,ns,48
schedule,planck_ecs,,,,21025000.0,ns,51
schedule,planck_ecs,,,,22252700.0,ns,54
schedule,planck_ecs,,,,23630100.0,ns,57
schedule,planck_ecs,,,,24956200.0,ns,60
schedule,planck_ecs,,,,25796900.0,ns,63
schedule,planck_ecs,,,,26940700.0,ns,66
schedule,planck_ecs,,,,28258600.0,ns,69
schedule,planck_ecs,,,,29726200.0,ns,72
schedule,planck_ecs,,,,30614800.0,ns,75
schedule,planck_ecs,,,,31659400.0,ns,78
schedule,planck_ecs,,,,33148300.0,ns,81
schedule,planck_ecs,,,,34568200.0,ns,84
schedule,planck_ecs,,,,35486400.0,ns,87
schedule,planck_ecs,,,,35507600.0,ns,90
schedule,planck_ecs,,,,35585100.0,ns,93
schedule,planck_ecs,,,,37128300.0,ns,96
schedule,planck_ecs,,,,38193400.0,ns,99
schedule,planck_ecs,,,,39099400.0,ns,102
schedule,planck_ecs,,,,40083900.0,ns,105
schedule,planck_ecs,,,,42398800.0,ns,108
schedule,planck_ecs,,,,43015600.0,ns,111
schedule,planck_ecs,,,,44233900.0,ns,114
schedule,planck_ecs,,,,44699600.0,ns,117
schedule,planck_ecs,,,,45750900.0,ns,120
schedule,planck_ecs,,,,47146600.0,ns,123
schedule,planck_ecs,,,,48914300.0,ns,126
schedule,planck_ecs,,,,49542000.0,ns,129
schedule,planck_ecs,,,,50703800.0,ns,132
schedule,planck_ecs,,,,51801000.0,ns,135
schedule,planck_ecs,,,,53434500.0,ns,138
schedule,planck_ecs,,,,53625500.0,ns,141
schedule,planck_ecs,,,,55182700.0,ns,144
schedule,planck_ecs,,,,56038000.0,ns,147
schedule,planck_ecs,,,,57143200.0,ns,150
schedule,planck_ecs,,,,58533200.0,ns,153
schedule,planck_ecs,,,,61392300.0,ns,156
schedule,planck_ecs,,,,61174000.0,ns,159
schedule,planck_ecs,,,,62513300.0,ns,162
schedule,planck_ecs,,,,63553900.0,ns,165
schedule,planck_ecs,,,,64304100.0,ns,168
schedule,planck_ecs,,,,66060200.0,ns,171
schedule,planck_ecs,,,,66128800.0,ns,174
schedule,planck_ecs,,,,66878700.0,ns,177
schedule,planck_ecs,,,,68904000.0,ns,180
schedule,planck_ecs,,,,70026600.0,ns,183
schedule,planck_ecs,,,,70544500.0,ns,186
schedule,planck_ecs,,,,72509400.0,ns,189
schedule,planck_ecs,,,,73384000.0,ns,192
schedule,planck_ecs,,,,74270200.0,ns,195
schedule,planck_ecs,,,,76142100.0,ns,198
schedule,planck_ecs,,,,76584100.0,ns,201
schedule,planck_ecs,,,,78244300.0,ns,204
schedule,planck_ecs,,,,79209800.0,ns,207
schedule,planck_ecs,,,,82883500.0,ns,210
schedule,planck_ecs,,,,85494100.0,ns,213
schedule,planck_ecs,,,,85337900.0,ns,216
schedule,planck_ecs,,,,83919400.0,ns,219
schedule,planck_ecs,,,,88546600.0,ns,222
schedule,planck_ecs,,,,90956000.0,ns,225
schedule,planck_ecs,,,,87810800.0,ns,228
schedule,planck_ecs,,,,88268900.0,ns,231
schedule,planck_ecs,,,,89132800.0,ns,234
schedule,planck_ecs,,,,90638400.0,ns,237
schedule,planck_ecs,,,,91537900.0,ns,240
schedule,planck_ecs,,,,92783700.0,ns,243
schedule,planck_ecs,,,,94721900.0,ns,246
schedule,planck_ecs,,,,95798700.0,ns,249
schedule,planck_ecs,,,,109466600.0,ns,252
schedule,planck_ecs,,,,102760200.0,ns,255
schedule,planck_ecs,,,,98795300.0,ns,258
schedule,planck_ecs,,,,105938400.0,ns,261
schedule,planck_ecs,,,,102506300.0,ns,264
schedule,planck_ecs,,,,104510700.0,ns,267
schedule,planck_ecs,,,,104962400.0,ns,270
schedule,planck_ecs,,,,104791500.0,ns,273
schedule,planck_ecs,,,,107598200.0,ns,276
schedule,planck_ecs,,,,106334000.0,ns,279
schedule,planck_ecs,,,,108786700.0,ns,282
schedule,planck_ecs,,,,108068700.0,ns,285
schedule,planck_ecs,,,,110074400.0,ns,288
schedule,planck_ecs,,,,119902600.0,ns,291
schedule,planck_ecs,,,,116539400.0,ns,294
schedule,planck_ecs,,,,132164300.0,ns,297
schedule,planck_ecs,,,,122379700.0,ns,300
