group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedule,planck_ecs,,,,1259800.0,ns,3
schedule,planck_ecs,,,,2806500.0,ns,6
schedule,planck_ecs,,,,3846800.0,ns,9
schedule,planck_ecs,,,,4795900.0,ns,12
schedule,planck_ecs,,,,6057400.0,ns,15
schedule,planck_ecs,,,,7865500.0,ns,18
schedule,planck_ecs,,,,8966900.0,ns,21
schedule,planck_ecs,,,,10635600.0,ns,24
schedule,planck_ecs,,,,11360900.0,ns,27
schedule,planck_ecs,,,,12430800.0,ns,30
schedule,planck_ecs,,,,13881600.0,ns,33
schedule,planck_ecs,,,,17276000.0,ns,36
schedule,planck_ecs,,,,18355300.0,ns,39
schedule,planck_ecs,,,,18831400.0,ns,42
schedule,planck_ecs,,,,19102400.0,ns,45
schedule,planck_ecs,,,,20205100.0,ns,48
schedule,planck_ecs,,,,22508000.0,ns,51
schedule,planck_ecs,,,,21293100.0,ns,54
schedule,planck_ecs,,,,23711900.0,ns,57
schedule,planck_ecs,,,,24327400.0,ns,60
schedule,planck_ecs,,,,26478500.0,ns,63
schedule,planck_ecs,,,,26465700.0,ns,66
schedule,planck_ecs,,,,29128000.0,ns,69
schedule,planck_ecs,,,,28881800.0,ns,72
schedule,planck_ecs,,,,31220400.0,ns,75
schedule,planck_ecs,,,,30886500.0,ns,78
schedule,planck_ecs,,,,32599900.0,ns,81
schedule,planck_ecs,,,,35174800.0,ns,84
schedule,planck_ecs,,,,36583300.0,ns,87
schedule,planck_ecs,,,,36594100.0,ns,90
schedule,planck_ecs,,,,37934900.0,ns,93
schedule,planck_ecs,,,,40695500.0,ns,96
schedule,planck_ecs,,,,38851800.0,ns,99
schedule,planck_ecs,,,,40321400.0,ns,102
schedule,planck_ecs,,,,40535300.0,ns,105
schedule,planck_ecs,,,,41132200.0,ns,108
schedule,planck_ecs,,,,43078700.0,ns,111
schedule,planck_ecs,,,,43181800.0,ns,114
schedule,planck_ecs,,,,45116900.0,ns,117
schedule,planck_ecs,,,,45898900.0,ns,120
schedule,planck_ecs,,,,47803100.0,ns,123
schedule,planck_ecs,,,,48822000.0,ns,126
schedule,planck_ecs,,,,48676900.0,ns,129
schedule,planck_ecs,,,,51117900.0,ns,132
schedule,planck_ecs,,,,51055200.0,ns,135
schedule,planck_ecs,,,,52086300.0,ns,138
schedule,planck_ecs,,,,54760000.0,ns,141
schedule,planck_ecs,,,,54488600.0,ns,144
schedule,planck_ecs,,,,55101000.0,ns,147
schedule,planck_ecs,,,,60573100.0,ns,150
schedule,planck_ecs,,,,63523000.0,ns,153
schedule,planck_ecs,,,,64879100.0,ns,156
schedule,planck_ecs,,,,65352500.0,ns,159
schedule,planck_ecs,,,,66857600.0,ns,162
schedule,planck_ecs,,,,68470700.0,ns,165
schedule,planck_ecs,,,,69683200.0,ns,168
schedule,planck_ecs,,,,70686000.0,ns,171
schedule,planck_ecs,,,,74056400.0,ns,174
schedule,planck_ecs,,,,76557600.0,ns,177
schedule,planck_ecs,,,,76383900.0,ns,180
schedule,planck_ecs,,,,79516800.0,ns,183
schedule,planck_ecs,,,,79795200.0,ns,186
schedule,planck_ecs,,,,82533900.0,ns,189
schedule,planck_ecs,,,,82786100.0,ns,192
schedule,planck_ecs,,,,87415800.0,ns,195
schedule,planck_ecs,,,,100265900.0,ns,198
schedule,planck_ecs,,,,100781300.0,ns,201
schedule,planck_ecs,,,,91638500.0,ns,204
schedule,planck_ecs,,,,121853600.0,ns,207
schedule,planck_ecs,,,,85426300.0,ns,210
schedule,planck_ecs,,,,79991200.0,ns,213
schedule,planck_ecs,,,,88421000.0,ns,216
schedule,planck_ecs,,,,87441800.0,ns,219
schedule,planck_ecs,,,,89476800.0,ns,222
schedule,planck_ecs,,,,89663800.0,ns,225
schedule,planck_ecs,,,,94358600.0,ns,228
schedule,planck_ecs,,,,92650500.0,ns,231
schedule,planck_ecs,,,,93734400.0,ns,234
schedule,planck_ecs,,,,95820600.0,ns,237
schedule,planck_ecs,,,,98789700.0,ns,240
schedule,planck_ecs,,,,97003800.0,ns,243
schedule,planck_ecs,,,,99161200.0,ns,246
schedule,planck_ecs,,,,100656200.0,ns,249
schedule,planck_ecs,,,,100877900.0,ns,252
schedule,planck_ecs,,,,102239900.0,ns,255
schedule,planck_ecs,,,,104425500.0,ns,258
schedule,planck_ecs,,,,104722200.0,ns,261
schedule,planck_ecs,,,,104904500.0,ns,264
schedule,planck_ecs,,,,107733400.0,ns,267
schedule,planck_ecs,,,,108811000.0,ns,270
schedule,planck_ecs,,,,110369800.0,ns,273
schedule,planck_ecs,,,,111246000.0,ns,276
schedule,planck_ecs,,,,112223100.0,ns,279
schedule,planck_ecs,,,,114469800.0,ns,282
schedule,planck_ecs,,,,114620300.0,ns,285
schedule,planck_ecs,,,,116465200.0,ns,288
schedule,planck_ecs,,,,116597800.0,ns,291
schedule,planck_ecs,,,,115587800.0,ns,294
schedule,planck_ecs,,,,112248500.0,ns,297
schedule,planck_ecs,,,,113949700.0,ns,300
