group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedule,shipyard,,,,1027700.0,ns,11
schedule,shipyard,,,,2005200.0,ns,22
schedule,shipyard,,,,3073400.0,ns,33
schedule,shipyard,,,,3978600.0,ns,44
schedule,shipyard,,,,5269000.0,ns,55
schedule,shipyard,,,,6252300.0,ns,66
schedule,shipyard,,,,7196100.0,ns,77
schedule,shipyard,,,,8150200.0,ns,88
schedule,shipyard,,,,9104400.0,ns,99
schedule,shipyard,,,,10650900.0,ns,110
schedule,shipyard,,,,11045700.0,ns,121
schedule,shipyard,,,,11984900.0,ns,132
schedule,shipyard,,,,13615300.0,ns,143
schedule,shipyard,,,,14551100.0,ns,154
schedule,shipyard,,,,15868900.0,ns,165
schedule,shipyard,,,,16472700.0,ns,176
schedule,shipyard,,,,16975200.0,ns,187
schedule,shipyard,,,,18383600.0,ns,198
schedule,shipyard,,,,19073000.0,ns,209
schedule,shipyard,,,,20681700.0,ns,220
schedule,shipyard,,,,21044100.0,ns,231
schedule,shipyard,,,,22353700.0,ns,242
schedule,shipyard,,,,24713000.0,ns,253
schedule,shipyard,,,,23865200.0,ns,264
schedule,shipyard,,,,27096100.0,ns,275
schedule,shipyard,,,,26566800.0,ns,286
schedule,shipyard,,,,27364300.0,ns,297
schedule,shipyard,,,,28460500.0,ns,308
schedule,shipyard,,,,29610700.0,ns,319
schedule,shipyard,,,,30292000.0,ns,330
schedule,shipyard,,,,30934300.0,ns,341
schedule,shipyard,,,,32078600.0,ns,352
schedule,shipyard,,,,32949900.0,ns,363
schedule,shipyard,,,,34812700.0,ns,374
schedule,shipyard,,,,35176300.0,ns,385
schedule,shipyard,,,,36036100.0,ns,396
schedule,shipyard,,,,43340900.0,ns,407
schedule,shipyard,,,,40099400.0,ns,418
schedule,shipyard,,,,44650600.0,ns,429
schedule,shipyard,,,,42419300.0,ns,440
schedule,shipyard,,,,44621300.0,ns,451
schedule,shipyard,,,,49982200.0,ns,462
schedule,shipyard,,,,45192100.0,ns,473
schedule,shipyard,,,,44600400.0,ns,484
schedule,shipyard,,,,45280500.0,ns,495
schedule,shipyard,,,,51833800.0,ns,506
schedule,shipyard,,,,47048400.0,ns,517
schedule,shipyard,,,,48142800.0,ns,528
schedule,shipyard,,,,49267600.0,ns,539
schedule,shipyard,,,,50635800.0,ns,550
schedule,shipyard,,,,52559200.0,ns,561
schedule,shipyard,,,,54401000.0,ns,572
schedule,shipyard,,,,53560000.0,ns,583
schedule,shipyard,,,,54837200.0,ns,594
schedule,shipyard,,,,55460700.0,ns,605
schedule,shipyard,,,,56619200.0,ns,616
schedule,shipyard,,,,57672300.0,ns,627
schedule,shipyard,,,,59783400.0,ns,638
schedule,shipyard,,,,62856200.0,ns,649
schedule,shipyard,,,,90626200.0,ns,660
schedule,shipyard,,,,81884300.0,ns,671
schedule,shipyard,,,,67035700.0,ns,682
schedule,shipyard,,,,65705200.0,ns,693
schedule,shipyard,,,,64768300.0,ns,704
schedule,shipyard,,,,70505900.0,ns,715
schedule,shipyard,,,,70291200.0,ns,726
schedule,shipyard,,,,68060000.0,ns,737
schedule,shipyard,,,,72605400.0,ns,748
schedule,shipyard,,,,72268600.0,ns,759
schedule,shipyard,,,,73562500.0,ns,770
schedule,shipyard,,,,72301800.0,ns,781
schedule,shipyard,,,,74626900.0,ns,792
schedule,shipyard,,,,76105700.0,ns,803
schedule,shipyard,,,,77744800.0,ns,814
schedule,shipyard,,,,76824600.0,ns,825
schedule,shipyard,,,,76762200.0,ns,836
schedule,shipyard,,,,76821800.0,ns,847
schedule,shipyard,,,,80907400.0,ns,858
schedule,shipyard,,,,81452000.0,ns,869
schedule,shipyard,,,,80533700.0,ns,880
schedule,shipyard,,,,83157900.0,ns,891
schedule,shipyard,,,,85623200.0,ns,902
schedule,shipyard,,,,84335200.0,ns,913
schedule,shipyard,,,,84534900.0,ns,924
schedule,shipyard,,,,88773500.0,ns,935
schedule,shipyard,,,,89507600.0,ns,946
schedule,shipyard,,,,92619000.0,ns,957
schedule,shipyard,,,,94059500.0,ns,968
schedule,shipyard,,,,90246800.0,ns,979
schedule,shipyard,,,,89930100.0,ns,990
schedule,shipyard,,,,96125000.0,ns,1001
schedule,shipyard,,,,94328600.0,ns,1012
schedule,shipyard,,,,94584400.0,ns,1023
schedule,shipyard,,,,97898000.0,ns,1034
schedule,shipyard,,,,96867600.0,ns,1045
schedule,shipyard,,,,105236300.0,ns,1056
schedule,shipyard,,,,107818500.0,ns,1067
schedule,shipyard,,,,106163000.0,ns,1078
schedule,shipyard,,,,102040200.0,ns,1089
schedule,shipyard,,,,102288900.0,ns,1100
