group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedule,specs,,,,1268900.0,ns,8
schedule,specs,,,,2606200.0,ns,16
schedule,specs,,,,3593700.0,ns,24
schedule,specs,,,,4396900.0,ns,32
schedule,specs,,,,5319000.0,ns,40
schedule,specs,,,,6601500.0,ns,48
schedule,specs,,,,7642000.0,ns,56
schedule,specs,,,,8769300.0,ns,64
schedule,specs,,,,9812200.0,ns,72
schedule,specs,,,,10541000.0,ns,80
schedule,specs,,,,11290000.0,ns,88
schedule,specs,,,,13682900.0,ns,96
schedule,specs,,,,14121200.0,ns,104
schedule,specs,,,,14648000.0,ns,112
schedule,specs,,,,16740900.0,ns,120
schedule,specs,,,,16778700.0,ns,128
schedule,specs,,,,19489700.0,ns,136
schedule,specs,,,,18849800.0,ns,144
schedule,specs,,,,20097100.0,ns,152
schedule,specs,,,,22752600.0,ns,160
schedule,specs,,,,23599100.0,ns,168
schedule,specs,,,,24592900.0,ns,176
schedule,specs,,,,24333700.0,ns,184
schedule,specs,,,,25756100.0,ns,192
schedule,specs,,,,27401100.0,ns,200
schedule,specs,,,,26962200.0,ns,208
schedule,specs,,,,29894800.0,ns,216
schedule,specs,,,,28740300.0,ns,224
schedule,specs,,,,31606500.0,ns,232
schedule,specs,,,,32410800.0,ns,240
schedule,specs,,,,34276100.0,ns,248
schedule,specs,,,,34820000.0,ns,256
schedule,specs,,,,37377900.0,ns,264
schedule,specs,,,,46382700.0,ns,272
schedule,specs,,,,37083100.0,ns,280
schedule,specs,,,,40226900.0,ns,288
schedule,specs,,,,38143600.0,ns,296
schedule,specs,,,,42602000.0,ns,304
schedule,specs,,,,56798000.0,ns,312
schedule,specs,,,,47059100.0,ns,320
schedule,specs,,,,47910300.0,ns,328
schedule,specs,,,,43636100.0,ns,336
schedule,specs,,,,43928900.0,ns,344
schedule,specs,,,,46084100.0,ns,352
schedule,specs,,,,46116900.0,ns,360
schedule,specs,,,,48102100.0,ns,368
schedule,specs,,,,48850600.0,ns,376
schedule,specs,,,,51945200.0,ns,384
schedule,specs,,,,52020600.0,ns,392
schedule,specs,,,,52545200.0,ns,400
schedule,specs,,,,54370000.0,ns,408
schedule,specs,,,,54281400.0,ns,416
schedule,specs,,,,59012100.0,ns,424
schedule,specs,,,,58920100.0,ns,432
schedule,specs,,,,75461400.0,ns,440
schedule,specs,,,,64539900.0,ns,448
schedule,specs,,,,60411000.0,ns,456
schedule,specs,,,,67789100.0,ns,464
schedule,specs,,,,64056900.0,ns,472
schedule,specs,,,,86743200.0,ns,480
schedule,specs,,,,77329300.0,ns,488
schedule,specs,,,,78481200.0,ns,496
schedule,specs,,,,66704900.0,ns,504
schedule,specs,,,,67076700.0,ns,512
schedule,specs,,,,68887500.0,ns,520
schedule,specs,,,,68573600.0,ns,528
schedule,specs,,,,76704600.0,ns,536
schedule,specs,,,,72785800.0,ns,544
schedule,specs,,,,70779100.0,ns,552
schedule,specs,,,,72787600.0,ns,560
schedule,specs,,,,74837800.0,ns,568
schedule,specs,,,,74940100.0,ns,576
schedule,specs,,,,76920900.0,ns,584
schedule,specs,,,,77695500.0,ns,592
schedule,specs,,,,81696800.0,ns,600
schedule,specs,,,,82767300.0,ns,608
schedule,specs,,,,80230300.0,ns,616
schedule,specs,,,,80531600.0,ns,624
schedule,specs,,,,82054500.0,ns,632
schedule,specs,,,,86073000.0,ns,640
schedule,specs,,,,84526000.0,ns,648
schedule,specs,,,,87963700.0,ns,656
schedule,specs,,,,87911400.0,ns,664
schedule,specs,,,,86944600.0,ns,672
schedule,specs,,,,90294000.0,ns,680
schedule,specs,,,,89226800.0,ns,688
schedule,specs,,,,90446000.0,ns,696
schedule,specs,,,,91555200.0,ns,704
schedule,specs,,,,91989800.0,ns,712
schedule,specs,,,,94119200.0,ns,720
schedule,specs,,,,94873500.0,ns,728
schedule,specs,,,,95442600.0,ns,736
schedule,specs,,,,97670800.0,ns,744
schedule,specs,,,,103041900.0,ns,752
schedule,specs,,,,104174100.0,ns,760
schedule,specs,,,,109123800.0,ns,768
schedule,specs,,,,108107400.0,ns,776
schedule,specs,,,,106656300.0,ns,784
schedule,specs,,,,104592200.0,ns,792
schedule,specs,,,,106468700.0,ns,800
