group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
serialize_binary,hecs,,,,1141700.0,ns,9
serialize_binary,hecs,,,,2275900.0,ns,18
serialize_binary,hecs,,,,3399300.0,ns,27
serialize_binary,hecs,,,,4514100.0,ns,36
serialize_binary,hecs,,,,5648400.0,ns,45
serialize_binary,hecs,,,,6782600.0,ns,54
serialize_binary,hecs,,,,7903300.0,ns,63
serialize_binary,hecs,,,,9054500.0,ns,72
serialize_binary,hecs,,,,10183600.0,ns,81
serialize_binary,hecs,,,,11300800.0,ns,90
serialize_binary,hecs,,,,12447600.0,ns,99
serialize_binary,hecs,,,,13556100.0,ns,108
serialize_binary,hecs,,,,14702100.0,ns,117
serialize_binary,hecs,,,,15720300.0,ns,126
serialize_binary,hecs,,,,16518800.0,ns,135
serialize_binary,hecs,,,,17646700.0,ns,144
serialize_binary,hecs,,,,18730300.0,ns,153
serialize_binary,hecs,,,,19786800.0,ns,162
serialize_binary,hecs,,,,20908400.0,ns,171
serialize_binary,hecs,,,,21993200.0,ns,180
serialize_binary,hecs,,,,23124800.0,ns,189
serialize_binary,hecs,,,,24214100.0,ns,198
serialize_binary,hecs,,,,25321300.0,ns,207
serialize_binary,hecs,,,,26409900.0,ns,216
serialize_binary,hecs,,,,27495800.0,ns,225
serialize_binary,hecs,,,,28621700.0,ns,234
serialize_binary,hecs,,,,29829000.0,ns,243
serialize_binary,hecs,,,,30825000.0,ns,252
serialize_binary,hecs,,,,31943700.0,ns,261
serialize_binary,hecs,,,,33163500.0,ns,270
serialize_binary,hecs,,,,34138500.0,ns,279
serialize_binary,hecs,,,,35239900.0,ns,288
serialize_binary,hecs,,,,36375600.0,ns,297
serialize_binary,hecs,,,,37377400.0,ns,306
serialize_binary,hecs,,,,38474000.0,ns,315
serialize_binary,hecs,,,,39609600.0,ns,324
serialize_binary,hecs,,,,40693400.0,ns,333
serialize_binary,hecs,,,,41769500.0,ns,342
serialize_binary,hecs,,,,42867800.0,ns,351
serialize_binary,hecs,,,,44037000.0,ns,360
serialize_binary,hecs,,,,45082700.0,ns,369
serialize_binary,hecs,,,,46363800.0,ns,378
serialize_binary,hecs,,,,47324700.0,ns,387
serialize_binary,hecs,,,,48399600.0,ns,396
serialize_binary,hecs,,,,49505500.0,ns,405
serialize_binary,hecs,,,,50700600.0,ns,414
serialize_binary,hecs,,,,51718600.0,ns,423
serialize_binary,hecs,,,,52858400.0,ns,432
serialize_binary,hecs,,,,53920000.0,ns,441
serialize_binary,hecs,,,,54935000.0,ns,450
serialize_binary,hecs,,,,56248000.0,ns,459
serialize_binary,hecs,,,,57220200.0,ns,468
serialize_binary,hecs,,,,58266800.0,ns,477
serialize_binary,hecs,,,,59349800.0,ns,486
serialize_binary,hecs,,,,60516400.0,ns,495
serialize_binary,hecs,,,,61616700.0,ns,504
serialize_binary,hecs,,,,62748000.0,ns,513
serialize_binary,hecs,,,,63844300.0,ns,522
serialize_binary,hecs,,,,65631000.0,ns,531
serialize_binary,hecs,,,,66135700.0,ns,540
serialize_binary,hecs,,,,67550200.0,ns,549
serialize_binary,hecs,,,,68371000.0,ns,558
serialize_binary,hecs,,,,69614800.0,ns,567
serialize_binary,hecs,,,,70767600.0,ns,576
serialize_binary,hecs,,,,71870800.0,ns,585
serialize_binary,hecs,,,,72833700.0,ns,594
serialize_binary,hecs,,,,73987400.0,ns,603
serialize_binary,hecs,,,,75084600.0,ns,612
serialize_binary,hecs,,,,76191700.0,ns,621
serialize_binary,hecs,,,,77224300.0,ns,630
serialize_binary,hecs,,,,78380200.0,ns,639
serialize_binary,hecs,,,,79483600.0,ns,648
serialize_binary,hecs,,,,80572200.0,ns,657
serialize_binary,hecs,,,,81689200.0,ns,666
serialize_binary,hecs,,,,82900800.0,ns,675
serialize_binary,hecs,,,,83831000.0,ns,684
serialize_binary,hecs,,,,85181400.0,ns,693
serialize_binary,hecs,,,,86055200.0,ns,702
serialize_binary,hecs,,,,87071000.0,ns,711
serialize_binary,hecs,,,,88400700.0,ns,720
serialize_binary,hecs,,,,89399800.0,ns,729
serialize_binary,hecs,,,,90494500.0,ns,738
serialize_binary,hecs,,,,91581300.0,ns,747
serialize_binary,hecs,,,,92672300.0,ns,756
serialize_binary,hecs,,,,93796600.0,ns,765
serialize_binary,hecs,,,,94879500.0,ns,774
serialize_binary,hecs,,,,96294500.0,ns,783
serialize_binary,hecs,,,,97261400.0,ns,792
serialize_binary,hecs,,,,98273000.0,ns,801
serialize_binary,hecs,,,,99291600.0,ns,810
serialize_binary,hecs,,,,100600200.0,ns,819
serialize_binary,hecs,,,,101518000.0,ns,828
serialize_binary,hecs,,,,102556400.0,ns,837
serialize_binary,hecs,,,,103722300.0,ns,846
serialize_binary,hecs,,,,104896200.0,ns,855
serialize_binary,hecs,,,,106076400.0,ns,864
serialize_binary,hecs,,,,107138600.0,ns,873
serialize_binary,hecs,,,,108092800.0,ns,882
serialize_binary,hecs,,,,109136400.0,ns,891
serialize_binary,hecs,,,,110411400.0,ns,900
