group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
serialize_binary,legion,,,,52862200.0,ns,5
serialize_binary,legion,,,,52616300.0,ns,5
serialize_binary,legion,,,,52745100.0,ns,5
serialize_binary,legion,,,,53744800.0,ns,5
serialize_binary,legion,,,,53015400.0,ns,5
serialize_binary,legion,,,,53508800.0,ns,5
serialize_binary,legion,,,,52777300.0,ns,5
serialize_binary,legion,,,,52436200.0,ns,5
serialize_binary,legion,,,,52523400.0,ns,5
serialize_binary,legion,,,,52775800.0,ns,5
serialize_binary,legion,,,,52691300.0,ns,5
serialize_binary,legion,,,,52318900.0,ns,5
serialize_binary,legion,,,,52418500.0,ns,5
serialize_binary,legion,,,,52598300.0,ns,5
serialize_binary,legion,,,,52742200.0,ns,5
serialize_binary,legion,,,,52438000.0,ns,5
serialize_binary,legion,,,,52225900.0,ns,5
serialize_binary,legion,,,,52824600.0,ns,5
serialize_binary,legion,,,,52650500.0,ns,5
serialize_binary,legion,,,,52177000.0,ns,5
serialize_binary,legion,,,,52743200.0,ns,5
serialize_binary,legion,,,,52404700.0,ns,5
serialize_binary,legion,,,,55779100.0,ns,5
serialize_binary,legion,,,,55855500.0,ns,5
serialize_binary,legion,,,,54337600.0,ns,5
serialize_binary,legion,,,,52791900.0,ns,5
serialize_binary,legion,,,,52422300.0,ns,5
serialize_binary,legion,,,,53031100.0,ns,5
serialize_binary,legion,,,,51926800.0,ns,5
serialize_binary,legion,,,,51767100.0,ns,5
serialize_binary,legion,,,,51626800.0,ns,5
serialize_binary,legion,,,,51511600.0,ns,5
serialize_binary,legion,,,,51734300.0,ns,5
serialize_binary,legion,,,,52059600.0,ns,5
serialize_binary,legion,,,,52380400.0,ns,5
serialize_binary,legion,,,,51747800.0,ns,5
serialize_binary,legion,,,,51694100.0,ns,5
serialize_binary,legion,,,,51820600.0,ns,5
serialize_binary,legion,,,,51125100.0,ns,5
serialize_binary,legion,,,,52181100.0,ns,5
serialize_binary,legion,,,,52510400.0,ns,5
serialize_binary,legion,,,,51851700.0,ns,5
serialize_binary,legion,,,,51954000.0,ns,5
serialize_binary,legion,,,,53183500.0,ns,5
serialize_binary,legion,,,,53241600.0,ns,5
serialize_binary,legion,,,,51967000.0,ns,5
serialize_binary,legion,,,,51809500.0,ns,5
serialize_binary,legion,,,,52043200.0,ns,5
serialize_binary,legion,,,,51534600.0,ns,5
serialize_binary,legion,,,,51999800.0,ns,5
serialize_binary,legion,,,,51870300.0,ns,5
serialize_binary,legion,,,,51514200.0,ns,5
serialize_binary,legion,,,,51184400.0,ns,5
serialize_binary,legion,,,,51763200.0,ns,5
serialize_binary,legion,,,,52331900.0,ns,5
serialize_binary,legion,,,,51784400.0,ns,5
serialize_binary,legion,,,,51818800.0,ns,5
serialize_binary,legion,,,,51397600.0,ns,5
serialize_binary,legion,,,,52166900.0,ns,5
serialize_binary,legion,,,,51790300.0,ns,5
serialize_binary,legion,,,,51744500.0,ns,5
serialize_binary,legion,,,,52109000.0,ns,5
serialize_binary,legion,,,,51601600.0,ns,5
serialize_binary,legion,,,,53063000.0,ns,5
serialize_binary,legion,,,,54127100.0,ns,5
serialize_binary,legion,,,,51814300.0,ns,5
serialize_binary,legion,,,,52415100.0,ns,5
serialize_binary,legion,,,,51667600.0,ns,5
serialize_binary,legion,,,,52257800.0,ns,5
serialize_binary,legion,,,,52085500.0,ns,5
serialize_binary,legion,,,,51841300.0,ns,5
serialize_binary,legion,,,,51466700.0,ns,5
serialize_binary,legion,,,,51573100.0,ns,5
serialize_binary,legion,,,,51535500.0,ns,5
serialize_binary,legion,,,,52915500.0,ns,5
serialize_binary,legion,,,,51763200.0,ns,5
serialize_binary,legion,,,,51352100.0,ns,5
serialize_binary,legion,,,,51649900.0,ns,5
serialize_binary,legion,,,,52045800.0,ns,5
serialize_binary,legion,,,,51616900.0,ns,5
serialize_binary,legion,,,,52368800.0,ns,5
serialize_binary,legion,,,,51341600.0,ns,5
serialize_binary,legion,,,,52380900.0,ns,5
serialize_binary,legion,,,,51955000.0,ns,5
serialize_binary,legion,,,,54296600.0,ns,5
serialize_binary,legion,,,,51798400.0,ns,5
serialize_binary,legion,,,,51797200.0,ns,5
serialize_binary,legion,,,,51779900.0,ns,5
serialize_binary,legion,,,,51849400.0,ns,5
serialize_binary,legion,,,,52153600.0,ns,5
serialize_binary,legion,,,,53352100.0,ns,5
serialize_binary,legion,,,,51650900.0,ns,5
serialize_binary,legion,,,,51617400.0,ns,5
serialize_binary,legion,,,,51621200.0,ns,5
serialize_binary,legion,,,,52432300.0,ns,5
serialize_binary,legion,,,,51487300.0,ns,5
serialize_binary,legion,,,,51628300.0,ns,5
serialize_binary,legion,,,,52242200.0,ns,5
serialize_binary,legion,,,,53235900.0,ns,5
serialize_binary,legion,,,,52925400.0,ns,5
