group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
serialize_binary,legion,,,,2166100.0,ns,1
serialize_binary,legion,,,,4227300.0,ns,2
serialize_binary,legion,,,,5977000.0,ns,3
serialize_binary,legion,,,,7950400.0,ns,4
serialize_binary,legion,,,,10161300.0,ns,5
serialize_binary,legion,,,,12370400.0,ns,6
serialize_binary,legion,,,,13753300.0,ns,7
serialize_binary,legion,,,,15702400.0,ns,8
serialize_binary,legion,,,,17795300.0,ns,9
serialize_binary,legion,,,,20737400.0,ns,10
serialize_binary,legion,,,,21290400.0,ns,11
serialize_binary,legion,,,,23757300.0,ns,12
serialize_binary,legion,,,,25200500.0,ns,13
serialize_binary,legion,,,,27587100.0,ns,14
serialize_binary,legion,,,,29485600.0,ns,15
serialize_binary,legion,,,,30990400.0,ns,16
serialize_binary,legion,,,,33321500.0,ns,17
serialize_binary,legion,,,,35353000.0,ns,18
serialize_binary,legion,,,,36699100.0,ns,19
serialize_binary,legion,,,,39243100.0,ns,20
serialize_binary,legion,,,,41457700.0,ns,21
serialize_binary,legion,,,,42385500.0,ns,22
serialize_binary,legion,,,,44908200.0,ns,23
serialize_binary,legion,,,,46876300.0,ns,24
serialize_binary,legion,,,,49407800.0,ns,25
serialize_binary,legion,,,,52047400.0,ns,26
serialize_binary,legion,,,,54369600.0,ns,27
serialize_binary,legion,,,,56379500.0,ns,28
serialize_binary,legion,,,,57625800.0,ns,29
serialize_binary,legion,,,,59540500.0,ns,30
serialize_binary,legion,,,,61149400.0,ns,31
serialize_binary,legion,,,,62110100.0,ns,32
serialize_binary,legion,,,,67256900.0,ns,33
serialize_binary,legion,,,,67555300.0,ns,34
serialize_binary,legion,,,,68049900.0,ns,35
serialize_binary,legion,,,,70128200.0,ns,36
serialize_binary,legion,,,,71869700.0,ns,37
serialize_binary,legion,,,,74874400.0,ns,38
serialize_binary,legion,,,,76771300.0,ns,39
serialize_binary,legion,,,,79130800.0,ns,40
serialize_binary,legion,,,,84026000.0,ns,41
serialize_binary,legion,,,,84403100.0,ns,42
serialize_binary,legion,,,,85803800.0,ns,43
serialize_binary,legion,,,,86181600.0,ns,44
serialize_binary,legion,,,,90715900.0,ns,45
serialize_binary,legion,,,,90221700.0,ns,46
serialize_binary,legion,,,,92974300.0,ns,47
serialize_binary,legion,,,,97984100.0,ns,48
serialize_binary,legion,,,,99589600.0,ns,49
serialize_binary,legion,,,,97417800.0,ns,50
serialize_binary,legion,,,,99948000.0,ns,51
serialize_binary,legion,,,,102567300.0,ns,52
serialize_binary,legion,,,,106908400.0,ns,53
serialize_binary,legion,,,,105042500.0,ns,54
serialize_binary,legion,,,,106710400.0,ns,55
serialize_binary,legion,,,,108483800.0,ns,56
serialize_binary,legion,,,,111218000.0,ns,57
serialize_binary,legion,,,,114398600.0,ns,58
serialize_binary,legion,,,,115324800.0,ns,59
serialize_binary,legion,,,,117919900.0,ns,60
serialize_binary,legion,,,,119404900.0,ns,61
serialize_binary,legion,,,,125150300.0,ns,62
serialize_binary,legion,,,,127065900.0,ns,63
serialize_binary,legion,,,,125269800.0,ns,64
serialize_binary,legion,,,,127890000.0,ns,65
serialize_binary,legion,,,,128460700.0,ns,66
serialize_binary,legion,,,,131525100.0,ns,67
serialize_binary,legion,,,,132308700.0,ns,68
serialize_binary,legion,,,,134033400.0,ns,69
serialize_binary,legion,,,,138137400.0,ns,70
serialize_binary,legion,,,,139521800.0,ns,71
serialize_binary,legion,,,,141102300.0,ns,72
serialize_binary,legion,,,,142784000.0,ns,73
serialize_binary,legion,,,,145444700.0,ns,74
serialize_binary,legion,,,,147863200.0,ns,75
serialize_binary,legion,,,,150297500.0,ns,76
serialize_binary,legion,,,,153955000.0,ns,77
serialize_binary,legion,,,,165326300.0,ns,78
serialize_binary,legion,,,,172607100.0,ns,79
serialize_binary,legion,,,,158732600.0,ns,80
serialize_binary,legion,,,,167567400.0,ns,81
serialize_binary,legion,,,,162409600.0,ns,82
serialize_binary,legion,,,,165584000.0,ns,83
serialize_binary,legion,,,,165826400.0,ns,84
serialize_binary,legion,,,,166381800.0,ns,85
serialize_binary,legion,,,,168208900.0,ns,86
serialize_binary,legion,,,,177576600.0,ns,87
serialize_binary,legion,,,,170779300.0,ns,88
serialize_binary,legion,,,,173283400.0,ns,89
serialize_binary,legion,,,,177023100.0,ns,90
serialize_binary,legion,,,,180498300.0,ns,91
serialize_binary,legion,,,,184419800.0,ns,92
serialize_binary,legion,,,,190595200.0,ns,93
serialize_binary,legion,,,,184940100.0,ns,94
serialize_binary,legion,,,,185933000.0,ns,95
serialize_binary,legion,,,,191961400.0,ns,96
serialize_binary,legion,,,,191087700.0,ns,97
serialize_binary,legion,,,,191653000.0,ns,98
serialize_binary,legion,,,,194799000.0,ns,99
serialize_binary,legion,,,,201401100.0,ns,100
