group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
serialize_text,hecs,,,,52325000.0,ns,18
serialize_text,hecs,,,,51646600.0,ns,18
serialize_text,hecs,,,,51611500.0,ns,18
serialize_text,hecs,,,,51716100.0,ns,18
serialize_text,hecs,,,,53725300.0,ns,18
serialize_text,hecs,,,,51831400.0,ns,18
serialize_text,hecs,,,,52104100.0,ns,18
serialize_text,hecs,,,,51643400.0,ns,18
serialize_text,hecs,,,,51943200.0,ns,18
serialize_text,hecs,,,,52007800.0,ns,18
serialize_text,hecs,,,,51969400.0,ns,18
serialize_text,hecs,,,,51821700.0,ns,18
serialize_text,hecs,,,,51687600.0,ns,18
serialize_text,hecs,,,,51617900.0,ns,18
serialize_text,hecs,,,,51685400.0,ns,18
serialize_text,hecs,,,,51850600.0,ns,18
serialize_text,hecs,,,,52079000.0,ns,18
serialize_text,hecs,,,,51621500.0,ns,18
serialize_text,hecs,,,,51621800.0,ns,18
serialize_text,hecs,,,,51945200.0,ns,18
serialize_text,hecs,,,,52046500.0,ns,18
serialize_text,hecs,,,,51653100.0,ns,18
serialize_text,hecs,,,,51718000.0,ns,18
serialize_text,hecs,,,,51651700.0,ns,18
serialize_text,hecs,,,,53151100.0,ns,18
serialize_text,hecs,,,,51898000.0,ns,18
serialize_text,hecs,,,,52145900.0,ns,18
serialize_text,hecs,,,,51701900.0,ns,18
serialize_text,hecs,,,,51624200.0,ns,18
serialize_text,hecs,,,,51631500.0,ns,18
serialize_text,hecs,,,,51895600.0,ns,18
serialize_text,hecs,,,,51626800.0,ns,18
serialize_text,hecs,,,,51630100.0,ns,18
serialize_text,hecs,,,,51614400.0,ns,18
serialize_text,hecs,,,,51659600.0,ns,18
serialize_text,hecs,,,,51744900.0,ns,18
serialize_text,hecs,,,,52077900.0,ns,18
serialize_text,hecs,,,,51626200.0,ns,18
serialize_text,hecs,,,,51868200.0,ns,18
serialize_text,hecs,,,,81171600.0,ns,18
serialize_text,hecs,,,,56143500.0,ns,18
serialize_text,hecs,,,,52189700.0,ns,18
serialize_text,hecs,,,,51896900.0,ns,18
serialize_text,hecs,,,,52481300.0,ns,18
serialize_text,hecs,,,,52523000.0,ns,18
serialize_text,hecs,,,,51897300.0,ns,18
serialize_text,hecs,,,,51672600.0,ns,18
serialize_text,hecs,,,,51643700.0,ns,18
serialize_text,hecs,,,,51641400.0,ns,18
serialize_text,hecs,,,,52214900.0,ns,18
serialize_text,hecs,,,,51626500.0,ns,18
serialize_text,hecs,,,,51642800.0,ns,18
serialize_text,hecs,,,,51699000.0,ns,18
serialize_text,hecs,,,,51640700.0,ns,18
serialize_text,hecs,,,,51689600.0,ns,18
serialize_text,hecs,,,,51921000.0,ns,18
serialize_text,hecs,,,,51782500.0,ns,18
serialize_text,hecs,,,,51642700.0,ns,18
serialize_text,hecs,,,,52009500.0,ns,18
serialize_text,hecs,,,,51850000.0,ns,18
serialize_text,hecs,,,,51793500.0,ns,18
serialize_text,hecs,,,,51668400.0,ns,18
serialize_text,hecs,,,,51702400.0,ns,18
serialize_text,hecs,,,,51702800.0,ns,18
serialize_text,hecs,,,,52897400.0,ns,18
serialize_text,hecs,,,,51835900.0,ns,18
serialize_text,hecs,,,,52033700.0,ns,18
serialize_text,hecs,,,,51902700.0,ns,18
serialize_text,hecs,,,,51991500.0,ns,18
serialize_text,hecs,,,,51832300.0,ns,18
serialize_text,hecs,,,,51869200.0,ns,18
serialize_text,hecs,,,,51621900.0,ns,18
serialize_text,hecs,,,,51635800.0,ns,18
serialize_text,hecs,,,,51647100.0,ns,18
serialize_text,hecs,,,,51674900.0,ns,18
serialize_text,hecs,,,,51930800.0,ns,18
serialize_text,hecs,,,,52221900.0,ns,18
serialize_text,hecs,,,,51645600.0,ns,18
serialize_text,hecs,,,,52530100.0,ns,18
serialize_text,hecs,,,,51685700.0,ns,18
serialize_text,hecs,,,,51637000.0,ns,18
serialize_text,hecs,,,,51639100.0,ns,18
serialize_text,hecs,,,,51826100.0,ns,18
serialize_text,hecs,,,,51655400.0,ns,18
serialize_text,hecs,,,,53224800.0,ns,18
serialize_text,hecs,,,,51658900.0,ns,18
serialize_text,hecs,,,,52014800.0,ns,18
serialize_text,hecs,,,,51806500.0,ns,18
serialize_text,hecs,,,,51648400.0,ns,18
serialize_text,hecs,,,,51703700.0,ns,18
serialize_text,hecs,,,,51689900.0,ns,18
serialize_text,hecs,,,,51871100.0,ns,18
serialize_text,hecs,,,,51948200.0,ns,18
serialize_text,hecs,,,,51864600.0,ns,18
serialize_text,hecs,,,,51648800.0,ns,18
serialize_text,hecs,,,,51972700.0,ns,18
serialize_text,hecs,,,,54462700.0,ns,18
serialize_text,hecs,,,,52200800.0,ns,18
serialize_text,hecs,,,,51872500.0,ns,18
serialize_text,hecs,,,,51662800.0,ns,18
