group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
serialize_text,legion,,,,54903300.0,ns,7
serialize_text,legion,,,,57948700.0,ns,7
serialize_text,legion,,,,55658900.0,ns,7
serialize_text,legion,,,,55415200.0,ns,7
serialize_text,legion,,,,55438500.0,ns,7
serialize_text,legion,,,,56524400.0,ns,7
serialize_text,legion,,,,56513400.0,ns,7
serialize_text,legion,,,,55405000.0,ns,7
serialize_text,legion,,,,59733500.0,ns,7
serialize_text,legion,,,,61179700.0,ns,7
serialize_text,legion,,,,55740600.0,ns,7
serialize_text,legion,,,,55576400.0,ns,7
serialize_text,legion,,,,54795200.0,ns,7
serialize_text,legion,,,,55893000.0,ns,7
serialize_text,legion,,,,55345100.0,ns,7
serialize_text,legion,,,,57963100.0,ns,7
serialize_text,legion,,,,56456900.0,ns,7
serialize_text,legion,,,,63289900.0,ns,7
serialize_text,legion,,,,55038200.0,ns,7
serialize_text,legion,,,,54495100.0,ns,7
serialize_text,legion,,,,54618100.0,ns,7
serialize_text,legion,,,,54809800.0,ns,7
serialize_text,legion,,,,54439200.0,ns,7
serialize_text,legion,,,,54232400.0,ns,7
serialize_text,legion,,,,54610300.0,ns,7
serialize_text,legion,,,,54303000.0,ns,7
serialize_text,legion,,,,54662800.0,ns,7
serialize_text,legion,,,,55395400.0,ns,7
serialize_text,legion,,,,54996000.0,ns,7
serialize_text,legion,,,,55351800.0,ns,7
serialize_text,legion,,,,55504500.0,ns,7
serialize_text,legion,,,,54045400.0,ns,7
serialize_text,legion,,,,53890100.0,ns,7
serialize_text,legion,,,,54362800.0,ns,7
serialize_text,legion,,,,58700900.0,ns,7
serialize_text,legion,,,,61287800.0,ns,7
serialize_text,legion,,,,55633000.0,ns,7
serialize_text,legion,,,,55070400.0,ns,7
serialize_text,legion,,,,56119700.0,ns,7
serialize_text,legion,,,,53553600.0,ns,7
serialize_text,legion,,,,54693200.0,ns,7
serialize_text,legion,,,,54467700.0,ns,7
serialize_text,legion,,,,54982600.0,ns,7
serialize_text,legion,,,,54405300.0,ns,7
serialize_text,legion,,,,54137500.0,ns,7
serialize_text,legion,,,,55068800.0,ns,7
serialize_text,legion,,,,54350900.0,ns,7
serialize_text,legion,,,,54952200.0,ns,7
serialize_text,legion,,,,54664200.0,ns,7
serialize_text,legion,,,,54294100.0,ns,7
serialize_text,legion,,,,55664800.0,ns,7
serialize_text,legion,,,,55183500.0,ns,7
serialize_text,legion,,,,55466300.0,ns,7
serialize_text,legion,,,,56009400.0,ns,7
serialize_text,legion,,,,56599700.0,ns,7
serialize_text,legion,,,,55088000.0,ns,7
serialize_text,legion,,,,54746400.0,ns,7
serialize_text,legion,,,,55230500.0,ns,7
serialize_text,legion,,,,56142200.0,ns,7
serialize_text,legion,,,,55648600.0,ns,7
serialize_text,legion,,,,54366000.0,ns,7
serialize_text,legion,,,,54546300.0,ns,7
serialize_text,legion,,,,54224700.0,ns,7
serialize_text,legion,,,,54564600.0,ns,7
serialize_text,legion,,,,56086500.0,ns,7
serialize_text,legion,,,,55358400.0,ns,7
serialize_text,legion,,,,54940200.0,ns,7
serialize_text,legion,,,,53727500.0,ns,7
serialize_text,legion,,,,54745900.0,ns,7
serialize_text,legion,,,,54134100.0,ns,7
serialize_text,legion,,,,54415600.0,ns,7
serialize_text,legion,,,,55250700.0,ns,7
serialize_text,legion,,,,58449100.0,ns,7
serialize_text,legion,,,,57803100.0,ns,7
serialize_text,legion,,,,53738400.0,ns,7
serialize_text,legion,,,,55120400.0,ns,7
serialize_text,legion,,,,54380700.0,ns,7
serialize_text,legion,,,,54415500.0,ns,7
serialize_text,legion,,,,54828300.0,ns,7
serialize_text,legion,,,,54284200.0,ns,7
serialize_text,legion,,,,55244500.0,ns,7
serialize_text,legion,,,,54608900.0,ns,7
serialize_text,legion,,,,54903500.0,ns,7
serialize_text,legion,,,,53911100.0,ns,7
serialize_text,legion,,,,53320900.0,ns,7
serialize_text,legion,,,,55322100.0,ns,7
serialize_text,legion,,,,55392700.0,ns,7
serialize_text,legion,,,,54650200.0,ns,7
serialize_text,legion,,,,55534500.0,ns,7
serialize_text,legion,,,,54620900.0,ns,7
serialize_text,legion,,,,54652000.0,ns,7
serialize_text,legion,,,,63699000.0,ns,7
serialize_text,legion,,,,55166600.0,ns,7
serialize_text,legion,,,,54663400.0,ns,7
serialize_text,legion,,,,55963200.0,ns,7
serialize_text,legion,,,,55231900.0,ns,7
serialize_text,legion,,,,55848500.0,ns,7
serialize_text,legion,,,,55972400.0,ns,7
serialize_text,legion,,,,54370500.0,ns,7
serialize_text,legion,,,,56348700.0,ns,7
