group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
serialize_text,legion,,,,52418000.0,ns,7
serialize_text,legion,,,,52256700.0,ns,7
serialize_text,legion,,,,52156800.0,ns,7
serialize_text,legion,,,,52173700.0,ns,7
serialize_text,legion,,,,53203200.0,ns,7
serialize_text,legion,,,,52036300.0,ns,7
serialize_text,legion,,,,52262700.0,ns,7
serialize_text,legion,,,,52466400.0,ns,7
serialize_text,legion,,,,51948000.0,ns,7
serialize_text,legion,,,,51785700.0,ns,7
serialize_text,legion,,,,51955900.0,ns,7
serialize_text,legion,,,,51765200.0,ns,7
serialize_text,legion,,,,52872400.0,ns,7
serialize_text,legion,,,,51933000.0,ns,7
serialize_text,legion,,,,52379500.0,ns,7
serialize_text,legion,,,,52084300.0,ns,7
serialize_text,legion,,,,52548400.0,ns,7
serialize_text,legion,,,,52479700.0,ns,7
serialize_text,legion,,,,53402700.0,ns,7
serialize_text,legion,,,,51866600.0,ns,7
serialize_text,legion,,,,52366400.0,ns,7
serialize_text,legion,,,,52631500.0,ns,7
serialize_text,legion,,,,52191200.0,ns,7
serialize_text,legion,,,,52315800.0,ns,7
serialize_text,legion,,,,51932100.0,ns,7
serialize_text,legion,,,,52189100.0,ns,7
serialize_text,legion,,,,52663800.0,ns,7
serialize_text,legion,,,,51912200.0,ns,7
serialize_text,legion,,,,52371200.0,ns,7
serialize_text,legion,,,,51975000.0,ns,7
serialize_text,legion,,,,52856100.0,ns,7
serialize_text,legion,,,,52117400.0,ns,7
serialize_text,legion,,,,52064900.0,ns,7
serialize_text,legion,,,,51860500.0,ns,7
serialize_text,legion,,,,52020400.0,ns,7
serialize_text,legion,,,,52085600.0,ns,7
serialize_text,legion,,,,52804900.0,ns,7
serialize_text,legion,,,,53464300.0,ns,7
serialize_text,legion,,,,53804500.0,ns,7
serialize_text,legion,,,,51929400.0,ns,7
serialize_text,legion,,,,52056800.0,ns,7
serialize_text,legion,,,,51991400.0,ns,7
serialize_text,legion,,,,53112900.0,ns,7
serialize_text,legion,,,,52052400.0,ns,7
serialize_text,legion,,,,51712200.0,ns,7
serialize_text,legion,,,,52119400.0,ns,7
serialize_text,legion,,,,52439400.0,ns,7
serialize_text,legion,,,,51969800.0,ns,7
serialize_text,legion,,,,52515900.0,ns,7
serialize_text,legion,,,,51805000.0,ns,7
serialize_text,legion,,,,51882100.0,ns,7
serialize_text,legion,,,,52662000.0,ns,7
serialize_text,legion,,,,52446000.0,ns,7
serialize_text,legion,,,,51823600.0,ns,7
serialize_text,legion,,,,52084900.0,ns,7
serialize_text,legion,,,,51931800.0,ns,7
serialize_text,legion,,,,52294400.0,ns,7
serialize_text,legion,,,,53452800.0,ns,7
serialize_text,legion,,,,53155500.0,ns,7
serialize_text,legion,,,,52032400.0,ns,7
serialize_text,legion,,,,53053000.0,ns,7
serialize_text,legion,,,,52735400.0,ns,7
serialize_text,legion,,,,52005600.0,ns,7
serialize_text,legion,,,,51945600.0,ns,7
serialize_text,legion,,,,52563700.0,ns,7
serialize_text,legion,,,,52051000.0,ns,7
serialize_text,legion,,,,52514400.0,ns,7
serialize_text,legion,,,,51829200.0,ns,7
serialize_text,legion,,,,51714400.0,ns,7
serialize_text,legion,,,,52583800.0,ns,7
serialize_text,legion,,,,52280500.0,ns,7
serialize_text,legion,,,,51868300.0,ns,7
serialize_text,legion,,,,51946800.0,ns,7
serialize_text,legion,,,,52179200.0,ns,7
serialize_text,legion,,,,52684700.0,ns,7
serialize_text,legion,,,,51831100.0,ns,7
serialize_text,legion,,,,52548300.0,ns,7
serialize_text,legion,,,,53162800.0,ns,7
serialize_text,legion,,,,52874900.0,ns,7
serialize_text,legion,,,,52099200.0,ns,7
serialize_text,legion,,,,52123300.0,ns,7
serialize_text,legion,,,,52122700.0,ns,7
serialize_text,legion,,,,52840400.0,ns,7
serialize_text,legion,,,,51961200.0,ns,7
serialize_text,legion,,,,52007200.0,ns,7
serialize_text,legion,,,,51859400.0,ns,7
serialize_text,legion,,,,52441400.0,ns,7
serialize_text,legion,,,,52707400.0,ns,7
serialize_text,legion,,,,51798600.0,ns,7
serialize_text,legion,,,,52356100.0,ns,7
serialize_text,legion,,,,51753300.0,ns,7
serialize_text,legion,,,,52466600.0,ns,7
serialize_text,legion,,,,51894900.0,ns,7
serialize_text,legion,,,,51990700.0,ns,7
serialize_text,legion,,,,52402600.0,ns,7
serialize_text,legion,,,,51769500.0,ns,7
serialize_text,legion,,,,53508000.0,ns,7
serialize_text,legion,,,,54340100.0,ns,7
serialize_text,legion,,,,52187800.0,ns,7
serialize_text,legion,,,,52733000.0,ns,7
