group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,bevy,,,,1221400.0,ns,2
simple_insert,bevy,,,,2636900.0,ns,4
simple_insert,bevy,,,,4115500.0,ns,6
simple_insert,bevy,,,,4765200.0,ns,8
simple_insert,bevy,,,,5881000.0,ns,10
simple_insert,bevy,,,,7027500.0,ns,12
simple_insert,bevy,,,,8337500.0,ns,14
simple_insert,bevy,,,,9392100.0,ns,16
simple_insert,bevy,,,,10549700.0,ns,18
simple_insert,bevy,,,,12452700.0,ns,20
simple_insert,bevy,,,,12946200.0,ns,22
simple_insert,bevy,,,,14483900.0,ns,24
simple_insert,bevy,,,,15157400.0,ns,26
simple_insert,bevy,,,,16543400.0,ns,28
simple_insert,bevy,,,,17756200.0,ns,30
simple_insert,bevy,,,,20240900.0,ns,32
simple_insert,bevy,,,,20511900.0,ns,34
simple_insert,bevy,,,,21765800.0,ns,36
simple_insert,bevy,,,,22893800.0,ns,38
simple_insert,bevy,,,,24361300.0,ns,40
simple_insert,bevy,,,,25639200.0,ns,42
simple_insert,bevy,,,,26042500.0,ns,44
simple_insert,bevy,,,,28108400.0,ns,46
simple_insert,bevy,,,,28190500.0,ns,48
simple_insert,bevy,,,,29633800.0,ns,50
simple_insert,bevy,,,,31172500.0,ns,52
simple_insert,bevy,,,,31612700.0,ns,54
simple_insert,bevy,,,,34125200.0,ns,56
simple_insert,bevy,,,,35029200.0,ns,58
simple_insert,bevy,,,,35257300.0,ns,60
simple_insert,bevy,,,,37034300.0,ns,62
simple_insert,bevy,,,,38356900.0,ns,64
simple_insert,bevy,,,,39802100.0,ns,66
simple_insert,bevy,,,,39694400.0,ns,68
simple_insert,bevy,,,,42300500.0,ns,70
simple_insert,bevy,,,,42630600.0,ns,72
simple_insert,bevy,,,,44579500.0,ns,74
simple_insert,bevy,,,,48019500.0,ns,76
simple_insert,bevy,,,,46659600.0,ns,78
simple_insert,bevy,,,,48064700.0,ns,80
simple_insert,bevy,,,,49975200.0,ns,82
simple_insert,bevy,,,,50674800.0,ns,84
simple_insert,bevy,,,,52294300.0,ns,86
simple_insert,bevy,,,,52206500.0,ns,88
simple_insert,bevy,,,,53362400.0,ns,90
simple_insert,bevy,,,,55474700.0,ns,92
simple_insert,bevy,,,,55391000.0,ns,94
simple_insert,bevy,,,,58082100.0,ns,96
simple_insert,bevy,,,,58338600.0,ns,98
simple_insert,bevy,,,,60042800.0,ns,100
simple_insert,bevy,,,,61155400.0,ns,102
simple_insert,bevy,,,,61797700.0,ns,104
simple_insert,bevy,,,,63164700.0,ns,106
simple_insert,bevy,,,,63816100.0,ns,108
simple_insert,bevy,,,,66845700.0,ns,110
simple_insert,bevy,,,,67756200.0,ns,112
simple_insert,bevy,,,,69117600.0,ns,114
simple_insert,bevy,,,,68875700.0,ns,116
simple_insert,bevy,,,,69940200.0,ns,118
simple_insert,bevy,,,,72991500.0,ns,120
simple_insert,bevy,,,,72821400.0,ns,122
simple_insert,bevy,,,,73916800.0,ns,124
simple_insert,bevy,,,,74820500.0,ns,126
simple_insert,bevy,,,,75559300.0,ns,128
simple_insert,bevy,,,,77638400.0,ns,130
simple_insert,bevy,,,,78392700.0,ns,132
simple_insert,bevy,,,,80362200.0,ns,134
simple_insert,bevy,,,,80864700.0,ns,136
simple_insert,bevy,,,,82245400.0,ns,138
simple_insert,bevy,,,,84662300.0,ns,140
simple_insert,bevy,,,,84600700.0,ns,142
simple_insert,bevy,,,,86263600.0,ns,144
simple_insert,bevy,,,,87269300.0,ns,146
simple_insert,bevy,,,,88714200.0,ns,148
simple_insert,bevy,,,,90623500.0,ns,150
simple_insert,bevy,,,,91229100.0,ns,152
simple_insert,bevy,,,,92840600.0,ns,154
simple_insert,bevy,,,,93477200.0,ns,156
simple_insert,bevy,,,,94746600.0,ns,158
simple_insert,bevy,,,,94831700.0,ns,160
simple_insert,bevy,,,,97783500.0,ns,162
simple_insert,bevy,,,,99103900.0,ns,164
simple_insert,bevy,,,,99663600.0,ns,166
simple_insert,bevy,,,,99831500.0,ns,168
simple_insert,bevy,,,,100628400.0,ns,170
simple_insert,bevy,,,,101388800.0,ns,172
simple_insert,bevy,,,,103597500.0,ns,174
simple_insert,bevy,,,,103992300.0,ns,176
simple_insert,bevy,,,,105678800.0,ns,178
simple_insert,bevy,,,,106686800.0,ns,180
simple_insert,bevy,,,,109718800.0,ns,182
simple_insert,bevy,,,,113699400.0,ns,184
simple_insert,bevy,,,,115521800.0,ns,186
simple_insert,bevy,,,,112012600.0,ns,188
simple_insert,bevy,,,,114498500.0,ns,190
simple_insert,bevy,,,,114408000.0,ns,192
simple_insert,bevy,,,,122210400.0,ns,194
simple_insert,bevy,,,,117551400.0,ns,196
simple_insert,bevy,,,,118217900.0,ns,198
simple_insert,bevy,,,,120034500.0,ns,200
