group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,hecs,,,,1418200.0,ns,2
simple_insert,hecs,,,,2885700.0,ns,4
simple_insert,hecs,,,,3847500.0,ns,6
simple_insert,hecs,,,,5777800.0,ns,8
simple_insert,hecs,,,,6869100.0,ns,10
simple_insert,hecs,,,,8475300.0,ns,12
simple_insert,hecs,,,,8818800.0,ns,14
simple_insert,hecs,,,,11505200.0,ns,16
simple_insert,hecs,,,,12806000.0,ns,18
simple_insert,hecs,,,,13676200.0,ns,20
simple_insert,hecs,,,,15337700.0,ns,22
simple_insert,hecs,,,,16776300.0,ns,24
simple_insert,hecs,,,,18426600.0,ns,26
simple_insert,hecs,,,,20060600.0,ns,28
simple_insert,hecs,,,,21075700.0,ns,30
simple_insert,hecs,,,,22400700.0,ns,32
simple_insert,hecs,,,,24521900.0,ns,34
simple_insert,hecs,,,,24888000.0,ns,36
simple_insert,hecs,,,,26380100.0,ns,38
simple_insert,hecs,,,,27993600.0,ns,40
simple_insert,hecs,,,,29252700.0,ns,42
simple_insert,hecs,,,,31344600.0,ns,44
simple_insert,hecs,,,,32724300.0,ns,46
simple_insert,hecs,,,,33902400.0,ns,48
simple_insert,hecs,,,,31981400.0,ns,50
simple_insert,hecs,,,,26061100.0,ns,52
simple_insert,hecs,,,,26207600.0,ns,54
simple_insert,hecs,,,,26950800.0,ns,56
simple_insert,hecs,,,,27400200.0,ns,58
simple_insert,hecs,,,,28362300.0,ns,60
simple_insert,hecs,,,,31029600.0,ns,62
simple_insert,hecs,,,,31135400.0,ns,64
simple_insert,hecs,,,,32318800.0,ns,66
simple_insert,hecs,,,,32973000.0,ns,68
simple_insert,hecs,,,,34278800.0,ns,70
simple_insert,hecs,,,,37220400.0,ns,72
simple_insert,hecs,,,,36164700.0,ns,74
simple_insert,hecs,,,,37585400.0,ns,76
simple_insert,hecs,,,,38117100.0,ns,78
simple_insert,hecs,,,,38561600.0,ns,80
simple_insert,hecs,,,,40913200.0,ns,82
simple_insert,hecs,,,,42173200.0,ns,84
simple_insert,hecs,,,,41736800.0,ns,86
simple_insert,hecs,,,,44409300.0,ns,88
simple_insert,hecs,,,,54023800.0,ns,90
simple_insert,hecs,,,,51220800.0,ns,92
simple_insert,hecs,,,,45011600.0,ns,94
simple_insert,hecs,,,,52176300.0,ns,96
simple_insert,hecs,,,,49401500.0,ns,98
simple_insert,hecs,,,,47804600.0,ns,100
simple_insert,hecs,,,,49887300.0,ns,102
simple_insert,hecs,,,,50118100.0,ns,104
simple_insert,hecs,,,,50833000.0,ns,106
simple_insert,hecs,,,,52032800.0,ns,108
simple_insert,hecs,,,,52646500.0,ns,110
simple_insert,hecs,,,,55250400.0,ns,112
simple_insert,hecs,,,,54263500.0,ns,114
simple_insert,hecs,,,,61479400.0,ns,116
simple_insert,hecs,,,,58299600.0,ns,118
simple_insert,hecs,,,,57276200.0,ns,120
simple_insert,hecs,,,,58869400.0,ns,122
simple_insert,hecs,,,,62409900.0,ns,124
simple_insert,hecs,,,,72033700.0,ns,126
simple_insert,hecs,,,,62324900.0,ns,128
simple_insert,hecs,,,,63043500.0,ns,130
simple_insert,hecs,,,,64176800.0,ns,132
simple_insert,hecs,,,,67384400.0,ns,134
simple_insert,hecs,,,,66174700.0,ns,136
simple_insert,hecs,,,,66422300.0,ns,138
simple_insert,hecs,,,,68520500.0,ns,140
simple_insert,hecs,,,,70565300.0,ns,142
simple_insert,hecs,,,,69972700.0,ns,144
simple_insert,hecs,,,,70185000.0,ns,146
simple_insert,hecs,,,,76297700.0,ns,148
simple_insert,hecs,,,,73106000.0,ns,150
simple_insert,hecs,,,,72438500.0,ns,152
simple_insert,hecs,,,,75954700.0,ns,154
simple_insert,hecs,,,,77164400.0,ns,156
simple_insert,hecs,,,,82181300.0,ns,158
simple_insert,hecs,,,,77587000.0,ns,160
simple_insert,hecs,,,,95773600.0,ns,162
simple_insert,hecs,,,,85098800.0,ns,164
simple_insert,hecs,,,,91038600.0,ns,166
simple_insert,hecs,,,,105767600.0,ns,168
simple_insert,hecs,,,,97671500.0,ns,170
simple_insert,hecs,,,,86696200.0,ns,172
simple_insert,hecs,,,,86369600.0,ns,174
simple_insert,hecs,,,,85386200.0,ns,176
simple_insert,hecs,,,,112417500.0,ns,178
simple_insert,hecs,,,,121029900.0,ns,180
simple_insert,hecs,,,,92361200.0,ns,182
simple_insert,hecs,,,,100403400.0,ns,184
simple_insert,hecs,,,,89540200.0,ns,186
simple_insert,hecs,,,,90555600.0,ns,188
simple_insert,hecs,,,,91253700.0,ns,190
simple_insert,hecs,,,,111139000.0,ns,192
simple_insert,hecs,,,,119717500.0,ns,194
simple_insert,hecs,,,,95324500.0,ns,196
simple_insert,hecs,,,,95755100.0,ns,198
simple_insert,hecs,,,,96505400.0,ns,200
