group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,legion,,,,2874700.0,ns,3
simple_insert,legion,,,,1505700.0,ns,6
simple_insert,legion,,,,5097200.0,ns,9
simple_insert,legion,,,,3693000.0,ns,12
simple_insert,legion,,,,4384300.0,ns,15
simple_insert,legion,,,,5436800.0,ns,18
simple_insert,legion,,,,6352400.0,ns,21
simple_insert,legion,,,,7133900.0,ns,24
simple_insert,legion,,,,8069800.0,ns,27
simple_insert,legion,,,,11994100.0,ns,30
simple_insert,legion,,,,12670600.0,ns,33
simple_insert,legion,,,,13185100.0,ns,36
simple_insert,legion,,,,12718700.0,ns,39
simple_insert,legion,,,,15091000.0,ns,42
simple_insert,legion,,,,18643400.0,ns,45
simple_insert,legion,,,,18252000.0,ns,48
simple_insert,legion,,,,18886200.0,ns,51
simple_insert,legion,,,,20211000.0,ns,54
simple_insert,legion,,,,19183000.0,ns,57
simple_insert,legion,,,,22854600.0,ns,60
simple_insert,legion,,,,23637900.0,ns,63
simple_insert,legion,,,,24128900.0,ns,66
simple_insert,legion,,,,24988600.0,ns,69
simple_insert,legion,,,,25766100.0,ns,72
simple_insert,legion,,,,27005700.0,ns,75
simple_insert,legion,,,,26376400.0,ns,78
simple_insert,legion,,,,27072100.0,ns,81
simple_insert,legion,,,,30834500.0,ns,84
simple_insert,legion,,,,31338100.0,ns,87
simple_insert,legion,,,,29241900.0,ns,90
simple_insert,legion,,,,36393700.0,ns,93
simple_insert,legion,,,,33681900.0,ns,96
simple_insert,legion,,,,36995800.0,ns,99
simple_insert,legion,,,,32669100.0,ns,102
simple_insert,legion,,,,38702300.0,ns,105
simple_insert,legion,,,,38934000.0,ns,108
simple_insert,legion,,,,40193500.0,ns,111
simple_insert,legion,,,,44286700.0,ns,114
simple_insert,legion,,,,38524500.0,ns,117
simple_insert,legion,,,,41432100.0,ns,120
simple_insert,legion,,,,44871300.0,ns,123
simple_insert,legion,,,,46979200.0,ns,126
simple_insert,legion,,,,45404400.0,ns,129
simple_insert,legion,,,,52081600.0,ns,132
simple_insert,legion,,,,44984100.0,ns,135
simple_insert,legion,,,,51898800.0,ns,138
simple_insert,legion,,,,52650300.0,ns,141
simple_insert,legion,,,,48944200.0,ns,144
simple_insert,legion,,,,54041500.0,ns,147
simple_insert,legion,,,,53821800.0,ns,150
simple_insert,legion,,,,53237300.0,ns,153
simple_insert,legion,,,,58971100.0,ns,156
simple_insert,legion,,,,55684300.0,ns,159
simple_insert,legion,,,,56501500.0,ns,162
simple_insert,legion,,,,55309900.0,ns,165
simple_insert,legion,,,,66757200.0,ns,168
simple_insert,legion,,,,55656800.0,ns,171
simple_insert,legion,,,,81503300.0,ns,174
simple_insert,legion,,,,63663600.0,ns,177
simple_insert,legion,,,,63659600.0,ns,180
simple_insert,legion,,,,61528400.0,ns,183
simple_insert,legion,,,,66021100.0,ns,186
simple_insert,legion,,,,63273900.0,ns,189
simple_insert,legion,,,,68003100.0,ns,192
simple_insert,legion,,,,70003000.0,ns,195
simple_insert,legion,,,,69011200.0,ns,198
simple_insert,legion,,,,71113800.0,ns,201
simple_insert,legion,,,,69163200.0,ns,204
simple_insert,legion,,,,70294300.0,ns,207
simple_insert,legion,,,,78769700.0,ns,210
simple_insert,legion,,,,77249300.0,ns,213
simple_insert,legion,,,,81298500.0,ns,216
simple_insert,legion,,,,86630800.0,ns,219
simple_insert,legion,,,,88400000.0,ns,222
simple_insert,legion,,,,85983900.0,ns,225
simple_insert,legion,,,,79807400.0,ns,228
simple_insert,legion,,,,90028800.0,ns,231
simple_insert,legion,,,,84819300.0,ns,234
simple_insert,legion,,,,90121000.0,ns,237
simple_insert,legion,,,,87764200.0,ns,240
simple_insert,legion,,,,88956100.0,ns,243
simple_insert,legion,,,,89519500.0,ns,246
simple_insert,legion,,,,87760600.0,ns,249
simple_insert,legion,,,,87659900.0,ns,252
simple_insert,legion,,,,89727200.0,ns,255
simple_insert,legion,,,,90611200.0,ns,258
simple_insert,legion,,,,102226900.0,ns,261
simple_insert,legion,,,,104822100.0,ns,264
simple_insert,legion,,,,96302300.0,ns,267
simple_insert,legion,,,,95798600.0,ns,270
simple_insert,legion,,,,99573200.0,ns,273
simple_insert,legion,,,,102181400.0,ns,276
simple_insert,legion,,,,99604900.0,ns,279
simple_insert,legion,,,,97899500.0,ns,282
simple_insert,legion,,,,104725100.0,ns,285
simple_insert,legion,,,,100743300.0,ns,288
simple_insert,legion,,,,106906700.0,ns,291
simple_insert,legion,,,,106852500.0,ns,294
simple_insert,legion,,,,103082300.0,ns,297
simple_insert,legion,,,,110939100.0,ns,300
