group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,planck_ecs,,,,1433900.0,ns,2
simple_insert,planck_ecs,,,,2811300.0,ns,4
simple_insert,planck_ecs,,,,5086600.0,ns,6
simple_insert,planck_ecs,,,,5644500.0,ns,8
simple_insert,planck_ecs,,,,7104200.0,ns,10
simple_insert,planck_ecs,,,,9134300.0,ns,12
simple_insert,planck_ecs,,,,11129000.0,ns,14
simple_insert,planck_ecs,,,,11390100.0,ns,16
simple_insert,planck_ecs,,,,13800100.0,ns,18
simple_insert,planck_ecs,,,,14147700.0,ns,20
simple_insert,planck_ecs,,,,17461400.0,ns,22
simple_insert,planck_ecs,,,,18393600.0,ns,24
simple_insert,planck_ecs,,,,18503200.0,ns,26
simple_insert,planck_ecs,,,,19777600.0,ns,28
simple_insert,planck_ecs,,,,24279700.0,ns,30
simple_insert,planck_ecs,,,,23170400.0,ns,32
simple_insert,planck_ecs,,,,33638900.0,ns,34
simple_insert,planck_ecs,,,,25769300.0,ns,36
simple_insert,planck_ecs,,,,29827000.0,ns,38
simple_insert,planck_ecs,,,,28813900.0,ns,40
simple_insert,planck_ecs,,,,32205600.0,ns,42
simple_insert,planck_ecs,,,,33494400.0,ns,44
simple_insert,planck_ecs,,,,33491900.0,ns,46
simple_insert,planck_ecs,,,,36797000.0,ns,48
simple_insert,planck_ecs,,,,38060400.0,ns,50
simple_insert,planck_ecs,,,,39156000.0,ns,52
simple_insert,planck_ecs,,,,41134500.0,ns,54
simple_insert,planck_ecs,,,,40317100.0,ns,56
simple_insert,planck_ecs,,,,43538400.0,ns,58
simple_insert,planck_ecs,,,,44769400.0,ns,60
simple_insert,planck_ecs,,,,46475300.0,ns,62
simple_insert,planck_ecs,,,,45559100.0,ns,64
simple_insert,planck_ecs,,,,49660600.0,ns,66
simple_insert,planck_ecs,,,,50414100.0,ns,68
simple_insert,planck_ecs,,,,51622500.0,ns,70
simple_insert,planck_ecs,,,,53788100.0,ns,72
simple_insert,planck_ecs,,,,58381400.0,ns,74
simple_insert,planck_ecs,,,,68867800.0,ns,76
simple_insert,planck_ecs,,,,60189900.0,ns,78
simple_insert,planck_ecs,,,,62518900.0,ns,80
simple_insert,planck_ecs,,,,62101800.0,ns,82
simple_insert,planck_ecs,,,,62645300.0,ns,84
simple_insert,planck_ecs,,,,64181400.0,ns,86
simple_insert,planck_ecs,,,,66650100.0,ns,88
simple_insert,planck_ecs,,,,69699300.0,ns,90
simple_insert,planck_ecs,,,,68778400.0,ns,92
simple_insert,planck_ecs,,,,69601200.0,ns,94
simple_insert,planck_ecs,,,,71526400.0,ns,96
simple_insert,planck_ecs,,,,71832700.0,ns,98
simple_insert,planck_ecs,,,,75994500.0,ns,100
simple_insert,planck_ecs,,,,76809700.0,ns,102
simple_insert,planck_ecs,,,,76445900.0,ns,104
simple_insert,planck_ecs,,,,79112900.0,ns,106
simple_insert,planck_ecs,,,,79128200.0,ns,108
simple_insert,planck_ecs,,,,81033700.0,ns,110
simple_insert,planck_ecs,,,,84009300.0,ns,112
simple_insert,planck_ecs,,,,82151500.0,ns,114
simple_insert,planck_ecs,,,,88206100.0,ns,116
simple_insert,planck_ecs,,,,87457300.0,ns,118
simple_insert,planck_ecs,,,,90917200.0,ns,120
simple_insert,planck_ecs,,,,90634000.0,ns,122
simple_insert,planck_ecs,,,,93240100.0,ns,124
simple_insert,planck_ecs,,,,91981400.0,ns,126
simple_insert,planck_ecs,,,,95781600.0,ns,128
simple_insert,planck_ecs,,,,96314400.0,ns,130
simple_insert,planck_ecs,,,,96651800.0,ns,132
simple_insert,planck_ecs,,,,100647000.0,ns,134
simple_insert,planck_ecs,,,,103511100.0,ns,136
simple_insert,planck_ecs,,,,102534400.0,ns,138
simple_insert,planck_ecs,,,,104715600.0,ns,140
simple_insert,planck_ecs,,,,104913900.0,ns,142
simple_insert,planck_ecs,,,,107884800.0,ns,144
simple_insert,planck_ecs,,,,108800400.0,ns,146
simple_insert,planck_ecs,,,,122291300.0,ns,148
simple_insert,planck_ecs,,,,123673100.0,ns,150
simple_insert,planck_ecs,,,,113844600.0,ns,152
simple_insert,planck_ecs,,,,114391900.0,ns,154
simple_insert,planck_ecs,,,,119500100.0,ns,156
simple_insert,planck_ecs,,,,138624300.0,ns,158
simple_insert,planck_ecs,,,,121667200.0,ns,160
simple_insert,planck_ecs,,,,128916600.0,ns,162
simple_insert,planck_ecs,,,,124381300.0,ns,164
simple_insert,planck_ecs,,,,133194100.0,ns,166
simple_insert,planck_ecs,,,,131116500.0,ns,168
simple_insert,planck_ecs,,,,134539600.0,ns,170
simple_insert,planck_ecs,,,,131590800.0,ns,172
simple_insert,planck_ecs,,,,136030900.0,ns,174
simple_insert,planck_ecs,,,,146995500.0,ns,176
simple_insert,planck_ecs,,,,146754100.0,ns,178
simple_insert,planck_ecs,,,,138908000.0,ns,180
simple_insert,planck_ecs,,,,134856000.0,ns,182
simple_insert,planck_ecs,,,,136593300.0,ns,184
simple_insert,planck_ecs,,,,152865300.0,ns,186
simple_insert,planck_ecs,,,,171529900.0,ns,188
simple_insert,planck_ecs,,,,139911000.0,ns,190
simple_insert,planck_ecs,,,,144146000.0,ns,192
simple_insert,planck_ecs,,,,142785300.0,ns,194
simple_insert,planck_ecs,,,,151866300.0,ns,196
simple_insert,planck_ecs,,,,146280900.0,ns,198
simple_insert,planck_ecs,,,,150360100.0,ns,200
