group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,planck_ecs,,,,1475500.0,ns,2
simple_insert,planck_ecs,,,,2885200.0,ns,4
simple_insert,planck_ecs,,,,4213300.0,ns,6
simple_insert,planck_ecs,,,,5618300.0,ns,8
simple_insert,planck_ecs,,,,7917000.0,ns,10
simple_insert,planck_ecs,,,,8400400.0,ns,12
simple_insert,planck_ecs,,,,9832800.0,ns,14
simple_insert,planck_ecs,,,,11256000.0,ns,16
simple_insert,planck_ecs,,,,12690000.0,ns,18
simple_insert,planck_ecs,,,,14816400.0,ns,20
simple_insert,planck_ecs,,,,15485800.0,ns,22
simple_insert,planck_ecs,,,,16872500.0,ns,24
simple_insert,planck_ecs,,,,19224300.0,ns,26
simple_insert,planck_ecs,,,,19653900.0,ns,28
simple_insert,planck_ecs,,,,21350700.0,ns,30
simple_insert,planck_ecs,,,,23319200.0,ns,32
simple_insert,planck_ecs,,,,23974700.0,ns,34
simple_insert,planck_ecs,,,,26239200.0,ns,36
simple_insert,planck_ecs,,,,26663500.0,ns,38
simple_insert,planck_ecs,,,,30692400.0,ns,40
simple_insert,planck_ecs,,,,30897200.0,ns,42
simple_insert,planck_ecs,,,,33025200.0,ns,44
simple_insert,planck_ecs,,,,33726100.0,ns,46
simple_insert,planck_ecs,,,,33739100.0,ns,48
simple_insert,planck_ecs,,,,35265800.0,ns,50
simple_insert,planck_ecs,,,,37681200.0,ns,52
simple_insert,planck_ecs,,,,38165400.0,ns,54
simple_insert,planck_ecs,,,,40716400.0,ns,56
simple_insert,planck_ecs,,,,41553400.0,ns,58
simple_insert,planck_ecs,,,,43178300.0,ns,60
simple_insert,planck_ecs,,,,44428900.0,ns,62
simple_insert,planck_ecs,,,,46209500.0,ns,64
simple_insert,planck_ecs,,,,46536500.0,ns,66
simple_insert,planck_ecs,,,,48613900.0,ns,68
simple_insert,planck_ecs,,,,50370300.0,ns,70
simple_insert,planck_ecs,,,,51464600.0,ns,72
simple_insert,planck_ecs,,,,53462700.0,ns,74
simple_insert,planck_ecs,,,,53382100.0,ns,76
simple_insert,planck_ecs,,,,55709100.0,ns,78
simple_insert,planck_ecs,,,,58183600.0,ns,80
simple_insert,planck_ecs,,,,59237400.0,ns,82
simple_insert,planck_ecs,,,,61100600.0,ns,84
simple_insert,planck_ecs,,,,60920700.0,ns,86
simple_insert,planck_ecs,,,,63293600.0,ns,88
simple_insert,planck_ecs,,,,64204800.0,ns,90
simple_insert,planck_ecs,,,,66893300.0,ns,92
simple_insert,planck_ecs,,,,68045000.0,ns,94
simple_insert,planck_ecs,,,,69049200.0,ns,96
simple_insert,planck_ecs,,,,70863900.0,ns,98
simple_insert,planck_ecs,,,,72145300.0,ns,100
simple_insert,planck_ecs,,,,81830600.0,ns,102
simple_insert,planck_ecs,,,,75340800.0,ns,104
simple_insert,planck_ecs,,,,76780300.0,ns,106
simple_insert,planck_ecs,,,,78160500.0,ns,108
simple_insert,planck_ecs,,,,79017900.0,ns,110
simple_insert,planck_ecs,,,,81014400.0,ns,112
simple_insert,planck_ecs,,,,82289500.0,ns,114
simple_insert,planck_ecs,,,,85618600.0,ns,116
simple_insert,planck_ecs,,,,85224100.0,ns,118
simple_insert,planck_ecs,,,,86345900.0,ns,120
simple_insert,planck_ecs,,,,88403800.0,ns,122
simple_insert,planck_ecs,,,,88572100.0,ns,124
simple_insert,planck_ecs,,,,90200100.0,ns,126
simple_insert,planck_ecs,,,,95559400.0,ns,128
simple_insert,planck_ecs,,,,97827600.0,ns,130
simple_insert,planck_ecs,,,,95174300.0,ns,132
simple_insert,planck_ecs,,,,95599500.0,ns,134
simple_insert,planck_ecs,,,,98202700.0,ns,136
simple_insert,planck_ecs,,,,100219400.0,ns,138
simple_insert,planck_ecs,,,,101102300.0,ns,140
simple_insert,planck_ecs,,,,103244100.0,ns,142
simple_insert,planck_ecs,,,,105922400.0,ns,144
simple_insert,planck_ecs,,,,105018200.0,ns,146
simple_insert,planck_ecs,,,,105561100.0,ns,148
simple_insert,planck_ecs,,,,107952300.0,ns,150
simple_insert,planck_ecs,,,,109267600.0,ns,152
simple_insert,planck_ecs,,,,108488000.0,ns,154
simple_insert,planck_ecs,,,,121843300.0,ns,156
simple_insert,planck_ecs,,,,116581600.0,ns,158
simple_insert,planck_ecs,,,,114155900.0,ns,160
simple_insert,planck_ecs,,,,122089300.0,ns,162
simple_insert,planck_ecs,,,,116408400.0,ns,164
simple_insert,planck_ecs,,,,118294300.0,ns,166
simple_insert,planck_ecs,,,,121037200.0,ns,168
simple_insert,planck_ecs,,,,121110100.0,ns,170
simple_insert,planck_ecs,,,,123401600.0,ns,172
simple_insert,planck_ecs,,,,124947700.0,ns,174
simple_insert,planck_ecs,,,,130302300.0,ns,176
simple_insert,planck_ecs,,,,130714000.0,ns,178
simple_insert,planck_ecs,,,,130900500.0,ns,180
simple_insert,planck_ecs,,,,137451300.0,ns,182
simple_insert,planck_ecs,,,,132236300.0,ns,184
simple_insert,planck_ecs,,,,134206800.0,ns,186
simple_insert,planck_ecs,,,,134050600.0,ns,188
simple_insert,planck_ecs,,,,136663000.0,ns,190
simple_insert,planck_ecs,,,,137678100.0,ns,192
simple_insert,planck_ecs,,,,140218100.0,ns,194
simple_insert,planck_ecs,,,,140150900.0,ns,196
simple_insert,planck_ecs,,,,140797800.0,ns,198
simple_insert,planck_ecs,,,,142015800.0,ns,200
