group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,shipyard,,,,2571900.0,ns,2
simple_insert,shipyard,,,,4825400.0,ns,4
simple_insert,shipyard,,,,4840300.0,ns,6
simple_insert,shipyard,,,,6121800.0,ns,8
simple_insert,shipyard,,,,9366500.0,ns,10
simple_insert,shipyard,,,,9054800.0,ns,12
simple_insert,shipyard,,,,10499300.0,ns,14
simple_insert,shipyard,,,,13212700.0,ns,16
simple_insert,shipyard,,,,15038400.0,ns,18
simple_insert,shipyard,,,,15297300.0,ns,20
simple_insert,shipyard,,,,17948700.0,ns,22
simple_insert,shipyard,,,,21445400.0,ns,24
simple_insert,shipyard,,,,19697500.0,ns,26
simple_insert,shipyard,,,,23328500.0,ns,28
simple_insert,shipyard,,,,25880200.0,ns,30
simple_insert,shipyard,,,,25470700.0,ns,32
simple_insert,shipyard,,,,33127300.0,ns,34
simple_insert,shipyard,,,,28189200.0,ns,36
simple_insert,shipyard,,,,34130700.0,ns,38
simple_insert,shipyard,,,,31556400.0,ns,40
simple_insert,shipyard,,,,35307000.0,ns,42
simple_insert,shipyard,,,,35950700.0,ns,44
simple_insert,shipyard,,,,36802800.0,ns,46
simple_insert,shipyard,,,,39932700.0,ns,48
simple_insert,shipyard,,,,41009800.0,ns,50
simple_insert,shipyard,,,,42513400.0,ns,52
simple_insert,shipyard,,,,42686700.0,ns,54
simple_insert,shipyard,,,,47109900.0,ns,56
simple_insert,shipyard,,,,49404800.0,ns,58
simple_insert,shipyard,,,,45413000.0,ns,60
simple_insert,shipyard,,,,50206800.0,ns,62
simple_insert,shipyard,,,,54531000.0,ns,64
simple_insert,shipyard,,,,54657000.0,ns,66
simple_insert,shipyard,,,,55205100.0,ns,68
simple_insert,shipyard,,,,57380200.0,ns,70
simple_insert,shipyard,,,,58900100.0,ns,72
simple_insert,shipyard,,,,60579900.0,ns,74
simple_insert,shipyard,,,,72020700.0,ns,76
simple_insert,shipyard,,,,69141100.0,ns,78
simple_insert,shipyard,,,,67377400.0,ns,80
simple_insert,shipyard,,,,66265100.0,ns,82
simple_insert,shipyard,,,,69881300.0,ns,84
simple_insert,shipyard,,,,74574900.0,ns,86
simple_insert,shipyard,,,,77954800.0,ns,88
simple_insert,shipyard,,,,73761700.0,ns,90
simple_insert,shipyard,,,,79086600.0,ns,92
simple_insert,shipyard,,,,79539600.0,ns,94
simple_insert,shipyard,,,,83301200.0,ns,96
simple_insert,shipyard,,,,78697600.0,ns,98
simple_insert,shipyard,,,,84018400.0,ns,100
simple_insert,shipyard,,,,82343700.0,ns,102
simple_insert,shipyard,,,,87070900.0,ns,104
simple_insert,shipyard,,,,87744300.0,ns,106
simple_insert,shipyard,,,,90975200.0,ns,108
simple_insert,shipyard,,,,99964900.0,ns,110
simple_insert,shipyard,,,,92257100.0,ns,112
simple_insert,shipyard,,,,94183200.0,ns,114
simple_insert,shipyard,,,,94043400.0,ns,116
simple_insert,shipyard,,,,96258500.0,ns,118
simple_insert,shipyard,,,,96328700.0,ns,120
simple_insert,shipyard,,,,99760500.0,ns,122
simple_insert,shipyard,,,,101223100.0,ns,124
simple_insert,shipyard,,,,102920800.0,ns,126
simple_insert,shipyard,,,,108401700.0,ns,128
simple_insert,shipyard,,,,105345900.0,ns,130
simple_insert,shipyard,,,,112612700.0,ns,132
simple_insert,shipyard,,,,110755400.0,ns,134
simple_insert,shipyard,,,,112954900.0,ns,136
simple_insert,shipyard,,,,113544900.0,ns,138
simple_insert,shipyard,,,,115482800.0,ns,140
simple_insert,shipyard,,,,113333500.0,ns,142
simple_insert,shipyard,,,,114337300.0,ns,144
simple_insert,shipyard,,,,121920900.0,ns,146
simple_insert,shipyard,,,,120659300.0,ns,148
simple_insert,shipyard,,,,125659600.0,ns,150
simple_insert,shipyard,,,,125677000.0,ns,152
simple_insert,shipyard,,,,128276500.0,ns,154
simple_insert,shipyard,,,,128660600.0,ns,156
simple_insert,shipyard,,,,134468100.0,ns,158
simple_insert,shipyard,,,,132684200.0,ns,160
simple_insert,shipyard,,,,133600200.0,ns,162
simple_insert,shipyard,,,,132618200.0,ns,164
simple_insert,shipyard,,,,134826200.0,ns,166
simple_insert,shipyard,,,,138164700.0,ns,168
simple_insert,shipyard,,,,140733100.0,ns,170
simple_insert,shipyard,,,,140101000.0,ns,172
simple_insert,shipyard,,,,142953500.0,ns,174
simple_insert,shipyard,,,,162439800.0,ns,176
simple_insert,shipyard,,,,151387100.0,ns,178
simple_insert,shipyard,,,,150341300.0,ns,180
simple_insert,shipyard,,,,146032500.0,ns,182
simple_insert,shipyard,,,,155675100.0,ns,184
simple_insert,shipyard,,,,179718600.0,ns,186
simple_insert,shipyard,,,,170154200.0,ns,188
simple_insert,shipyard,,,,153352800.0,ns,190
simple_insert,shipyard,,,,162156000.0,ns,192
simple_insert,shipyard,,,,169934600.0,ns,194
simple_insert,shipyard,,,,161674400.0,ns,196
simple_insert,shipyard,,,,159375500.0,ns,198
simple_insert,shipyard,,,,163963000.0,ns,200
