group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,shipyard,,,,1491900.0,ns,2
simple_insert,shipyard,,,,2886900.0,ns,4
simple_insert,shipyard,,,,4311300.0,ns,6
simple_insert,shipyard,,,,5663300.0,ns,8
simple_insert,shipyard,,,,7086800.0,ns,10
simple_insert,shipyard,,,,8507200.0,ns,12
simple_insert,shipyard,,,,10709400.0,ns,14
simple_insert,shipyard,,,,11255000.0,ns,16
simple_insert,shipyard,,,,12689400.0,ns,18
simple_insert,shipyard,,,,14914500.0,ns,20
simple_insert,shipyard,,,,15323700.0,ns,22
simple_insert,shipyard,,,,17742300.0,ns,24
simple_insert,shipyard,,,,18351700.0,ns,26
simple_insert,shipyard,,,,19660900.0,ns,28
simple_insert,shipyard,,,,21052800.0,ns,30
simple_insert,shipyard,,,,22560700.0,ns,32
simple_insert,shipyard,,,,24786400.0,ns,34
simple_insert,shipyard,,,,25066800.0,ns,36
simple_insert,shipyard,,,,27620100.0,ns,38
simple_insert,shipyard,,,,29011300.0,ns,40
simple_insert,shipyard,,,,29708500.0,ns,42
simple_insert,shipyard,,,,31585900.0,ns,44
simple_insert,shipyard,,,,32065300.0,ns,46
simple_insert,shipyard,,,,34354000.0,ns,48
simple_insert,shipyard,,,,35889700.0,ns,50
simple_insert,shipyard,,,,36327400.0,ns,52
simple_insert,shipyard,,,,37576100.0,ns,54
simple_insert,shipyard,,,,40385000.0,ns,56
simple_insert,shipyard,,,,41894400.0,ns,58
simple_insert,shipyard,,,,41817000.0,ns,60
simple_insert,shipyard,,,,44489100.0,ns,62
simple_insert,shipyard,,,,46203300.0,ns,64
simple_insert,shipyard,,,,48805000.0,ns,66
simple_insert,shipyard,,,,48732300.0,ns,68
simple_insert,shipyard,,,,50566200.0,ns,70
simple_insert,shipyard,,,,50838700.0,ns,72
simple_insert,shipyard,,,,51354600.0,ns,74
simple_insert,shipyard,,,,55662700.0,ns,76
simple_insert,shipyard,,,,55582000.0,ns,78
simple_insert,shipyard,,,,56374800.0,ns,80
simple_insert,shipyard,,,,58174800.0,ns,82
simple_insert,shipyard,,,,60456600.0,ns,84
simple_insert,shipyard,,,,60717900.0,ns,86
simple_insert,shipyard,,,,61905900.0,ns,88
simple_insert,shipyard,,,,63716600.0,ns,90
simple_insert,shipyard,,,,65304100.0,ns,92
simple_insert,shipyard,,,,66154000.0,ns,94
simple_insert,shipyard,,,,67479800.0,ns,96
simple_insert,shipyard,,,,69050300.0,ns,98
simple_insert,shipyard,,,,70140000.0,ns,100
simple_insert,shipyard,,,,72685600.0,ns,102
simple_insert,shipyard,,,,75446200.0,ns,104
simple_insert,shipyard,,,,76877100.0,ns,106
simple_insert,shipyard,,,,76260300.0,ns,108
simple_insert,shipyard,,,,78216800.0,ns,110
simple_insert,shipyard,,,,78410700.0,ns,112
simple_insert,shipyard,,,,81284500.0,ns,114
simple_insert,shipyard,,,,81666800.0,ns,116
simple_insert,shipyard,,,,83739900.0,ns,118
simple_insert,shipyard,,,,83496400.0,ns,120
simple_insert,shipyard,,,,86307200.0,ns,122
simple_insert,shipyard,,,,86327100.0,ns,124
simple_insert,shipyard,,,,89005300.0,ns,126
simple_insert,shipyard,,,,90724700.0,ns,128
simple_insert,shipyard,,,,92815400.0,ns,130
simple_insert,shipyard,,,,93119000.0,ns,132
simple_insert,shipyard,,,,94364000.0,ns,134
simple_insert,shipyard,,,,95822500.0,ns,136
simple_insert,shipyard,,,,102904600.0,ns,138
simple_insert,shipyard,,,,98920300.0,ns,140
simple_insert,shipyard,,,,98872200.0,ns,142
simple_insert,shipyard,,,,101593400.0,ns,144
simple_insert,shipyard,,,,103573400.0,ns,146
simple_insert,shipyard,,,,104306200.0,ns,148
simple_insert,shipyard,,,,118827500.0,ns,150
simple_insert,shipyard,,,,107891100.0,ns,152
simple_insert,shipyard,,,,108446600.0,ns,154
simple_insert,shipyard,,,,109914600.0,ns,156
simple_insert,shipyard,,,,112922100.0,ns,158
simple_insert,shipyard,,,,111461100.0,ns,160
simple_insert,shipyard,,,,114301400.0,ns,162
simple_insert,shipyard,,,,116714300.0,ns,164
simple_insert,shipyard,,,,118339900.0,ns,166
simple_insert,shipyard,,,,123834700.0,ns,168
simple_insert,shipyard,,,,122544700.0,ns,170
simple_insert,shipyard,,,,123623900.0,ns,172
simple_insert,shipyard,,,,123231500.0,ns,174
simple_insert,shipyard,,,,125729200.0,ns,176
simple_insert,shipyard,,,,125881700.0,ns,178
simple_insert,shipyard,,,,127514500.0,ns,180
simple_insert,shipyard,,,,128993300.0,ns,182
simple_insert,shipyard,,,,130813600.0,ns,184
simple_insert,shipyard,,,,130209900.0,ns,186
simple_insert,shipyard,,,,131127800.0,ns,188
simple_insert,shipyard,,,,133568600.0,ns,190
simple_insert,shipyard,,,,134945000.0,ns,192
simple_insert,shipyard,,,,135745400.0,ns,194
simple_insert,shipyard,,,,137398100.0,ns,196
simple_insert,shipyard,,,,139031600.0,ns,198
simple_insert,shipyard,,,,142901700.0,ns,200
