group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,specs,,,,2132500.0,ns,1
simple_insert,specs,,,,4110800.0,ns,2
simple_insert,specs,,,,6303500.0,ns,3
simple_insert,specs,,,,7445400.0,ns,4
simple_insert,specs,,,,8813800.0,ns,5
simple_insert,specs,,,,11083000.0,ns,6
simple_insert,specs,,,,14489600.0,ns,7
simple_insert,specs,,,,14991300.0,ns,8
simple_insert,specs,,,,16411200.0,ns,9
simple_insert,specs,,,,17710800.0,ns,10
simple_insert,specs,,,,20545000.0,ns,11
simple_insert,specs,,,,21403600.0,ns,12
simple_insert,specs,,,,24658300.0,ns,13
simple_insert,specs,,,,30048800.0,ns,14
simple_insert,specs,,,,26812400.0,ns,15
simple_insert,specs,,,,30109700.0,ns,16
simple_insert,specs,,,,31521100.0,ns,17
simple_insert,specs,,,,33228600.0,ns,18
simple_insert,specs,,,,34894100.0,ns,19
simple_insert,specs,,,,36142800.0,ns,20
simple_insert,specs,,,,39408800.0,ns,21
simple_insert,specs,,,,44356700.0,ns,22
simple_insert,specs,,,,42027600.0,ns,23
simple_insert,specs,,,,45355900.0,ns,24
simple_insert,specs,,,,47853400.0,ns,25
simple_insert,specs,,,,49759000.0,ns,26
simple_insert,specs,,,,49856800.0,ns,27
simple_insert,specs,,,,52232300.0,ns,28
simple_insert,specs,,,,54069600.0,ns,29
simple_insert,specs,,,,60462300.0,ns,30
simple_insert,specs,,,,73396400.0,ns,31
simple_insert,specs,,,,64475400.0,ns,32
simple_insert,specs,,,,64465500.0,ns,33
simple_insert,specs,,,,65831900.0,ns,34
simple_insert,specs,,,,68580300.0,ns,35
simple_insert,specs,,,,65853500.0,ns,36
simple_insert,specs,,,,68073500.0,ns,37
simple_insert,specs,,,,73837100.0,ns,38
simple_insert,specs,,,,70767500.0,ns,39
simple_insert,specs,,,,72725100.0,ns,40
simple_insert,specs,,,,74221600.0,ns,41
simple_insert,specs,,,,79102600.0,ns,42
simple_insert,specs,,,,78106800.0,ns,43
simple_insert,specs,,,,80193400.0,ns,44
simple_insert,specs,,,,82464600.0,ns,45
simple_insert,specs,,,,85115500.0,ns,46
simple_insert,specs,,,,87046100.0,ns,47
simple_insert,specs,,,,87504600.0,ns,48
simple_insert,specs,,,,90188900.0,ns,49
simple_insert,specs,,,,90446900.0,ns,50
simple_insert,specs,,,,93239900.0,ns,51
simple_insert,specs,,,,95070200.0,ns,52
simple_insert,specs,,,,96433400.0,ns,53
simple_insert,specs,,,,99320200.0,ns,54
simple_insert,specs,,,,100225900.0,ns,55
simple_insert,specs,,,,102344300.0,ns,56
simple_insert,specs,,,,105992400.0,ns,57
simple_insert,specs,,,,105769000.0,ns,58
simple_insert,specs,,,,108334400.0,ns,59
simple_insert,specs,,,,109059100.0,ns,60
simple_insert,specs,,,,111489300.0,ns,61
simple_insert,specs,,,,126847400.0,ns,62
simple_insert,specs,,,,116228300.0,ns,63
simple_insert,specs,,,,117536700.0,ns,64
simple_insert,specs,,,,117328300.0,ns,65
simple_insert,specs,,,,122080100.0,ns,66
simple_insert,specs,,,,122122300.0,ns,67
simple_insert,specs,,,,131239600.0,ns,68
simple_insert,specs,,,,125971000.0,ns,69
simple_insert,specs,,,,127799200.0,ns,70
simple_insert,specs,,,,128901800.0,ns,71
simple_insert,specs,,,,132574300.0,ns,72
simple_insert,specs,,,,131819900.0,ns,73
simple_insert,specs,,,,136204200.0,ns,74
simple_insert,specs,,,,135991500.0,ns,75
simple_insert,specs,,,,141080300.0,ns,76
simple_insert,specs,,,,140898100.0,ns,77
simple_insert,specs,,,,141521700.0,ns,78
simple_insert,specs,,,,143576900.0,ns,79
simple_insert,specs,,,,145542500.0,ns,80
simple_insert,specs,,,,147414800.0,ns,81
simple_insert,specs,,,,151054400.0,ns,82
simple_insert,specs,,,,156633100.0,ns,83
simple_insert,specs,,,,154799300.0,ns,84
simple_insert,specs,,,,155630500.0,ns,85
simple_insert,specs,,,,158323000.0,ns,86
simple_insert,specs,,,,161242300.0,ns,87
simple_insert,specs,,,,161556800.0,ns,88
simple_insert,specs,,,,164446800.0,ns,89
simple_insert,specs,,,,170370900.0,ns,90
simple_insert,specs,,,,166817100.0,ns,91
simple_insert,specs,,,,170075900.0,ns,92
simple_insert,specs,,,,170856600.0,ns,93
simple_insert,specs,,,,172591800.0,ns,94
simple_insert,specs,,,,174119600.0,ns,95
simple_insert,specs,,,,188866500.0,ns,96
simple_insert,specs,,,,176902300.0,ns,97
simple_insert,specs,,,,180789900.0,ns,98
simple_insert,specs,,,,182147700.0,ns,99
simple_insert,specs,,,,185382600.0,ns,100
