group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,specs,,,,1834100.0,ns,1
simple_insert,specs,,,,3566300.0,ns,2
simple_insert,specs,,,,5575400.0,ns,3
simple_insert,specs,,,,7484100.0,ns,4
simple_insert,specs,,,,9785700.0,ns,5
simple_insert,specs,,,,10761600.0,ns,6
simple_insert,specs,,,,12788600.0,ns,7
simple_insert,specs,,,,14200600.0,ns,8
simple_insert,specs,,,,16036700.0,ns,9
simple_insert,specs,,,,17791700.0,ns,10
simple_insert,specs,,,,19506300.0,ns,11
simple_insert,specs,,,,21686100.0,ns,12
simple_insert,specs,,,,23990000.0,ns,13
simple_insert,specs,,,,24999200.0,ns,14
simple_insert,specs,,,,27471300.0,ns,15
simple_insert,specs,,,,28476100.0,ns,16
simple_insert,specs,,,,30317700.0,ns,17
simple_insert,specs,,,,32459000.0,ns,18
simple_insert,specs,,,,34792900.0,ns,19
simple_insert,specs,,,,35590100.0,ns,20
simple_insert,specs,,,,37652400.0,ns,21
simple_insert,specs,,,,39108700.0,ns,22
simple_insert,specs,,,,40841800.0,ns,23
simple_insert,specs,,,,43295400.0,ns,24
simple_insert,specs,,,,45473000.0,ns,25
simple_insert,specs,,,,46239300.0,ns,26
simple_insert,specs,,,,48718100.0,ns,27
simple_insert,specs,,,,50100900.0,ns,28
simple_insert,specs,,,,51791700.0,ns,29
simple_insert,specs,,,,54882300.0,ns,30
simple_insert,specs,,,,55204100.0,ns,31
simple_insert,specs,,,,57730600.0,ns,32
simple_insert,specs,,,,59052200.0,ns,33
simple_insert,specs,,,,61213700.0,ns,34
simple_insert,specs,,,,62232200.0,ns,35
simple_insert,specs,,,,64630200.0,ns,36
simple_insert,specs,,,,66191200.0,ns,37
simple_insert,specs,,,,67906200.0,ns,38
simple_insert,specs,,,,71543200.0,ns,39
simple_insert,specs,,,,72546700.0,ns,40
simple_insert,specs,,,,73387900.0,ns,41
simple_insert,specs,,,,75961500.0,ns,42
simple_insert,specs,,,,76768600.0,ns,43
simple_insert,specs,,,,78733000.0,ns,44
simple_insert,specs,,,,80210400.0,ns,45
simple_insert,specs,,,,82010100.0,ns,46
simple_insert,specs,,,,84463600.0,ns,47
simple_insert,specs,,,,85559000.0,ns,48
simple_insert,specs,,,,88396500.0,ns,49
simple_insert,specs,,,,90444100.0,ns,50
simple_insert,specs,,,,91522200.0,ns,51
simple_insert,specs,,,,94173200.0,ns,52
simple_insert,specs,,,,95111200.0,ns,53
simple_insert,specs,,,,96751600.0,ns,54
simple_insert,specs,,,,97947800.0,ns,55
simple_insert,specs,,,,100541900.0,ns,56
simple_insert,specs,,,,103133000.0,ns,57
simple_insert,specs,,,,104209400.0,ns,58
simple_insert,specs,,,,106526500.0,ns,59
simple_insert,specs,,,,107304000.0,ns,60
simple_insert,specs,,,,108914100.0,ns,61
simple_insert,specs,,,,112039600.0,ns,62
simple_insert,specs,,,,113909800.0,ns,63
simple_insert,specs,,,,114805600.0,ns,64
simple_insert,specs,,,,116547900.0,ns,65
simple_insert,specs,,,,119133800.0,ns,66
simple_insert,specs,,,,119415700.0,ns,67
simple_insert,specs,,,,121722500.0,ns,68
simple_insert,specs,,,,123404100.0,ns,69
simple_insert,specs,,,,125636500.0,ns,70
simple_insert,specs,,,,128135600.0,ns,71
simple_insert,specs,,,,128961500.0,ns,72
simple_insert,specs,,,,131345300.0,ns,73
simple_insert,specs,,,,133326300.0,ns,74
simple_insert,specs,,,,133748500.0,ns,75
simple_insert,specs,,,,137284100.0,ns,76
simple_insert,specs,,,,139235500.0,ns,77
simple_insert,specs,,,,140297500.0,ns,78
simple_insert,specs,,,,142099200.0,ns,79
simple_insert,specs,,,,143955500.0,ns,80
simple_insert,specs,,,,145931900.0,ns,81
simple_insert,specs,,,,146967800.0,ns,82
simple_insert,specs,,,,152783300.0,ns,83
simple_insert,specs,,,,161415500.0,ns,84
simple_insert,specs,,,,157294500.0,ns,85
simple_insert,specs,,,,155276100.0,ns,86
simple_insert,specs,,,,157453700.0,ns,87
simple_insert,specs,,,,172165500.0,ns,88
simple_insert,specs,,,,164510700.0,ns,89
simple_insert,specs,,,,178279000.0,ns,90
simple_insert,specs,,,,164783200.0,ns,91
simple_insert,specs,,,,176198000.0,ns,92
simple_insert,specs,,,,174758400.0,ns,93
simple_insert,specs,,,,181519200.0,ns,94
simple_insert,specs,,,,181670500.0,ns,95
simple_insert,specs,,,,175121600.0,ns,96
simple_insert,specs,,,,177505500.0,ns,97
simple_insert,specs,,,,184781900.0,ns,98
simple_insert,specs,,,,177579700.0,ns,99
simple_insert,specs,,,,179387200.0,ns,100
