group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,bevy,,,,997900.0,ns,58
simple_iter,bevy,,,,2005200.0,ns,116
simple_iter,bevy,,,,2993000.0,ns,174
simple_iter,bevy,,,,3998000.0,ns,232
simple_iter,bevy,,,,5041000.0,ns,290
simple_iter,bevy,,,,6026900.0,ns,348
simple_iter,bevy,,,,6970100.0,ns,406
simple_iter,bevy,,,,8000800.0,ns,464
simple_iter,bevy,,,,8987700.0,ns,522
simple_iter,bevy,,,,10023800.0,ns,580
simple_iter,bevy,,,,10960100.0,ns,638
simple_iter,bevy,,,,11963000.0,ns,696
simple_iter,bevy,,,,12963200.0,ns,754
simple_iter,bevy,,,,13988600.0,ns,812
simple_iter,bevy,,,,14939600.0,ns,870
simple_iter,bevy,,,,15998400.0,ns,928
simple_iter,bevy,,,,17032400.0,ns,986
simple_iter,bevy,,,,17980900.0,ns,1044
simple_iter,bevy,,,,19556500.0,ns,1102
simple_iter,bevy,,,,20055800.0,ns,1160
simple_iter,bevy,,,,21050500.0,ns,1218
simple_iter,bevy,,,,22120300.0,ns,1276
simple_iter,bevy,,,,25578000.0,ns,1334
simple_iter,bevy,,,,24034900.0,ns,1392
simple_iter,bevy,,,,24987400.0,ns,1450
simple_iter,bevy,,,,26072500.0,ns,1508
simple_iter,bevy,,,,27025900.0,ns,1566
simple_iter,bevy,,,,28033600.0,ns,1624
simple_iter,bevy,,,,28993300.0,ns,1682
simple_iter,bevy,,,,30312100.0,ns,1740
simple_iter,bevy,,,,31450500.0,ns,1798
simple_iter,bevy,,,,32528800.0,ns,1856
simple_iter,bevy,,,,36328300.0,ns,1914
simple_iter,bevy,,,,34932000.0,ns,1972
simple_iter,bevy,,,,50681800.0,ns,2030
simple_iter,bevy,,,,46482700.0,ns,2088
simple_iter,bevy,,,,45455400.0,ns,2146
simple_iter,bevy,,,,38358600.0,ns,2204
simple_iter,bevy,,,,39298800.0,ns,2262
simple_iter,bevy,,,,45363500.0,ns,2320
simple_iter,bevy,,,,42323300.0,ns,2378
simple_iter,bevy,,,,42559500.0,ns,2436
simple_iter,bevy,,,,47678700.0,ns,2494
simple_iter,bevy,,,,46395100.0,ns,2552
simple_iter,bevy,,,,45177900.0,ns,2610
simple_iter,bevy,,,,49214900.0,ns,2668
simple_iter,bevy,,,,47610400.0,ns,2726
simple_iter,bevy,,,,49014400.0,ns,2784
simple_iter,bevy,,,,51410600.0,ns,2842
simple_iter,bevy,,,,50732100.0,ns,2900
simple_iter,bevy,,,,52580500.0,ns,2958
simple_iter,bevy,,,,53078400.0,ns,3016
simple_iter,bevy,,,,53892500.0,ns,3074
simple_iter,bevy,,,,54715200.0,ns,3132
simple_iter,bevy,,,,56154700.0,ns,3190
simple_iter,bevy,,,,58269100.0,ns,3248
simple_iter,bevy,,,,57671500.0,ns,3306
simple_iter,bevy,,,,58161800.0,ns,3364
simple_iter,bevy,,,,59129700.0,ns,3422
simple_iter,bevy,,,,62165200.0,ns,3480
simple_iter,bevy,,,,61428600.0,ns,3538
simple_iter,bevy,,,,68406700.0,ns,3596
simple_iter,bevy,,,,64770600.0,ns,3654
simple_iter,bevy,,,,65448300.0,ns,3712
simple_iter,bevy,,,,67377600.0,ns,3770
simple_iter,bevy,,,,72980000.0,ns,3828
simple_iter,bevy,,,,67589400.0,ns,3886
simple_iter,bevy,,,,69920800.0,ns,3944
simple_iter,bevy,,,,69910900.0,ns,4002
simple_iter,bevy,,,,70537400.0,ns,4060
simple_iter,bevy,,,,71692900.0,ns,4118
simple_iter,bevy,,,,72032600.0,ns,4176
simple_iter,bevy,,,,73457500.0,ns,4234
simple_iter,bevy,,,,74389800.0,ns,4292
simple_iter,bevy,,,,75380800.0,ns,4350
simple_iter,bevy,,,,76330600.0,ns,4408
simple_iter,bevy,,,,77379200.0,ns,4466
simple_iter,bevy,,,,78665700.0,ns,4524
simple_iter,bevy,,,,79119500.0,ns,4582
simple_iter,bevy,,,,80961500.0,ns,4640
simple_iter,bevy,,,,81745400.0,ns,4698
simple_iter,bevy,,,,82508800.0,ns,4756
simple_iter,bevy,,,,84471500.0,ns,4814
simple_iter,bevy,,,,89626100.0,ns,4872
simple_iter,bevy,,,,85877300.0,ns,4930
simple_iter,bevy,,,,86136900.0,ns,4988
simple_iter,bevy,,,,86922400.0,ns,5046
simple_iter,bevy,,,,88003500.0,ns,5104
simple_iter,bevy,,,,89717100.0,ns,5162
simple_iter,bevy,,,,89965700.0,ns,5220
simple_iter,bevy,,,,91382000.0,ns,5278
simple_iter,bevy,,,,95823400.0,ns,5336
simple_iter,bevy,,,,104955400.0,ns,5394
simple_iter,bevy,,,,94184200.0,ns,5452
simple_iter,bevy,,,,95382800.0,ns,5510
simple_iter,bevy,,,,95999100.0,ns,5568
simple_iter,bevy,,,,99739400.0,ns,5626
simple_iter,bevy,,,,99623000.0,ns,5684
simple_iter,bevy,,,,99661600.0,ns,5742
simple_iter,bevy,,,,104198900.0,ns,5800
