group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,bevy,,,,987000.0,ns,55
simple_iter,bevy,,,,1991800.0,ns,110
simple_iter,bevy,,,,2983500.0,ns,165
simple_iter,bevy,,,,3988400.0,ns,220
simple_iter,bevy,,,,4907000.0,ns,275
simple_iter,bevy,,,,5936100.0,ns,330
simple_iter,bevy,,,,6887100.0,ns,385
simple_iter,bevy,,,,7846100.0,ns,440
simple_iter,bevy,,,,9149400.0,ns,495
simple_iter,bevy,,,,10760600.0,ns,550
simple_iter,bevy,,,,10760100.0,ns,605
simple_iter,bevy,,,,11864900.0,ns,660
simple_iter,bevy,,,,12671800.0,ns,715
simple_iter,bevy,,,,14267900.0,ns,770
simple_iter,bevy,,,,14738000.0,ns,825
simple_iter,bevy,,,,15761000.0,ns,880
simple_iter,bevy,,,,16939200.0,ns,935
simple_iter,bevy,,,,18049200.0,ns,990
simple_iter,bevy,,,,18509900.0,ns,1045
simple_iter,bevy,,,,19683800.0,ns,1100
simple_iter,bevy,,,,20973000.0,ns,1155
simple_iter,bevy,,,,22170700.0,ns,1210
simple_iter,bevy,,,,22798600.0,ns,1265
simple_iter,bevy,,,,23664600.0,ns,1320
simple_iter,bevy,,,,24380900.0,ns,1375
simple_iter,bevy,,,,26192300.0,ns,1430
simple_iter,bevy,,,,26334500.0,ns,1485
simple_iter,bevy,,,,27698500.0,ns,1540
simple_iter,bevy,,,,28310400.0,ns,1595
simple_iter,bevy,,,,29533200.0,ns,1650
simple_iter,bevy,,,,30419900.0,ns,1705
simple_iter,bevy,,,,32056200.0,ns,1760
simple_iter,bevy,,,,32230400.0,ns,1815
simple_iter,bevy,,,,34136300.0,ns,1870
simple_iter,bevy,,,,34441700.0,ns,1925
simple_iter,bevy,,,,35283600.0,ns,1980
simple_iter,bevy,,,,36341900.0,ns,2035
simple_iter,bevy,,,,38012900.0,ns,2090
simple_iter,bevy,,,,38506100.0,ns,2145
simple_iter,bevy,,,,39720300.0,ns,2200
simple_iter,bevy,,,,40494300.0,ns,2255
simple_iter,bevy,,,,41674600.0,ns,2310
simple_iter,bevy,,,,42992900.0,ns,2365
simple_iter,bevy,,,,44127500.0,ns,2420
simple_iter,bevy,,,,44624500.0,ns,2475
simple_iter,bevy,,,,45570600.0,ns,2530
simple_iter,bevy,,,,47272500.0,ns,2585
simple_iter,bevy,,,,47962400.0,ns,2640
simple_iter,bevy,,,,49081500.0,ns,2695
simple_iter,bevy,,,,51568100.0,ns,2750
simple_iter,bevy,,,,50647500.0,ns,2805
simple_iter,bevy,,,,51714400.0,ns,2860
simple_iter,bevy,,,,53304400.0,ns,2915
simple_iter,bevy,,,,53590700.0,ns,2970
simple_iter,bevy,,,,54742300.0,ns,3025
simple_iter,bevy,,,,54954300.0,ns,3080
simple_iter,bevy,,,,57272100.0,ns,3135
simple_iter,bevy,,,,58522600.0,ns,3190
simple_iter,bevy,,,,58585200.0,ns,3245
simple_iter,bevy,,,,59618600.0,ns,3300
simple_iter,bevy,,,,60142900.0,ns,3355
simple_iter,bevy,,,,61526500.0,ns,3410
simple_iter,bevy,,,,62194300.0,ns,3465
simple_iter,bevy,,,,62919500.0,ns,3520
simple_iter,bevy,,,,63985800.0,ns,3575
simple_iter,bevy,,,,64959300.0,ns,3630
simple_iter,bevy,,,,65935000.0,ns,3685
simple_iter,bevy,,,,67756200.0,ns,3740
simple_iter,bevy,,,,68789900.0,ns,3795
simple_iter,bevy,,,,69185600.0,ns,3850
simple_iter,bevy,,,,70985900.0,ns,3905
simple_iter,bevy,,,,71516300.0,ns,3960
simple_iter,bevy,,,,73054400.0,ns,4015
simple_iter,bevy,,,,73025500.0,ns,4070
simple_iter,bevy,,,,74205100.0,ns,4125
simple_iter,bevy,,,,75912000.0,ns,4180
simple_iter,bevy,,,,76043700.0,ns,4235
simple_iter,bevy,,,,76642000.0,ns,4290
simple_iter,bevy,,,,112756500.0,ns,4345
simple_iter,bevy,,,,82013500.0,ns,4400
simple_iter,bevy,,,,83939300.0,ns,4455
simple_iter,bevy,,,,123799000.0,ns,4510
simple_iter,bevy,,,,86874300.0,ns,4565
simple_iter,bevy,,,,82432700.0,ns,4620
simple_iter,bevy,,,,83644100.0,ns,4675
simple_iter,bevy,,,,84746200.0,ns,4730
simple_iter,bevy,,,,85964200.0,ns,4785
simple_iter,bevy,,,,87283300.0,ns,4840
simple_iter,bevy,,,,87580200.0,ns,4895
simple_iter,bevy,,,,89178000.0,ns,4950
simple_iter,bevy,,,,90888600.0,ns,5005
simple_iter,bevy,,,,91675900.0,ns,5060
simple_iter,bevy,,,,94314900.0,ns,5115
simple_iter,bevy,,,,93770300.0,ns,5170
simple_iter,bevy,,,,94547500.0,ns,5225
simple_iter,bevy,,,,95040500.0,ns,5280
simple_iter,bevy,,,,95473900.0,ns,5335
simple_iter,bevy,,,,97271300.0,ns,5390
simple_iter,bevy,,,,98229700.0,ns,5445
simple_iter,bevy,,,,99669400.0,ns,5500
