group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,hecs,,,,985500.0,ns,90
simple_iter,hecs,,,,2086800.0,ns,180
simple_iter,hecs,,,,2884900.0,ns,270
simple_iter,hecs,,,,3870200.0,ns,360
simple_iter,hecs,,,,4787800.0,ns,450
simple_iter,hecs,,,,6269200.0,ns,540
simple_iter,hecs,,,,6708400.0,ns,630
simple_iter,hecs,,,,8170500.0,ns,720
simple_iter,hecs,,,,8661300.0,ns,810
simple_iter,hecs,,,,9582000.0,ns,900
simple_iter,hecs,,,,10526900.0,ns,990
simple_iter,hecs,,,,12096700.0,ns,1080
simple_iter,hecs,,,,12444000.0,ns,1170
simple_iter,hecs,,,,13393600.0,ns,1260
simple_iter,hecs,,,,14390300.0,ns,1350
simple_iter,hecs,,,,15295000.0,ns,1440
simple_iter,hecs,,,,16264600.0,ns,1530
simple_iter,hecs,,,,17461200.0,ns,1620
simple_iter,hecs,,,,18177000.0,ns,1710
simple_iter,hecs,,,,19198300.0,ns,1800
simple_iter,hecs,,,,20087000.0,ns,1890
simple_iter,hecs,,,,21111200.0,ns,1980
simple_iter,hecs,,,,22001100.0,ns,2070
simple_iter,hecs,,,,23358600.0,ns,2160
simple_iter,hecs,,,,24585700.0,ns,2250
simple_iter,hecs,,,,25085000.0,ns,2340
simple_iter,hecs,,,,25902000.0,ns,2430
simple_iter,hecs,,,,27016200.0,ns,2520
simple_iter,hecs,,,,28420400.0,ns,2610
simple_iter,hecs,,,,30715400.0,ns,2700
simple_iter,hecs,,,,30162100.0,ns,2790
simple_iter,hecs,,,,30865300.0,ns,2880
simple_iter,hecs,,,,32217700.0,ns,2970
simple_iter,hecs,,,,36049000.0,ns,3060
simple_iter,hecs,,,,34641300.0,ns,3150
simple_iter,hecs,,,,34573100.0,ns,3240
simple_iter,hecs,,,,36051600.0,ns,3330
simple_iter,hecs,,,,37029400.0,ns,3420
simple_iter,hecs,,,,37424500.0,ns,3510
simple_iter,hecs,,,,38516100.0,ns,3600
simple_iter,hecs,,,,39810300.0,ns,3690
simple_iter,hecs,,,,40629700.0,ns,3780
simple_iter,hecs,,,,41516900.0,ns,3870
simple_iter,hecs,,,,46093600.0,ns,3960
simple_iter,hecs,,,,52655700.0,ns,4050
simple_iter,hecs,,,,45712200.0,ns,4140
simple_iter,hecs,,,,45691200.0,ns,4230
simple_iter,hecs,,,,47567800.0,ns,4320
simple_iter,hecs,,,,53864300.0,ns,4410
simple_iter,hecs,,,,55894100.0,ns,4500
simple_iter,hecs,,,,55243100.0,ns,4590
simple_iter,hecs,,,,52118300.0,ns,4680
simple_iter,hecs,,,,54043900.0,ns,4770
simple_iter,hecs,,,,54244500.0,ns,4860
simple_iter,hecs,,,,57767200.0,ns,4950
simple_iter,hecs,,,,57486600.0,ns,5040
simple_iter,hecs,,,,59267800.0,ns,5130
simple_iter,hecs,,,,65729800.0,ns,5220
simple_iter,hecs,,,,59372600.0,ns,5310
simple_iter,hecs,,,,60971400.0,ns,5400
simple_iter,hecs,,,,60044700.0,ns,5490
simple_iter,hecs,,,,59699700.0,ns,5580
simple_iter,hecs,,,,61574800.0,ns,5670
simple_iter,hecs,,,,62295000.0,ns,5760
simple_iter,hecs,,,,63096200.0,ns,5850
simple_iter,hecs,,,,63439200.0,ns,5940
simple_iter,hecs,,,,64667600.0,ns,6030
simple_iter,hecs,,,,65290100.0,ns,6120
simple_iter,hecs,,,,66810600.0,ns,6210
simple_iter,hecs,,,,67481500.0,ns,6300
simple_iter,hecs,,,,69556800.0,ns,6390
simple_iter,hecs,,,,69622300.0,ns,6480
simple_iter,hecs,,,,76225000.0,ns,6570
simple_iter,hecs,,,,71041600.0,ns,6660
simple_iter,hecs,,,,72666500.0,ns,6750
simple_iter,hecs,,,,74499100.0,ns,6840
simple_iter,hecs,,,,74038900.0,ns,6930
simple_iter,hecs,,,,75119000.0,ns,7020
simple_iter,hecs,,,,76076700.0,ns,7110
simple_iter,hecs,,,,77006300.0,ns,7200
simple_iter,hecs,,,,77830200.0,ns,7290
simple_iter,hecs,,,,78666600.0,ns,7380
simple_iter,hecs,,,,80152900.0,ns,7470
simple_iter,hecs,,,,81455400.0,ns,7560
simple_iter,hecs,,,,82738200.0,ns,7650
simple_iter,hecs,,,,83473100.0,ns,7740
simple_iter,hecs,,,,83715100.0,ns,7830
simple_iter,hecs,,,,84770000.0,ns,7920
simple_iter,hecs,,,,85745600.0,ns,8010
simple_iter,hecs,,,,86556800.0,ns,8100
simple_iter,hecs,,,,87546300.0,ns,8190
simple_iter,hecs,,,,88253300.0,ns,8280
simple_iter,hecs,,,,89317500.0,ns,8370
simple_iter,hecs,,,,89863600.0,ns,8460
simple_iter,hecs,,,,92176800.0,ns,8550
simple_iter,hecs,,,,92163300.0,ns,8640
simple_iter,hecs,,,,95621500.0,ns,8730
simple_iter,hecs,,,,96749700.0,ns,8820
simple_iter,hecs,,,,99362800.0,ns,8910
simple_iter,hecs,,,,96603000.0,ns,9000
