group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,hecs,,,,1151600.0,ns,90
simple_iter,hecs,,,,1957700.0,ns,180
simple_iter,hecs,,,,2889300.0,ns,270
simple_iter,hecs,,,,3851600.0,ns,360
simple_iter,hecs,,,,4808300.0,ns,450
simple_iter,hecs,,,,5844700.0,ns,540
simple_iter,hecs,,,,6744500.0,ns,630
simple_iter,hecs,,,,7679100.0,ns,720
simple_iter,hecs,,,,8645300.0,ns,810
simple_iter,hecs,,,,10133400.0,ns,900
simple_iter,hecs,,,,10802400.0,ns,990
simple_iter,hecs,,,,11530900.0,ns,1080
simple_iter,hecs,,,,12616600.0,ns,1170
simple_iter,hecs,,,,13558800.0,ns,1260
simple_iter,hecs,,,,15103300.0,ns,1350
simple_iter,hecs,,,,15791400.0,ns,1440
simple_iter,hecs,,,,16440900.0,ns,1530
simple_iter,hecs,,,,18133100.0,ns,1620
simple_iter,hecs,,,,18442400.0,ns,1710
simple_iter,hecs,,,,19238700.0,ns,1800
simple_iter,hecs,,,,20909600.0,ns,1890
simple_iter,hecs,,,,21769500.0,ns,1980
simple_iter,hecs,,,,22296700.0,ns,2070
simple_iter,hecs,,,,23921400.0,ns,2160
simple_iter,hecs,,,,24165500.0,ns,2250
simple_iter,hecs,,,,25884700.0,ns,2340
simple_iter,hecs,,,,26192000.0,ns,2430
simple_iter,hecs,,,,28025700.0,ns,2520
simple_iter,hecs,,,,28193600.0,ns,2610
simple_iter,hecs,,,,29098300.0,ns,2700
simple_iter,hecs,,,,30671700.0,ns,2790
simple_iter,hecs,,,,32063100.0,ns,2880
simple_iter,hecs,,,,33282300.0,ns,2970
simple_iter,hecs,,,,33958000.0,ns,3060
simple_iter,hecs,,,,34598200.0,ns,3150
simple_iter,hecs,,,,36508000.0,ns,3240
simple_iter,hecs,,,,35981200.0,ns,3330
simple_iter,hecs,,,,37025300.0,ns,3420
simple_iter,hecs,,,,38544300.0,ns,3510
simple_iter,hecs,,,,39223300.0,ns,3600
simple_iter,hecs,,,,39905700.0,ns,3690
simple_iter,hecs,,,,42587000.0,ns,3780
simple_iter,hecs,,,,43192700.0,ns,3870
simple_iter,hecs,,,,42658600.0,ns,3960
simple_iter,hecs,,,,44184000.0,ns,4050
simple_iter,hecs,,,,45403500.0,ns,4140
simple_iter,hecs,,,,46015500.0,ns,4230
simple_iter,hecs,,,,47237400.0,ns,4320
simple_iter,hecs,,,,47431800.0,ns,4410
simple_iter,hecs,,,,49457200.0,ns,4500
simple_iter,hecs,,,,54612300.0,ns,4590
simple_iter,hecs,,,,54933100.0,ns,4680
simple_iter,hecs,,,,52287000.0,ns,4770
simple_iter,hecs,,,,53331600.0,ns,4860
simple_iter,hecs,,,,53927900.0,ns,4950
simple_iter,hecs,,,,54977900.0,ns,5040
simple_iter,hecs,,,,55777300.0,ns,5130
simple_iter,hecs,,,,57485800.0,ns,5220
simple_iter,hecs,,,,57734400.0,ns,5310
simple_iter,hecs,,,,58989400.0,ns,5400
simple_iter,hecs,,,,59636900.0,ns,5490
simple_iter,hecs,,,,60516000.0,ns,5580
simple_iter,hecs,,,,61708500.0,ns,5670
simple_iter,hecs,,,,63753300.0,ns,5760
simple_iter,hecs,,,,63501300.0,ns,5850
simple_iter,hecs,,,,64685200.0,ns,5940
simple_iter,hecs,,,,65590200.0,ns,6030
simple_iter,hecs,,,,66594200.0,ns,6120
simple_iter,hecs,,,,67629900.0,ns,6210
simple_iter,hecs,,,,70417600.0,ns,6300
simple_iter,hecs,,,,69606600.0,ns,6390
simple_iter,hecs,,,,70689700.0,ns,6480
simple_iter,hecs,,,,71675100.0,ns,6570
simple_iter,hecs,,,,73449200.0,ns,6660
simple_iter,hecs,,,,74628300.0,ns,6750
simple_iter,hecs,,,,74433100.0,ns,6840
simple_iter,hecs,,,,75952800.0,ns,6930
simple_iter,hecs,,,,76400000.0,ns,7020
simple_iter,hecs,,,,77012100.0,ns,7110
simple_iter,hecs,,,,78130900.0,ns,7200
simple_iter,hecs,,,,83425900.0,ns,7290
simple_iter,hecs,,,,79786300.0,ns,7380
simple_iter,hecs,,,,81985000.0,ns,7470
simple_iter,hecs,,,,82874900.0,ns,7560
simple_iter,hecs,,,,83147500.0,ns,7650
simple_iter,hecs,,,,84395800.0,ns,7740
simple_iter,hecs,,,,85531500.0,ns,7830
simple_iter,hecs,,,,86537400.0,ns,7920
simple_iter,hecs,,,,86709100.0,ns,8010
simple_iter,hecs,,,,88884900.0,ns,8100
simple_iter,hecs,,,,88762900.0,ns,8190
simple_iter,hecs,,,,90411800.0,ns,8280
simple_iter,hecs,,,,90586000.0,ns,8370
simple_iter,hecs,,,,93066800.0,ns,8460
simple_iter,hecs,,,,93173900.0,ns,8550
simple_iter,hecs,,,,93943000.0,ns,8640
simple_iter,hecs,,,,95082100.0,ns,8730
simple_iter,hecs,,,,95811600.0,ns,8820
simple_iter,hecs,,,,98547100.0,ns,8910
simple_iter,hecs,,,,99479500.0,ns,9000
