group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,legion (packed),,,,979800.0,ns,90
simple_iter,legion (packed),,,,1971000.0,ns,180
simple_iter,legion (packed),,,,2932100.0,ns,270
simple_iter,legion (packed),,,,3952400.0,ns,360
simple_iter,legion (packed),,,,4886900.0,ns,450
simple_iter,legion (packed),,,,5888100.0,ns,540
simple_iter,legion (packed),,,,6817700.0,ns,630
simple_iter,legion (packed),,,,7794800.0,ns,720
simple_iter,legion (packed),,,,9400900.0,ns,810
simple_iter,legion (packed),,,,9739500.0,ns,900
simple_iter,legion (packed),,,,10690300.0,ns,990
simple_iter,legion (packed),,,,11723500.0,ns,1080
simple_iter,legion (packed),,,,13606300.0,ns,1170
simple_iter,legion (packed),,,,13621000.0,ns,1260
simple_iter,legion (packed),,,,14640500.0,ns,1350
simple_iter,legion (packed),,,,15735700.0,ns,1440
simple_iter,legion (packed),,,,17486400.0,ns,1530
simple_iter,legion (packed),,,,17629300.0,ns,1620
simple_iter,legion (packed),,,,18638200.0,ns,1710
simple_iter,legion (packed),,,,20046400.0,ns,1800
simple_iter,legion (packed),,,,20805200.0,ns,1890
simple_iter,legion (packed),,,,21528000.0,ns,1980
simple_iter,legion (packed),,,,23106000.0,ns,2070
simple_iter,legion (packed),,,,23489300.0,ns,2160
simple_iter,legion (packed),,,,24852100.0,ns,2250
simple_iter,legion (packed),,,,25541000.0,ns,2340
simple_iter,legion (packed),,,,26748600.0,ns,2430
simple_iter,legion (packed),,,,27946200.0,ns,2520
simple_iter,legion (packed),,,,28403500.0,ns,2610
simple_iter,legion (packed),,,,30094900.0,ns,2700
simple_iter,legion (packed),,,,30917300.0,ns,2790
simple_iter,legion (packed),,,,31646400.0,ns,2880
simple_iter,legion (packed),,,,32777000.0,ns,2970
simple_iter,legion (packed),,,,33551300.0,ns,3060
simple_iter,legion (packed),,,,35135200.0,ns,3150
simple_iter,legion (packed),,,,35171800.0,ns,3240
simple_iter,legion (packed),,,,38055500.0,ns,3330
simple_iter,legion (packed),,,,37686200.0,ns,3420
simple_iter,legion (packed),,,,38362000.0,ns,3510
simple_iter,legion (packed),,,,41482200.0,ns,3600
simple_iter,legion (packed),,,,41088900.0,ns,3690
simple_iter,legion (packed),,,,41430800.0,ns,3780
simple_iter,legion (packed),,,,42838700.0,ns,3870
simple_iter,legion (packed),,,,43742100.0,ns,3960
simple_iter,legion (packed),,,,45320400.0,ns,4050
simple_iter,legion (packed),,,,45718600.0,ns,4140
simple_iter,legion (packed),,,,46395100.0,ns,4230
simple_iter,legion (packed),,,,47801500.0,ns,4320
simple_iter,legion (packed),,,,48840600.0,ns,4410
simple_iter,legion (packed),,,,49612400.0,ns,4500
simple_iter,legion (packed),,,,51298000.0,ns,4590
simple_iter,legion (packed),,,,50986700.0,ns,4680
simple_iter,legion (packed),,,,54690400.0,ns,4770
simple_iter,legion (packed),,,,56720900.0,ns,4860
simple_iter,legion (packed),,,,54631000.0,ns,4950
simple_iter,legion (packed),,,,55413500.0,ns,5040
simple_iter,legion (packed),,,,56869800.0,ns,5130
simple_iter,legion (packed),,,,57701500.0,ns,5220
simple_iter,legion (packed),,,,58677900.0,ns,5310
simple_iter,legion (packed),,,,60104300.0,ns,5400
simple_iter,legion (packed),,,,61091700.0,ns,5490
simple_iter,legion (packed),,,,62510800.0,ns,5580
simple_iter,legion (packed),,,,62755400.0,ns,5670
simple_iter,legion (packed),,,,65942400.0,ns,5760
simple_iter,legion (packed),,,,65154100.0,ns,5850
simple_iter,legion (packed),,,,65896100.0,ns,5940
simple_iter,legion (packed),,,,66439800.0,ns,6030
simple_iter,legion (packed),,,,67536700.0,ns,6120
simple_iter,legion (packed),,,,68766700.0,ns,6210
simple_iter,legion (packed),,,,69497000.0,ns,6300
simple_iter,legion (packed),,,,71487300.0,ns,6390
simple_iter,legion (packed),,,,71205600.0,ns,6480
simple_iter,legion (packed),,,,73264600.0,ns,6570
simple_iter,legion (packed),,,,73512300.0,ns,6660
simple_iter,legion (packed),,,,74702000.0,ns,6750
simple_iter,legion (packed),,,,76714000.0,ns,6840
simple_iter,legion (packed),,,,76559600.0,ns,6930
simple_iter,legion (packed),,,,77700500.0,ns,7020
simple_iter,legion (packed),,,,78909900.0,ns,7110
simple_iter,legion (packed),,,,79138600.0,ns,7200
simple_iter,legion (packed),,,,81073800.0,ns,7290
simple_iter,legion (packed),,,,80792000.0,ns,7380
simple_iter,legion (packed),,,,84480100.0,ns,7470
simple_iter,legion (packed),,,,82885400.0,ns,7560
simple_iter,legion (packed),,,,84469000.0,ns,7650
simple_iter,legion (packed),,,,85047700.0,ns,7740
simple_iter,legion (packed),,,,86114600.0,ns,7830
simple_iter,legion (packed),,,,87995400.0,ns,7920
simple_iter,legion (packed),,,,88249100.0,ns,8010
simple_iter,legion (packed),,,,89528500.0,ns,8100
simple_iter,legion (packed),,,,89536700.0,ns,8190
simple_iter,legion (packed),,,,91279100.0,ns,8280
simple_iter,legion (packed),,,,91734300.0,ns,8370
simple_iter,legion (packed),,,,93248500.0,ns,8460
simple_iter,legion (packed),,,,94554300.0,ns,8550
simple_iter,legion (packed),,,,94880900.0,ns,8640
simple_iter,legion (packed),,,,102846600.0,ns,8730
simple_iter,legion (packed),,,,98233900.0,ns,8820
simple_iter,legion (packed),,,,99093000.0,ns,8910
simple_iter,legion (packed),,,,100957800.0,ns,9000
