group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,legion,,,,1098200.0,ns,91
simple_iter,legion,,,,2025300.0,ns,182
simple_iter,legion,,,,3091400.0,ns,273
simple_iter,legion,,,,4167000.0,ns,364
simple_iter,legion,,,,5188400.0,ns,455
simple_iter,legion,,,,5859500.0,ns,546
simple_iter,legion,,,,6804700.0,ns,637
simple_iter,legion,,,,7870300.0,ns,728
simple_iter,legion,,,,8754500.0,ns,819
simple_iter,legion,,,,10270700.0,ns,910
simple_iter,legion,,,,11107700.0,ns,1001
simple_iter,legion,,,,11689300.0,ns,1092
simple_iter,legion,,,,12672300.0,ns,1183
simple_iter,legion,,,,13715500.0,ns,1274
simple_iter,legion,,,,14979900.0,ns,1365
simple_iter,legion,,,,15868600.0,ns,1456
simple_iter,legion,,,,16545900.0,ns,1547
simple_iter,legion,,,,18353800.0,ns,1638
simple_iter,legion,,,,18546700.0,ns,1729
simple_iter,legion,,,,19558800.0,ns,1820
simple_iter,legion,,,,21096400.0,ns,1911
simple_iter,legion,,,,21623200.0,ns,2002
simple_iter,legion,,,,22749800.0,ns,2093
simple_iter,legion,,,,24548500.0,ns,2184
simple_iter,legion,,,,24405600.0,ns,2275
simple_iter,legion,,,,26567900.0,ns,2366
simple_iter,legion,,,,27374600.0,ns,2457
simple_iter,legion,,,,28413100.0,ns,2548
simple_iter,legion,,,,28475500.0,ns,2639
simple_iter,legion,,,,30061800.0,ns,2730
simple_iter,legion,,,,30484500.0,ns,2821
simple_iter,legion,,,,32028900.0,ns,2912
simple_iter,legion,,,,32301400.0,ns,3003
simple_iter,legion,,,,33985200.0,ns,3094
simple_iter,legion,,,,34386800.0,ns,3185
simple_iter,legion,,,,36195300.0,ns,3276
simple_iter,legion,,,,36965900.0,ns,3367
simple_iter,legion,,,,37140800.0,ns,3458
simple_iter,legion,,,,39247400.0,ns,3549
simple_iter,legion,,,,39989600.0,ns,3640
simple_iter,legion,,,,40675400.0,ns,3731
simple_iter,legion,,,,42207400.0,ns,3822
simple_iter,legion,,,,43315800.0,ns,3913
simple_iter,legion,,,,66804600.0,ns,4004
simple_iter,legion,,,,49145800.0,ns,4095
simple_iter,legion,,,,50599400.0,ns,4186
simple_iter,legion,,,,48073500.0,ns,4277
simple_iter,legion,,,,47971900.0,ns,4368
simple_iter,legion,,,,48827400.0,ns,4459
simple_iter,legion,,,,50038900.0,ns,4550
simple_iter,legion,,,,51154700.0,ns,4641
simple_iter,legion,,,,53427700.0,ns,4732
simple_iter,legion,,,,53030500.0,ns,4823
simple_iter,legion,,,,54541000.0,ns,4914
simple_iter,legion,,,,54876800.0,ns,5005
simple_iter,legion,,,,55142700.0,ns,5096
simple_iter,legion,,,,57099900.0,ns,5187
simple_iter,legion,,,,56821100.0,ns,5278
simple_iter,legion,,,,59005600.0,ns,5369
simple_iter,legion,,,,60760600.0,ns,5460
simple_iter,legion,,,,60689200.0,ns,5551
simple_iter,legion,,,,62773800.0,ns,5642
simple_iter,legion,,,,64712700.0,ns,5733
simple_iter,legion,,,,63654600.0,ns,5824
simple_iter,legion,,,,64546700.0,ns,5915
simple_iter,legion,,,,65917100.0,ns,6006
simple_iter,legion,,,,67233300.0,ns,6097
simple_iter,legion,,,,68490100.0,ns,6188
simple_iter,legion,,,,69837600.0,ns,6279
simple_iter,legion,,,,69689900.0,ns,6370
simple_iter,legion,,,,70907900.0,ns,6461
simple_iter,legion,,,,71767300.0,ns,6552
simple_iter,legion,,,,72907800.0,ns,6643
simple_iter,legion,,,,74405600.0,ns,6734
simple_iter,legion,,,,74896200.0,ns,6825
simple_iter,legion,,,,75731000.0,ns,6916
simple_iter,legion,,,,77854700.0,ns,7007
simple_iter,legion,,,,77876500.0,ns,7098
simple_iter,legion,,,,78297100.0,ns,7189
simple_iter,legion,,,,79706100.0,ns,7280
simple_iter,legion,,,,80825300.0,ns,7371
simple_iter,legion,,,,81441400.0,ns,7462
simple_iter,legion,,,,83617700.0,ns,7553
simple_iter,legion,,,,83071100.0,ns,7644
simple_iter,legion,,,,84830700.0,ns,7735
simple_iter,legion,,,,85088900.0,ns,7826
simple_iter,legion,,,,87046400.0,ns,7917
simple_iter,legion,,,,89723200.0,ns,8008
simple_iter,legion,,,,90346600.0,ns,8099
simple_iter,legion,,,,89406200.0,ns,8190
simple_iter,legion,,,,90600300.0,ns,8281
simple_iter,legion,,,,90790200.0,ns,8372
simple_iter,legion,,,,93646200.0,ns,8463
simple_iter,legion,,,,93473300.0,ns,8554
simple_iter,legion,,,,95289800.0,ns,8645
simple_iter,legion,,,,96220300.0,ns,8736
simple_iter,legion,,,,96022900.0,ns,8827
simple_iter,legion,,,,98100900.0,ns,8918
simple_iter,legion,,,,99248600.0,ns,9009
simple_iter,legion,,,,99640900.0,ns,9100
