group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,planck_ecs,,,,1007700.0,ns,21
simple_iter,planck_ecs,,,,2021000.0,ns,42
simple_iter,planck_ecs,,,,3010000.0,ns,63
simple_iter,planck_ecs,,,,3980700.0,ns,84
simple_iter,planck_ecs,,,,4971200.0,ns,105
simple_iter,planck_ecs,,,,5969900.0,ns,126
simple_iter,planck_ecs,,,,7037400.0,ns,147
simple_iter,planck_ecs,,,,7964300.0,ns,168
simple_iter,planck_ecs,,,,9479100.0,ns,189
simple_iter,planck_ecs,,,,10057800.0,ns,210
simple_iter,planck_ecs,,,,11013900.0,ns,231
simple_iter,planck_ecs,,,,12117800.0,ns,252
simple_iter,planck_ecs,,,,12998500.0,ns,273
simple_iter,planck_ecs,,,,14043500.0,ns,294
simple_iter,planck_ecs,,,,15106300.0,ns,315
simple_iter,planck_ecs,,,,16026300.0,ns,336
simple_iter,planck_ecs,,,,17256500.0,ns,357
simple_iter,planck_ecs,,,,18092300.0,ns,378
simple_iter,planck_ecs,,,,18966500.0,ns,399
simple_iter,planck_ecs,,,,20039000.0,ns,420
simple_iter,planck_ecs,,,,21065200.0,ns,441
simple_iter,planck_ecs,,,,22178800.0,ns,462
simple_iter,planck_ecs,,,,23062500.0,ns,483
simple_iter,planck_ecs,,,,24570400.0,ns,504
simple_iter,planck_ecs,,,,25134100.0,ns,525
simple_iter,planck_ecs,,,,26101400.0,ns,546
simple_iter,planck_ecs,,,,27095800.0,ns,567
simple_iter,planck_ecs,,,,28833200.0,ns,588
simple_iter,planck_ecs,,,,28973600.0,ns,609
simple_iter,planck_ecs,,,,30573000.0,ns,630
simple_iter,planck_ecs,,,,33241100.0,ns,651
simple_iter,planck_ecs,,,,32737300.0,ns,672
simple_iter,planck_ecs,,,,33138600.0,ns,693
simple_iter,planck_ecs,,,,34025400.0,ns,714
simple_iter,planck_ecs,,,,35678100.0,ns,735
simple_iter,planck_ecs,,,,36156600.0,ns,756
simple_iter,planck_ecs,,,,37359500.0,ns,777
simple_iter,planck_ecs,,,,38332100.0,ns,798
simple_iter,planck_ecs,,,,38928700.0,ns,819
simple_iter,planck_ecs,,,,40649300.0,ns,840
simple_iter,planck_ecs,,,,42117200.0,ns,861
simple_iter,planck_ecs,,,,42389700.0,ns,882
simple_iter,planck_ecs,,,,43134300.0,ns,903
simple_iter,planck_ecs,,,,44524600.0,ns,924
simple_iter,planck_ecs,,,,45110600.0,ns,945
simple_iter,planck_ecs,,,,46652000.0,ns,966
simple_iter,planck_ecs,,,,47109100.0,ns,987
simple_iter,planck_ecs,,,,48437900.0,ns,1008
simple_iter,planck_ecs,,,,49028300.0,ns,1029
simple_iter,planck_ecs,,,,50842800.0,ns,1050
simple_iter,planck_ecs,,,,51752100.0,ns,1071
simple_iter,planck_ecs,,,,52721300.0,ns,1092
simple_iter,planck_ecs,,,,52914200.0,ns,1113
simple_iter,planck_ecs,,,,54558600.0,ns,1134
simple_iter,planck_ecs,,,,55262200.0,ns,1155
simple_iter,planck_ecs,,,,56611100.0,ns,1176
simple_iter,planck_ecs,,,,58671500.0,ns,1197
simple_iter,planck_ecs,,,,58168800.0,ns,1218
simple_iter,planck_ecs,,,,59225300.0,ns,1239
simple_iter,planck_ecs,,,,60502000.0,ns,1260
simple_iter,planck_ecs,,,,61649800.0,ns,1281
simple_iter,planck_ecs,,,,62900400.0,ns,1302
simple_iter,planck_ecs,,,,63680700.0,ns,1323
simple_iter,planck_ecs,,,,64301400.0,ns,1344
simple_iter,planck_ecs,,,,65550100.0,ns,1365
simple_iter,planck_ecs,,,,67374600.0,ns,1386
simple_iter,planck_ecs,,,,67798300.0,ns,1407
simple_iter,planck_ecs,,,,69047300.0,ns,1428
simple_iter,planck_ecs,,,,69971400.0,ns,1449
simple_iter,planck_ecs,,,,70537300.0,ns,1470
simple_iter,planck_ecs,,,,71966100.0,ns,1491
simple_iter,planck_ecs,,,,75234800.0,ns,1512
simple_iter,planck_ecs,,,,74366300.0,ns,1533
simple_iter,planck_ecs,,,,74997100.0,ns,1554
simple_iter,planck_ecs,,,,75343600.0,ns,1575
simple_iter,planck_ecs,,,,76600100.0,ns,1596
simple_iter,planck_ecs,,,,77818000.0,ns,1617
simple_iter,planck_ecs,,,,78675900.0,ns,1638
simple_iter,planck_ecs,,,,80118400.0,ns,1659
simple_iter,planck_ecs,,,,80532900.0,ns,1680
simple_iter,planck_ecs,,,,81493500.0,ns,1701
simple_iter,planck_ecs,,,,83460000.0,ns,1722
simple_iter,planck_ecs,,,,83797900.0,ns,1743
simple_iter,planck_ecs,,,,85114000.0,ns,1764
simple_iter,planck_ecs,,,,85801100.0,ns,1785
simple_iter,planck_ecs,,,,87491400.0,ns,1806
simple_iter,planck_ecs,,,,88221700.0,ns,1827
simple_iter,planck_ecs,,,,88712400.0,ns,1848
simple_iter,planck_ecs,,,,89629600.0,ns,1869
simple_iter,planck_ecs,,,,90378200.0,ns,1890
simple_iter,planck_ecs,,,,91702800.0,ns,1911
simple_iter,planck_ecs,,,,92951800.0,ns,1932
simple_iter,planck_ecs,,,,93899700.0,ns,1953
simple_iter,planck_ecs,,,,94444900.0,ns,1974
simple_iter,planck_ecs,,,,95533600.0,ns,1995
simple_iter,planck_ecs,,,,96371200.0,ns,2016
simple_iter,planck_ecs,,,,98705200.0,ns,2037
simple_iter,planck_ecs,,,,98641600.0,ns,2058
simple_iter,planck_ecs,,,,99101800.0,ns,2079
simple_iter,planck_ecs,,,,100690200.0,ns,2100
