group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,planck_ecs,,,,1014700.0,ns,21
simple_iter,planck_ecs,,,,2029000.0,ns,42
simple_iter,planck_ecs,,,,3092400.0,ns,63
simple_iter,planck_ecs,,,,4009900.0,ns,84
simple_iter,planck_ecs,,,,5023500.0,ns,105
simple_iter,planck_ecs,,,,6018300.0,ns,126
simple_iter,planck_ecs,,,,7054600.0,ns,147
simple_iter,planck_ecs,,,,8060800.0,ns,168
simple_iter,planck_ecs,,,,9042200.0,ns,189
simple_iter,planck_ecs,,,,10032600.0,ns,210
simple_iter,planck_ecs,,,,11030400.0,ns,231
simple_iter,planck_ecs,,,,12049300.0,ns,252
simple_iter,planck_ecs,,,,13035700.0,ns,273
simple_iter,planck_ecs,,,,14073800.0,ns,294
simple_iter,planck_ecs,,,,15052800.0,ns,315
simple_iter,planck_ecs,,,,16347400.0,ns,336
simple_iter,planck_ecs,,,,17081100.0,ns,357
simple_iter,planck_ecs,,,,18017500.0,ns,378
simple_iter,planck_ecs,,,,19024900.0,ns,399
simple_iter,planck_ecs,,,,20067000.0,ns,420
simple_iter,planck_ecs,,,,21080100.0,ns,441
simple_iter,planck_ecs,,,,25299800.0,ns,462
simple_iter,planck_ecs,,,,23015600.0,ns,483
simple_iter,planck_ecs,,,,24036000.0,ns,504
simple_iter,planck_ecs,,,,25061800.0,ns,525
simple_iter,planck_ecs,,,,26065700.0,ns,546
simple_iter,planck_ecs,,,,27028600.0,ns,567
simple_iter,planck_ecs,,,,28060200.0,ns,588
simple_iter,planck_ecs,,,,29070300.0,ns,609
simple_iter,planck_ecs,,,,30083000.0,ns,630
simple_iter,planck_ecs,,,,31073300.0,ns,651
simple_iter,planck_ecs,,,,48307400.0,ns,672
simple_iter,planck_ecs,,,,52737100.0,ns,693
simple_iter,planck_ecs,,,,36067300.0,ns,714
simple_iter,planck_ecs,,,,37015800.0,ns,735
simple_iter,planck_ecs,,,,36431300.0,ns,756
simple_iter,planck_ecs,,,,37146800.0,ns,777
simple_iter,planck_ecs,,,,38223500.0,ns,798
simple_iter,planck_ecs,,,,39161400.0,ns,819
simple_iter,planck_ecs,,,,40154900.0,ns,840
simple_iter,planck_ecs,,,,41108800.0,ns,861
simple_iter,planck_ecs,,,,42136300.0,ns,882
simple_iter,planck_ecs,,,,43127800.0,ns,903
simple_iter,planck_ecs,,,,44580300.0,ns,924
simple_iter,planck_ecs,,,,45649100.0,ns,945
simple_iter,planck_ecs,,,,46045000.0,ns,966
simple_iter,planck_ecs,,,,47094700.0,ns,987
simple_iter,planck_ecs,,,,48245800.0,ns,1008
simple_iter,planck_ecs,,,,49217300.0,ns,1029
simple_iter,planck_ecs,,,,50063600.0,ns,1050
simple_iter,planck_ecs,,,,51068000.0,ns,1071
simple_iter,planck_ecs,,,,52053000.0,ns,1092
simple_iter,planck_ecs,,,,53136900.0,ns,1113
simple_iter,planck_ecs,,,,54145000.0,ns,1134
simple_iter,planck_ecs,,,,56140700.0,ns,1155
simple_iter,planck_ecs,,,,57223800.0,ns,1176
simple_iter,planck_ecs,,,,57206900.0,ns,1197
simple_iter,planck_ecs,,,,58148600.0,ns,1218
simple_iter,planck_ecs,,,,59313000.0,ns,1239
simple_iter,planck_ecs,,,,60123300.0,ns,1260
simple_iter,planck_ecs,,,,61145400.0,ns,1281
simple_iter,planck_ecs,,,,62176100.0,ns,1302
simple_iter,planck_ecs,,,,63222300.0,ns,1323
simple_iter,planck_ecs,,,,64248800.0,ns,1344
simple_iter,planck_ecs,,,,65274600.0,ns,1365
simple_iter,planck_ecs,,,,66144100.0,ns,1386
simple_iter,planck_ecs,,,,67090700.0,ns,1407
simple_iter,planck_ecs,,,,68021000.0,ns,1428
simple_iter,planck_ecs,,,,69155100.0,ns,1449
simple_iter,planck_ecs,,,,70192700.0,ns,1470
simple_iter,planck_ecs,,,,71118300.0,ns,1491
simple_iter,planck_ecs,,,,72500000.0,ns,1512
simple_iter,planck_ecs,,,,73140900.0,ns,1533
simple_iter,planck_ecs,,,,74113900.0,ns,1554
simple_iter,planck_ecs,,,,75189700.0,ns,1575
simple_iter,planck_ecs,,,,76946600.0,ns,1596
simple_iter,planck_ecs,,,,78711100.0,ns,1617
simple_iter,planck_ecs,,,,79010800.0,ns,1638
simple_iter,planck_ecs,,,,79932200.0,ns,1659
simple_iter,planck_ecs,,,,81086300.0,ns,1680
simple_iter,planck_ecs,,,,81892300.0,ns,1701
simple_iter,planck_ecs,,,,82957300.0,ns,1722
simple_iter,planck_ecs,,,,87319100.0,ns,1743
simple_iter,planck_ecs,,,,85329700.0,ns,1764
simple_iter,planck_ecs,,,,86123600.0,ns,1785
simple_iter,planck_ecs,,,,86721900.0,ns,1806
simple_iter,planck_ecs,,,,90234300.0,ns,1827
simple_iter,planck_ecs,,,,88398800.0,ns,1848
simple_iter,planck_ecs,,,,89551700.0,ns,1869
simple_iter,planck_ecs,,,,90444100.0,ns,1890
simple_iter,planck_ecs,,,,91258100.0,ns,1911
simple_iter,planck_ecs,,,,92348800.0,ns,1932
simple_iter,planck_ecs,,,,93626000.0,ns,1953
simple_iter,planck_ecs,,,,94563200.0,ns,1974
simple_iter,planck_ecs,,,,95558800.0,ns,1995
simple_iter,planck_ecs,,,,96858100.0,ns,2016
simple_iter,planck_ecs,,,,97590300.0,ns,2037
simple_iter,planck_ecs,,,,98419600.0,ns,2058
simple_iter,planck_ecs,,,,99466800.0,ns,2079
simple_iter,planck_ecs,,,,101877400.0,ns,2100
