group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,shipyard,,,,1084400.0,ns,39
simple_iter,shipyard,,,,1950600.0,ns,78
simple_iter,shipyard,,,,2919900.0,ns,117
simple_iter,shipyard,,,,3863000.0,ns,156
simple_iter,shipyard,,,,4854500.0,ns,195
simple_iter,shipyard,,,,5838700.0,ns,234
simple_iter,shipyard,,,,7522600.0,ns,273
simple_iter,shipyard,,,,8068400.0,ns,312
simple_iter,shipyard,,,,8751900.0,ns,351
simple_iter,shipyard,,,,9735100.0,ns,390
simple_iter,shipyard,,,,10754000.0,ns,429
simple_iter,shipyard,,,,11722200.0,ns,468
simple_iter,shipyard,,,,12841400.0,ns,507
simple_iter,shipyard,,,,13609500.0,ns,546
simple_iter,shipyard,,,,14526600.0,ns,585
simple_iter,shipyard,,,,16270400.0,ns,624
simple_iter,shipyard,,,,16478500.0,ns,663
simple_iter,shipyard,,,,17452300.0,ns,702
simple_iter,shipyard,,,,18417000.0,ns,741
simple_iter,shipyard,,,,19964800.0,ns,780
simple_iter,shipyard,,,,20324100.0,ns,819
simple_iter,shipyard,,,,21117700.0,ns,858
simple_iter,shipyard,,,,23127400.0,ns,897
simple_iter,shipyard,,,,23233600.0,ns,936
simple_iter,shipyard,,,,24989100.0,ns,975
simple_iter,shipyard,,,,25409300.0,ns,1014
simple_iter,shipyard,,,,26418400.0,ns,1053
simple_iter,shipyard,,,,27208600.0,ns,1092
simple_iter,shipyard,,,,28764700.0,ns,1131
simple_iter,shipyard,,,,29081900.0,ns,1170
simple_iter,shipyard,,,,30666700.0,ns,1209
simple_iter,shipyard,,,,30844800.0,ns,1248
simple_iter,shipyard,,,,33066500.0,ns,1287
simple_iter,shipyard,,,,33476500.0,ns,1326
simple_iter,shipyard,,,,34642300.0,ns,1365
simple_iter,shipyard,,,,35878400.0,ns,1404
simple_iter,shipyard,,,,35684800.0,ns,1443
simple_iter,shipyard,,,,37616800.0,ns,1482
simple_iter,shipyard,,,,39326200.0,ns,1521
simple_iter,shipyard,,,,38956200.0,ns,1560
simple_iter,shipyard,,,,40462000.0,ns,1599
simple_iter,shipyard,,,,44730800.0,ns,1638
simple_iter,shipyard,,,,41667800.0,ns,1677
simple_iter,shipyard,,,,43151700.0,ns,1716
simple_iter,shipyard,,,,44333400.0,ns,1755
simple_iter,shipyard,,,,45404700.0,ns,1794
simple_iter,shipyard,,,,45666900.0,ns,1833
simple_iter,shipyard,,,,46855700.0,ns,1872
simple_iter,shipyard,,,,48270100.0,ns,1911
simple_iter,shipyard,,,,49102100.0,ns,1950
simple_iter,shipyard,,,,50130700.0,ns,1989
simple_iter,shipyard,,,,53673100.0,ns,2028
simple_iter,shipyard,,,,52275600.0,ns,2067
simple_iter,shipyard,,,,53202800.0,ns,2106
simple_iter,shipyard,,,,54433100.0,ns,2145
simple_iter,shipyard,,,,55008700.0,ns,2184
simple_iter,shipyard,,,,55644100.0,ns,2223
simple_iter,shipyard,,,,56223900.0,ns,2262
simple_iter,shipyard,,,,57892600.0,ns,2301
simple_iter,shipyard,,,,59386100.0,ns,2340
simple_iter,shipyard,,,,62911200.0,ns,2379
simple_iter,shipyard,,,,60563900.0,ns,2418
simple_iter,shipyard,,,,62006300.0,ns,2457
simple_iter,shipyard,,,,62754500.0,ns,2496
simple_iter,shipyard,,,,63450100.0,ns,2535
simple_iter,shipyard,,,,65054700.0,ns,2574
simple_iter,shipyard,,,,66394200.0,ns,2613
simple_iter,shipyard,,,,66052400.0,ns,2652
simple_iter,shipyard,,,,67918900.0,ns,2691
simple_iter,shipyard,,,,76408200.0,ns,2730
simple_iter,shipyard,,,,69681200.0,ns,2769
simple_iter,shipyard,,,,70506700.0,ns,2808
simple_iter,shipyard,,,,71503900.0,ns,2847
simple_iter,shipyard,,,,72416700.0,ns,2886
simple_iter,shipyard,,,,75268900.0,ns,2925
simple_iter,shipyard,,,,75204900.0,ns,2964
simple_iter,shipyard,,,,75191200.0,ns,3003
simple_iter,shipyard,,,,77245100.0,ns,3042
simple_iter,shipyard,,,,77829000.0,ns,3081
simple_iter,shipyard,,,,78316300.0,ns,3120
simple_iter,shipyard,,,,80376500.0,ns,3159
simple_iter,shipyard,,,,80353900.0,ns,3198
simple_iter,shipyard,,,,90274600.0,ns,3237
simple_iter,shipyard,,,,83265800.0,ns,3276
simple_iter,shipyard,,,,82941800.0,ns,3315
simple_iter,shipyard,,,,84936600.0,ns,3354
simple_iter,shipyard,,,,85579300.0,ns,3393
simple_iter,shipyard,,,,91010500.0,ns,3432
simple_iter,shipyard,,,,87488200.0,ns,3471
simple_iter,shipyard,,,,88860100.0,ns,3510
simple_iter,shipyard,,,,88853500.0,ns,3549
simple_iter,shipyard,,,,90249300.0,ns,3588
simple_iter,shipyard,,,,91417800.0,ns,3627
simple_iter,shipyard,,,,92075800.0,ns,3666
simple_iter,shipyard,,,,95319100.0,ns,3705
simple_iter,shipyard,,,,96240900.0,ns,3744
simple_iter,shipyard,,,,95284800.0,ns,3783
simple_iter,shipyard,,,,96818400.0,ns,3822
simple_iter,shipyard,,,,98211600.0,ns,3861
simple_iter,shipyard,,,,99029700.0,ns,3900
